temp_ch_ipcc,0.05,0.17,0.25,0.5,0.75,0.83,0.95,frac,it,N,final_num_fits,fit_opt,y,source_input,x_col,y_col
-0.1,80.37291692,83.91147601,87.02695775,111.0381375,129.3321483,136.4386139,145.2908846,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/GlacierMIP3/GlacierMIP3_add_this_study.csv,temp_ch_ipcc,mass_remaining
-0.05,78.09513496,83.14905789,86.37505103,108.6805848,126.5998023,133.0456467,141.8305755,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/GlacierMIP3/GlacierMIP3_add_this_study.csv,temp_ch_ipcc,mass_remaining
0,75.76841915,82.35743802,85.672176,106.3645482,123.8815917,129.6634238,138.1912058,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/GlacierMIP3/GlacierMIP3_add_this_study.csv,temp_ch_ipcc,mass_remaining
0.05,73.43469126,81.45621466,84.88316476,104.1052193,121.1916899,126.3607792,134.4921295,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/GlacierMIP3/GlacierMIP3_add_this_study.csv,temp_ch_ipcc,mass_remaining
0.1,71.13524714,80.40313089,83.99729782,101.9011008,118.5384932,123.1865954,130.8479925,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/GlacierMIP3/GlacierMIP3_add_this_study.csv,temp_ch_ipcc,mass_remaining
0.15,68.90036392,79.19461165,83.024192,99.74048956,115.9262252,120.1588524,127.331632,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/GlacierMIP3/GlacierMIP3_add_this_study.csv,temp_ch_ipcc,mass_remaining
0.2,66.74646316,77.85717532,81.98276105,97.60839807,113.3549675,117.2718012,123.9727564,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/GlacierMIP3/GlacierMIP3_add_this_study.csv,temp_ch_ipcc,mass_remaining
0.25,64.6698254,76.4261279,80.89261257,95.48923281,110.8224079,114.5070728,120.7677006,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/GlacierMIP3/GlacierMIP3_add_this_study.csv,temp_ch_ipcc,mass_remaining
0.3,62.6412194,74.91003163,79.76561748,93.35046429,108.3072374,111.8298172,117.682184,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/GlacierMIP3/GlacierMIP3_add_this_study.csv,temp_ch_ipcc,mass_remaining
0.35,60.63340599,73.27662916,78.59978142,91.15007977,105.7744608,109.1981431,114.679344,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/GlacierMIP3/GlacierMIP3_add_this_study.csv,temp_ch_ipcc,mass_remaining
