RGIId,AAR_mean,AAR_steady,disequilibrium
RGI60-13.00014,0.767532553,0.883004808,0.869228057
RGI60-13.00015,0.813510133,0.891717492,0.912295812
RGI60-13.00017,0.871914925,0.92746306,0.940107442
RGI60-13.00021,0.917858875,0.935354094,0.981295619
RGI60-13.00023,0.790426258,0.895469092,0.882695188
RGI60-13.00026,0.799755884,0.934378063,0.855923224
RGI60-13.00031,0.873697951,0.915993452,0.953825542
RGI60-13.00035,0.539514586,0.729690664,0.739374385
RGI60-13.00040,0.724205176,0.800012348,0.905242498
RGI60-13.00044,0.699308352,0.860940189,0.812261247
RGI60-13.00046,0.851984512,0.907074566,0.939266234
RGI60-13.00049,0.702603311,0.85016507,0.826431638
RGI60-13.00052,0.679441474,0.806303921,0.842661751
RGI60-13.00055,0.713700159,0.726138368,0.982870746
RGI60-13.00061,0.59948171,0.756614275,0.792321438
RGI60-13.00062,0.784970464,0.881956876,0.890032704
RGI60-13.00064,0.818819079,0.905331179,0.904441488
RGI60-13.00066,0.791954138,0.884133565,0.895740383
RGI60-13.00080,0.898819566,0.933354404,0.962999224
RGI60-13.00086,0.610710148,0.758647098,0.80499899
RGI60-13.00088,0.775358971,0.850199421,0.911973064
RGI60-13.00089,0.770998474,0.809252603,0.952729063
RGI60-13.00093,0.787597125,0.88070042,0.894284943
RGI60-13.00094,0.830533102,0.887677864,0.935624438
RGI60-13.00095,0.761870392,0.814326481,0.935583466
RGI60-13.00109,0.838162246,0.908678927,0.922396482
RGI60-13.00122,0.79038361,0.858080171,0.921106951
RGI60-13.00130,0.822709439,0.914603439,0.899525853
RGI60-13.00132,0.787179722,0.866319664,0.908648107
RGI60-13.00133,0.81937098,0.902926256,0.907461683
RGI60-13.00135,0.889312166,0.915541615,0.971350894
RGI60-13.00137,0.960460996,,
RGI60-13.00140,0.826376327,0.858297259,0.962809001
RGI60-13.00144,0.798736979,0.773989663,1.031973704
RGI60-13.00147,0.871926085,0.903127967,0.965451317
RGI60-13.00149,0.612844797,0.753252446,0.813598151
RGI60-13.00153,0.730244751,0.771937897,0.94598899
RGI60-13.00162,0.79488291,0.842047297,0.943988434
RGI60-13.00163,0.757713869,0.830291302,0.912587987
RGI60-13.00167,0.717390216,0.765426939,0.937241924
RGI60-13.00168,0.714384103,0.774046737,0.922921149
RGI60-13.00169,0.858105472,0.739819099,1.159885534
RGI60-13.00170,0.723048997,0.782176031,0.924406998
RGI60-13.00171,0.868521704,0.88955706,0.976352999
RGI60-13.00175,0.835546385,0.822229128,1.016196528
RGI60-13.00179,0.827812086,0.841364128,0.983892774
RGI60-13.00181,0.847995378,0.874475762,0.969718562
RGI60-13.00183,0.806216078,0.847674661,0.951091397
RGI60-13.00188,0.66905947,0.728299115,0.918660282
RGI60-13.00199,0.345010071,0.236392459,1.459480016
RGI60-13.00202,0.878226619,0.863205134,1.017401987
RGI60-13.00203,0.917063944,0.927381663,0.988874356
RGI60-13.00209,0.704929961,0.769906377,0.915604783
RGI60-13.00210,0.737862822,0.799472441,0.922937157
RGI60-13.00222,0.618618198,0.785843149,0.787203145
RGI60-13.00233,0.665475714,0.769711865,0.8645777
RGI60-13.00235,0.849529748,0.868605809,0.978038299
RGI60-13.00236,0.71004017,0.754419122,0.941174673
RGI60-13.00237,0.786870411,0.854723774,0.920613694
RGI60-13.00241,0.748116998,0.74834826,0.999690971
RGI60-13.00246,0.754137517,0.840803339,0.896924979
RGI60-13.00272,0.787495382,0.702405702,1.12114036
RGI60-13.00276,0.660320623,0.811601316,0.813602209
RGI60-13.00277,0.89558579,0.910212794,0.983930127
RGI60-13.00284,0.699654664,0.869643959,0.804530011
RGI60-13.00288,0.823434338,0.901450858,0.913454494
RGI60-13.00293,0.701122197,0.828280988,0.84647868
RGI60-13.00299,0.65188552,0.741434822,0.879221612
RGI60-13.00302,0.52717049,0.728674924,0.723464569
RGI60-13.00304,0.531701046,0.695432764,0.764561398
RGI60-13.00306,0.789819167,0.816598772,0.96720592
RGI60-13.00309,0.692000559,0.811187377,0.853071163
RGI60-13.00313,0.62498181,0.706343161,0.884813282
RGI60-13.00330,0.762206077,0.853844653,0.892675353
RGI60-13.00334,0.675441842,0.801775381,0.842432754
RGI60-13.00335,0.70496608,0.843424,0.835838298
RGI60-13.00337,0.750312963,0.738925243,1.015411193
RGI60-13.00347,0.799366752,0.855825734,0.934029814
RGI60-13.00358,0.82387414,0.84561955,0.974284641
RGI60-13.00362,0.763332411,0.812055424,0.940000384
RGI60-13.00369,0.712645806,0.823988534,0.86487345
RGI60-13.00372,0.85249581,0.869474386,0.980472598
RGI60-13.00376,0.770479177,0.795775928,0.968211215
RGI60-13.00377,0.858149567,0.908899859,0.944162944
RGI60-13.00378,0.740516771,0.77718311,0.952821492
RGI60-13.00380,0.625953567,0.7359766,0.850507431
RGI60-13.00381,0.82399394,0.874989226,0.941718956
RGI60-13.00382,0.803928732,0.839597271,0.957517085
RGI60-13.00383,0.748305502,0.842542996,0.888151116
RGI60-13.00385,0.793474492,0.812784392,0.976242285
RGI60-13.00386,0.825908022,0.850331172,0.971278073
RGI60-13.00390,0.741347433,0.824660925,0.898972426
RGI60-13.00391,0.829823836,0.844829273,0.982238498
RGI60-13.00394,0.811675529,0.831395431,0.97628096
RGI60-13.00396,0.712019384,0.822014994,0.866187831
RGI60-13.00399,0.715200544,0.845409091,0.84598161
RGI60-13.00400,0.844821694,0.856127079,0.986794735
RGI60-13.00401,0.774891857,0.845700786,0.916271889
RGI60-13.00403,0.759353485,0.779377641,0.974307506
RGI60-13.00404,0.848373013,0.891461079,0.951665791
RGI60-13.00407,0.647143374,0.778945673,0.830793978
RGI60-13.00412,0.722837119,0.794751617,0.909513241
RGI60-13.00413,0.78779429,0.753908143,1.044947315
RGI60-13.00416,0.738094767,0.816116435,0.904398852
RGI60-13.00417,0.736932258,0.788259028,0.93488591
RGI60-13.00418,0.633246021,0.778504985,0.813412931
RGI60-13.00419,0.775723845,0.866334019,0.895409655
RGI60-13.00420,0.727026056,0.806852259,0.901064659
RGI60-13.00424,0.641389469,0.803808155,0.797938494
RGI60-13.00426,0.865476206,0.888628876,0.973945625
RGI60-13.00430,0.750279223,0.815933964,0.919534248
RGI60-13.00432,0.859471296,0.926999865,0.927153637
RGI60-13.00435,0.670797024,0.812529333,0.825566532
RGI60-13.00439,0.905653829,0.928271096,0.975635063
RGI60-13.00440,0.880481613,0.918087298,0.959039096
RGI60-13.00441,0.897958616,0.920300866,0.975722885
RGI60-13.00444,0.84660689,0.902675809,0.937885874
RGI60-13.00447,0.845192836,0.868576971,0.973077647
RGI60-13.00448,0.891503104,0.933602298,0.954906716
RGI60-13.00450,0.717895705,0.818915706,0.876641759
RGI60-13.00454,0.857011261,0.843300008,1.016259045
RGI60-13.00455,0.805324565,0.902173659,0.892649167
RGI60-13.00456,0.830978436,0.893858095,0.929653645
RGI60-13.00458,0.872345104,0.88681377,0.983684662
RGI60-13.00459,0.777120852,0.841924805,0.923028811
RGI60-13.00460,0.893746863,0.915465677,0.976275666
RGI60-13.00462,0.756194458,0.79012727,0.957053993
RGI60-13.00465,0.900292638,0.932235747,0.965734945
RGI60-13.00468,0.89575164,0.935534929,0.957475357
RGI60-13.00470,0.640249327,0.817521665,0.783158849
RGI60-13.00471,0.668306344,0.81611894,0.818883512
RGI60-13.00473,0.577070397,0.694638403,0.830749343
RGI60-13.00474,0.818125435,0.881351573,0.928262295
RGI60-13.00477,0.498989856,0.589182978,0.846918317
RGI60-13.00478,0.804712407,0.882903384,0.911438807
RGI60-13.00480,0.71044327,0.844463485,0.841295429
RGI60-13.00495,0.593066064,0.734779537,0.807134704
RGI60-13.00498,0.529928681,0.763377607,0.694189449
RGI60-13.00525,0.783920481,0.921265645,0.850916872
RGI60-13.00537,0.672233649,0.775610263,0.866715774
RGI60-13.00543,0.731295775,0.784980894,0.931609649
RGI60-13.00545,0.766035854,0.82678165,0.926527401
RGI60-13.00548,0.689794215,0.842823753,0.818432338
RGI60-13.00549,0.565040789,0.750816911,0.752568011
RGI60-13.00550,0.677168054,0.737943187,0.917642532
RGI60-13.00552,0.825082434,0.874961805,0.942992517
RGI60-13.00553,0.819671966,0.914265358,0.896536175
