Year,SMB,AAR
1984,0.58,0.8
1985,0.04,0.68
1986,0.2,0.73
1987,-0.26,0.6
1988,0.43,0.75
1989,-0.24,0.6
1990,-0.46,0.56
1991,0.44,0.75
1992,-1.65,0.4
1993,-0.8,0.45
1994,-0.72,0.48
1995,-0.2,0.6
1996,0.12,0.68
1997,0.51,0.75
1998,-1.49,0.45
1999,1.84,0.9
2000,0.15,0.7
2001,-1.71,0.42
2002,0.12,0.68
2003,-0.98,0.5
2004,-1.67,0.45
2005,-2.65,0.38
2006,-0.61,0.46
2007,0.2,0.76
2008,0.65,0.8
2009,-1.98,0.36
2010,0.76,0.8
2011,2.2,0.92
2012,0.42,0.75
2013,-1.85,0.38
2014,-1.94,0.32
2015,-3.45,0.05
2016,-0.88,0.43
2017,0.51,0.71
2018,-0.53,0.56
2019,-1.18,0.32
2020,-0.441,0.48
2021,-0.945,0.38
2022,-0.751,0.4
2023,-1.531,0.34
2024,-1.28,0.38
