glacier_id,RGIId,dmdtda,wgms_annual_balance_mean,n_wgms_years,n_wgms_records,first_year,last_year
90,RGI60-01.00570,-0.7728,-0.495,10,10,2000,2011
3334,RGI60-01.01104,-1.1341,-1.215263158,19,19,2000,2018
94,RGI60-01.09162,-0.7622,-0.497142857,7,7,2000,2007
45,RGI60-02.00377,-0.9327,-1.292333333,18,18,2000,2020
41,RGI60-02.01104,-1.3431,-1.033277778,18,18,2000,2020
57,RGI60-02.05098,-0.8338,-0.92935,20,20,2000,2020
77,RGI60-02.17307,-0.9202,-1.035714286,21,21,2000,2020
1666,RGI60-02.17369,-0.8413,-0.83125,12,12,2002,2016
1665,RGI60-02.17612,-0.3767,-0.522583333,12,12,2002,2016
79,RGI60-02.17733,-0.5964,-0.707666667,21,21,2000,2020
1367,RGI60-02.17739,-0.3501,-0.780142857,21,21,2000,2020
75,RGI60-02.17806,-0.2558,-0.972,20,20,2000,2019
1667,RGI60-02.17863,0.0124,-0.473166667,12,12,2002,2016
1664,RGI60-02.18077,-0.5888,-0.904583333,12,12,2002,2016
84,RGI60-02.18337,-0.264,-0.752142857,14,14,2000,2013
76,RGI60-02.18415,-1.2228,-0.784857143,21,21,2000,2020
83,RGI60-02.18487,0.0425,-0.686666667,21,21,2000,2020
3295,RGI60-02.18774,-0.5028,-0.981904762,21,21,2000,2020
205,RGI60-02.18778,-0.5623,-0.714285714,7,7,2000,2008
0,RGI60-03.04539,-0.2335,-0.39052381,21,21,2000,2020
1629,RGI60-05.11186,-0.4064,-1.084571429,21,21,2000,2020
3088,RGI60-06.00234,-0.9198,-0.78952381,21,21,2000,2020
3090,RGI60-06.00236,-0.6332,-0.473888889,18,18,2000,2020
3089,RGI60-06.00238,-0.6675,-0.634444444,18,18,2000,2020
3067,RGI60-06.00377,-0.6326,-0.304,18,18,2000,2020
3096,RGI60-06.00424,-0.7179,-0.593388889,18,18,2000,2020
3126,RGI60-06.00443,-1.8648,-1.270833333,18,18,2000,2020
3069,RGI60-06.00472,-0.5877,-0.750888889,18,18,2000,2020
3068,RGI60-06.00477,-0.636,-0.147769231,13,13,2005,2020
306,RGI60-07.00240,-1.0804,-0.3909,20,20,2000,2019
2307,RGI60-07.00492,-0.7735,-0.990904762,21,21,2000,2020
291,RGI60-07.00493,-0.3637,-0.561666667,21,21,2000,2020
1456,RGI60-07.01481,-0.206,-0.213571429,21,21,2000,2020
342,RGI60-08.00006,-0.6192,-0.8315,16,16,2000,2020
334,RGI60-08.00188,-0.61,-0.717375,16,16,2000,2020
1461,RGI60-08.00199,-0.709,-0.7083,20,20,2000,2020
326,RGI60-08.00210,-0.1538,-0.70875,8,8,2006,2015
332,RGI60-08.00213,-0.315,-0.367333333,21,21,2000,2020
302,RGI60-08.00312,-0.6196,-0.7518,20,20,2000,2020
300,RGI60-08.00449,-0.7591,-0.76675,20,20,2000,2020
299,RGI60-08.00987,-0.3429,-0.89375,12,12,2001,2020
290,RGI60-08.01126,-0.4718,-0.15952381,21,21,2000,2020
323,RGI60-08.01258,-0.8615,-1.1641,20,20,2000,2020
321,RGI60-08.01286,-0.7299,-0.770047619,21,21,2000,2020
298,RGI60-08.01657,-0.3339,-0.1666,20,20,2000,2020
2296,RGI60-08.01779,-0.6754,-0.48852381,21,21,2000,2020
322,RGI60-08.02650,-0.9925,-1.288285714,21,21,2000,2020
317,RGI60-08.02666,-0.6207,-0.809,21,21,2000,2020
780,RGI60-10.01708,-0.0837,-0.245384615,13,13,2000,2012
795,RGI60-10.01732,-0.1975,-0.25,13,13,2000,2012
794,RGI60-10.01737,-0.4245,-0.335466667,15,15,2000,2020
573,RGI60-11.00080,-0.7215,-0.964809524,21,21,2000,2020
547,RGI60-11.00251,-0.8563,-0.7184,20,20,2001,2020
1305,RGI60-11.00289,-1.0506,-0.95695,20,20,2001,2020
545,RGI60-11.00300,-1.5355,-1.05347619,21,21,2000,2020
675,RGI60-11.00603,-1.4038,-1.266095238,21,21,2000,2020
489,RGI60-11.00719,-0.9131,-0.828809524,21,21,2000,2020
480,RGI60-11.00781,-1.0659,-1.116095238,21,21,2000,2020
507,RGI60-11.00787,-0.5148,-0.47647619,21,21,2000,2020
408,RGI60-11.00804,-0.9693,-0.914904762,21,21,2000,2020
491,RGI60-11.00897,-1.1003,-1.11547619,21,21,2000,2020
360,RGI60-11.01450,-1.2107,-1.165,1,1,2020,2020
1507,RGI60-11.01704,-0.9367,-1.041888889,18,18,2000,2017
359,RGI60-11.01876,-1.2491,-1.395,21,21,2000,2020
463,RGI60-11.01987,-0.7398,-0.82847619,21,21,2000,2020
3332,RGI60-11.02679,-0.6518,-0.652380952,21,21,2000,2020
394,RGI60-11.02704,-0.5316,-0.49952381,21,21,2000,2020
395,RGI60-11.02746,-0.8501,-0.706619048,21,21,2000,2020
366,RGI60-11.02766,-0.8258,-0.848190476,21,21,2000,2020
367,RGI60-11.02774,-0.7815,-0.756761905,21,21,2000,2020
1264,RGI60-11.03135,-1.1291,-1.342857143,21,21,2000,2020
942,RGI60-11.03209,-0.5935,-0.88347619,21,21,2000,2020
1107,RGI60-11.03241,-1.0368,-0.464823529,17,17,2000,2020
813,RGI60-13.06361,-0.4667,-0.663333333,6,6,2015,2020
817,RGI60-13.08624,-0.4841,-0.424142857,21,21,2000,2020
753,RGI60-13.11609,-0.2559,-0.1699,10,10,2011,2020
732,RGI60-13.18096,-0.2445,-0.198,9,9,2012,2020
1512,RGI60-13.45334,-0.4308,-0.534714286,21,21,2000,2020
1511,RGI60-13.45335,-0.7449,-0.702388889,18,18,2000,2020
26615,RGI60-16.00543,-0.5476,-0.223619048,21,21,2000,2020
