,RGIId,lat,lon,area_2020,n,slope,intercept,r_value,p_value,mad_err,wgms_AAR_mean,wgms_SMB_mean,standard_error,mb_unc,a
23,RGI60-02.00147,49.75,-117.139999,1754000,7,0.3156609,0.561487842,0.807237135,0.0281595,0.103217637,0.448571429,-0.357714286,0.07302302,0.092295002,0.798897848
1400,RGI60-02.03688,51.23,-117.419998,,5,0.488106915,0.870379966,0.595909796,0.288931187,0.379766927,0.414,-0.935,0.046784613,0.153648951,0.475654331
57,RGI60-02.05098,51.6599,-116.5638,,6,0.057041204,0.210347891,0.65907941,0.15452821,0.032544765,0.127666667,-1.4495,0.026947136,,0.606931051
93528,RGI60-02.12468,62.1117,-127.9991,,5,0.10184197,0.17458647,0.555629046,0.33085775,0.087984684,0.0924,-0.807,0.016794285,,0.529250635
77,RGI60-02.17307,48.825901,-121.622002,460000,9,0.165898365,0.541822522,0.854297398,0.003361195,0.038151125,0.335555556,-1.243333333,0.033632403,0.058296119,0.619308984
79,RGI60-02.17733,48.79868,-121.77805,1440000,10,0.157402998,0.574315459,0.959234176,1.15E-05,0.016395877,0.399,-1.1138,0.051796718,0.056927504,0.694740136
1367,RGI60-02.17739,48.758999,-121.825302,2700000,10,0.128594742,0.557396221,0.81105133,0.004408867,0.032791945,0.397,-1.2473,0.035300142,0.05853141,0.712240207
75,RGI60-02.17806,48.447399,-121.030998,,5,0.184519236,0.564602122,0.930074092,0.02196254,0.042079398,0.362,-1.098,0.046164922,0.072801099,0.641159475
76,RGI60-02.18415,47.963699,-121.348503,730000,9,0.170304739,0.507399713,0.863833929,0.002678175,0.037539243,0.314444444,-1.133,0.04295019,0.057587555,0.619717426
83,RGI60-02.18487,47.56637,-121.17219,320000,8,0.273793747,0.663422176,0.977992773,2.62E-05,0.023845545,0.3975,-0.97125,0.058570204,0.068138514,0.599165982
3295,RGI60-02.18774,48.8139,-121.770103,660000,9,0.166241186,0.54602561,0.954707308,6.23E-05,0.019582778,0.295555556,-1.506666667,0.04052468,0.05077524,0.541285153
0,RGI60-03.04539,79.5146,-90.877,38541635,9,0.513135793,0.573300216,0.830475997,0.005571994,0.130092968,0.381444444,-0.373888889,0.063752049,0.102062073,0.66534851
4566,RGI60-05.07217,64.162,-51.3598,713548,6,0.354703388,0.497948467,0.703262245,0.119015574,0.179285514,0.433333333,-0.182166667,0.055760732,,0.870237307
3350,RGI60-05.20030,74.379997,-20.82,5304200,9,0.711307893,0.615680181,0.976172146,6.72E-06,0.059763641,0.308,-0.432555556,0.108656441,0.066897748,0.500259728
3088,RGI60-06.00234,64.800003,-18.58,207740000,10,0.126938822,0.544082886,0.98753147,1.04E-07,0.007154234,0.465,-0.623,0.029300171,0.031622777,0.854649194
3090,RGI60-06.00236,64.720001,-19.049999,47780000,10,0.116283882,0.578628181,0.969427597,3.68E-06,0.010406243,0.572,-0.057,0.028523674,0.067082039,0.988545008
3089,RGI60-06.00238,64.919998,-18.83,72810000,10,0.234785247,0.561227652,0.982413631,4.10E-07,0.015776718,0.422,-0.593,0.050035987,0.067082039,0.751923037
3067,RGI60-06.00377,64.669998,-16.17,1495000000,10,0.142130775,0.627246588,0.969785147,3.52E-06,0.01264117,0.614,-0.0932,0.0235457,,0.978881371
3096,RGI60-06.00424,64.580002,-17.83,289000000,10,0.15525852,0.577293904,0.984224852,2.66E-07,0.009867299,0.523,-0.3497,0.038498052,,0.905951018
3126,RGI60-06.00443,64.32,-18.07,330000000,10,0.194328663,0.609048266,0.973174963,2.19E-06,0.016242539,0.401,-1.0706,0.041266209,,0.658404304
3069,RGI60-06.00472,64.650002,-15.58,106500000,10,0.156412314,0.549193573,0.930813085,9.22E-05,0.021714287,0.453,-0.615,0.031687537,,0.824845778
3068,RGI60-06.00477,64.669998,-17,1039000000,10,0.110613917,0.645480617,0.907328373,0.000288159,0.018121177,0.656,0.0951,0.021734765,,1.016296978
306,RGI60-07.00240,77.077003,15.63,,7,0.615342662,0.696083957,0.886384854,0.007853904,0.143728523,0.315714286,-0.618142857,0.062494315,,0.453557768
291,RGI60-07.00493,78.880997,12.048,,5,0.530138679,0.392080187,0.996323367,0.000267467,0.026318984,0.162,-0.434,0.057438663,,0.413180787
3479,RGI60-07.00570,78.699997,17.183001,,6,0.425684515,0.502029771,0.964921296,0.001824191,0.0579109,0.478333333,-0.055666667,0.041727733,,0.95279874
3504,RGI60-07.01464,78.898744,13.1805,,9,0.283698611,0.425534212,0.922503841,0.000395216,0.044865623,0.364444444,-0.215333333,0.042892663,,0.856439821
1456,RGI60-07.01481,78.800003,12.98,,9,0.434721978,0.435875079,0.893571455,0.001165267,0.082547363,0.302222222,-0.307444444,0.052746254,,0.693368895
334,RGI60-08.00188,67.91,18.5,3381140,7,0.260554009,0.432545196,0.957246368,0.000709359,0.035212615,0.318571429,-0.437428571,0.032225517,,0.736504373
1461,RGI60-08.00199,68.08,18.68,3219440,9,0.265051617,0.424891158,0.935978993,0.000205267,0.037681389,0.247777778,-0.668222222,0.051466824,,0.583155881
