,RGIId,lat,lon,AAR_mean,AAR_steady,disequilibrium
0,RGI60-03.04539,79.5146,-90.877,0.3814444444444445,0.6437589520980775,0.5925268195514443
1,RGI60-03.00840,79.441582,-90.957779,,,
7,,52.1707,-117.2783,0.703375,0.70854079876323,0.9927092430354795
8,,52.14,-117.19,,,
16,,79.949997,-99.129997,0.3333333333333333,0.6908342653683552,0.482508396070364
23,RGI60-02.00147,49.75,-117.139999,0.39375,0.5575291988080078,0.7062410378538627
24,RGI60-02.04379,51.330002,-125.050003,,,
30,,56.974998,-130.684006,,,
32,RGI60-01.05355,57.099998,-130.820007,,,
34,RGI60-01.04591,56.93,-130.970001,,,
39,,75.419998,-83.25,0.2896666666666667,0.6419157132179116,0.4512534289191536
41,RGI60-02.01104,50.425,-122.601,0.13566666666666669,0.38476009891754076,0.3526006647995531
44,RGI60-02.00296,49.886002,-122.980003,,,
45,RGI60-02.00377,49.9576,-122.9873,0.04911111111111111,0.28667863359735,0.17131067807477188
46,RGI60-02.02107,50.791801,-123.414001,,,
47,RGI60-02.02636,50.82,-123.57,,,
48,RGI60-04.07381,58.937801,-63.550598,,,
49,RGI60-04.07380,58.9296,-63.564499,,,
50,RGI60-04.07329,58.886501,-63.685001,,,
51,RGI60-04.07387,58.950001,-63.779999,,,
52,,83.080002,-73.800003,,,
53,RGI60-03.04079,83.120003,-74.169998,,,
57,RGI60-02.05098,51.6599,-116.5638,0.09066666666666666,0.41645649743498436,0.21770981417049737
59,RGI60-02.02631,50.869999,-123.580002,,,
66,RGI60-02.04503,51.4455,-124.911,,,
72,,,,,,
75,RGI60-02.17806,48.447399,-121.030998,0.30166666666666664,0.6428846373276303,0.4692391902855965
76,RGI60-02.18415,47.963699,-121.348503,0.28300000000000003,0.6156494360067923,0.4596771855028188
77,RGI60-02.17307,48.825901,-121.622002,0.302,0.6154160335352563,0.4907249462857858
79,RGI60-02.17733,48.79868,-121.77805,0.39899999999999997,0.6264110558266803,0.6369619378339931
81,,47.57,-121.18,0.289,0.6378717541819288,0.45306912887315853
82,,47.549999,-121.169998,0.30300000000000005,0.6181615666947669,0.490163116448833
83,RGI60-02.18487,47.56637,-121.17219,0.318,0.5847981048644222,0.5437774119902871
84,RGI60-02.18337,47.57195,-121.2097,,0.6437591993967418,
89,RGI60-02.17379,48.65777,-121.57539,,,
90,RGI60-01.00570,63.2894,-145.4738,,0.6294449057618209,
94,RGI60-01.09162,60.4298,-148.9049,,0.6265481980710813,
124,RGI60-01.01390,58.651001,-134.278,0.595,0.7948253798986937,0.748592099658213
150,RGI60-01.22699,60.0,-139.300003,,,
188,RGI60-02.14103,47.72705,-123.33893,0.23500000000000001,,
201,RGI60-02.14336,46.82,-121.739998,0.26,0.5166533118147424,0.5032388142190577
203,RGI60-02.14297,46.849998,-121.720001,0.415,0.45242707377822,0.9172749025259112
205,RGI60-02.18778,48.3475,-121.0479,,0.4264577465816393,
210,RGI60-02.14017,47.819,-123.684998,0.33999999999999997,,
218,RGI60-02.17023,48.619801,-113.7575,,,
226,RGI60-16.02086,-9.6529,-77.2709,0.32999999999999996,0.356540342199185,0.9255614609121623
286,RGI60-08.00295,66.454002,13.638,,,
290,RGI60-08.01126,61.720001,7.13,0.5800000000000001,0.5855715878107649,0.9904852149135259
291,RGI60-07.00493,78.881,12.048,0.08779999999999999,0.27807351442377526,0.31574384270986544
292,,78.890364,11.867832,0.0533,0.19566126287208596,0.27240956752305645
297,,66.669998,14.0,,0.570261672547419,
298,RGI60-08.01657,66.650002,13.85,0.5650000000000001,0.5881156836291903,0.960695345707249
299,RGI60-08.00987,61.657001,8.6,0.0,0.1925379610234359,0.0
300,RGI60-08.00449,61.560001,8.44,0.205,0.5170454625162342,0.39648351037132135
