,gcm,period_scenario,temp_ch_ipcc
0,era5,2014-2023,1.2
1,gfdl-esm4,1851-1870_hist,0.231409328
2,gfdl-esm4,1901-1920_hist,0.478289046
3,gfdl-esm4,1951-1970_hist,0.392281326
4,gfdl-esm4,1995-2014_hist,0.901467077
5,gfdl-esm4,2021-2040_ssp126,1.493792069
6,gfdl-esm4,2041-2060_ssp126,1.678749959
7,gfdl-esm4,2061-2080_ssp126,1.730055687
8,gfdl-esm4,2081-2100_ssp126,1.684476548
9,gfdl-esm4,2021-2040_ssp370,1.488564228
10,gfdl-esm4,2041-2060_ssp370,2.049608082
11,gfdl-esm4,2061-2080_ssp370,2.814161775
12,gfdl-esm4,2081-2100_ssp370,3.532319558
13,gfdl-esm4,2021-2040_ssp585,1.529802668
14,gfdl-esm4,2041-2060_ssp585,2.18911609
15,gfdl-esm4,2061-2080_ssp585,3.048039704
16,gfdl-esm4,2081-2100_ssp585,4.001455777
17,ipsl-cm6a-lr,1851-1870_hist,-0.131913088
18,ipsl-cm6a-lr,1901-1920_hist,-0.143528775
19,ipsl-cm6a-lr,1951-1970_hist,0.302892464
20,ipsl-cm6a-lr,1995-2014_hist,0.913312833
21,ipsl-cm6a-lr,2021-2040_ssp126,1.636714967
22,ipsl-cm6a-lr,2041-2060_ssp126,2.049075593
23,ipsl-cm6a-lr,2061-2080_ssp126,2.191208244
24,ipsl-cm6a-lr,2081-2100_ssp126,2.171220561
25,ipsl-cm6a-lr,2021-2040_ssp370,1.678163601
26,ipsl-cm6a-lr,2041-2060_ssp370,2.594826972
27,ipsl-cm6a-lr,2061-2080_ssp370,3.513114684
28,ipsl-cm6a-lr,2081-2100_ssp370,4.677751369
29,ipsl-cm6a-lr,2021-2040_ssp585,1.66491004
30,ipsl-cm6a-lr,2041-2060_ssp585,2.84393776
31,ipsl-cm6a-lr,2061-2080_ssp585,4.160098437
32,ipsl-cm6a-lr,2081-2100_ssp585,5.849305066
33,mpi-esm1-2-hr,1851-1870_hist,0.083373661
34,mpi-esm1-2-hr,1901-1920_hist,0.101656085
35,mpi-esm1-2-hr,1951-1970_hist,0.353009146
36,mpi-esm1-2-hr,1995-2014_hist,0.904939372
37,mpi-esm1-2-hr,2021-2040_ssp126,1.469113359
38,mpi-esm1-2-hr,2041-2060_ssp126,1.656830929
39,mpi-esm1-2-hr,2061-2080_ssp126,1.695689732
40,mpi-esm1-2-hr,2081-2100_ssp126,1.659995843
41,mpi-esm1-2-hr,2021-2040_ssp370,1.493779364
42,mpi-esm1-2-hr,2041-2060_ssp370,2.092677072
43,mpi-esm1-2-hr,2061-2080_ssp370,2.718960922
44,mpi-esm1-2-hr,2081-2100_ssp370,3.454510652
45,mpi-esm1-2-hr,2021-2040_ssp585,1.528303178
46,mpi-esm1-2-hr,2041-2060_ssp585,2.139652727
47,mpi-esm1-2-hr,2061-2080_ssp585,2.950347
48,mpi-esm1-2-hr,2081-2100_ssp585,3.99079854
49,mri-esm2-0,1851-1870_hist,0.190948213
50,mri-esm2-0,1901-1920_hist,0.252478266
51,mri-esm2-0,1951-1970_hist,0.382652065
52,mri-esm2-0,1995-2014_hist,0.922248887
53,mri-esm2-0,2021-2040_ssp126,1.72632431
54,mri-esm2-0,2041-2060_ssp126,1.996245332
55,mri-esm2-0,2061-2080_ssp126,2.09126599
56,mri-esm2-0,2081-2100_ssp126,1.94778826
57,mri-esm2-0,2021-2040_ssp370,1.705488886
58,mri-esm2-0,2041-2060_ssp370,2.404955866
59,mri-esm2-0,2061-2080_ssp370,3.105613809
60,mri-esm2-0,2081-2100_ssp370,3.811452497
61,mri-esm2-0,2021-2040_ssp585,1.911734937
62,mri-esm2-0,2041-2060_ssp585,2.687007085
63,mri-esm2-0,2061-2080_ssp585,3.541685939
64,mri-esm2-0,2081-2100_ssp585,4.594325176
65,ukesm1-0-ll,1851-1870_hist,0.373094842
66,ukesm1-0-ll,1901-1920_hist,0.353528895
67,ukesm1-0-ll,1951-1970_hist,0.23742077
68,ukesm1-0-ll,1995-2014_hist,1.058767333
69,ukesm1-0-ll,2021-2040_ssp126,2.176143904
70,ukesm1-0-ll,2041-2060_ssp126,2.739835015
71,ukesm1-0-ll,2061-2080_ssp126,2.951472593
72,ukesm1-0-ll,2081-2100_ssp126,3.038482623
73,ukesm1-0-ll,2021-2040_ssp370,2.32331738
74,ukesm1-0-ll,2041-2060_ssp370,3.414120006
75,ukesm1-0-ll,2061-2080_ssp370,4.439976801
76,ukesm1-0-ll,2081-2100_ssp370,5.840495128
77,ukesm1-0-ll,2021-2040_ssp585,2.319732626
78,ukesm1-0-ll,2041-2060_ssp585,3.646967578
79,ukesm1-0-ll,2061-2080_ssp585,5.230543689
80,ukesm1-0-ll,2081-2100_ssp585,6.884361024
