RGIId,lon,lat,thickness_for_area_lost_total,thickness_for_area_lost_total_err,thickness_for_area_gained_total,thickness_for_area_gained_total_err,gate_length_km,net_area_change_per_year_total,net_area_change_per_year_total_error,Discharge_2000_to_2020_per_yr_mean_without_melt,Discharge_2000_to_2020_per_yr_mean_err_without_melt,terminus_gt_change_per_year_total_without_melt,terminus_gt_change_per_year_total_area_error_without_melt,terminus_gt_change_per_year_total_above_water_min,terminus_gt_change_per_year_total_above_water_max,Frontal_ablation_2000_to_2020_AVG_gt_per_yr_mean_without_melt,Frontal_ablation_2000_to_2020_AVG_gt_per_yr_mean_without_melt_err,Above_water_frontal_ablation_2000_to_2020_AVG_gt_per_yr_mean_without_melt_min,Above_water_frontal_ablation_2000_to_2020_AVG_gt_per_yr_mean_without_melt_max,Above_water_frontal_ablation_2000_to_2020_AVG_gt_per_yr_mean_err_without_melt,Frontal_ablation_2000_to_2020_gt_per_yr_mean,Frontal_ablation_2000_to_2020_gt_per_yr_mean_err,fa_mwea,fa_mwea_err,Romain_mwea_raw,Romain_mwea_raw_err,Romain_area_km2,Romain_gta_raw,Romain_gta_raw_err,Romain_gta_mbtot,Romain_gta_mbtot_err,Romain_gta_mbclim,Romain_gta_mbclim_err,Romain_mwea_mbtot,Romain_mwea_mbtot_err,Romain_mwea_mbclim,Romain_mwea_mbclim_err,thick_measured_yn,area_km2
RGI60-01.03377,-132.79069073148898,57.503521878898745,76.53870924640376,72.3229814613713,106.78006327499551,53.390031637497756,1.5284018277383122,-0.09156981052886436,0.0091163830539214,0.09818762807206304,0.004211681052037522,-0.006307771593435325,0.00599333219951741,-0.0006307771593435326,-0.0031538857967176627,0.10449539966549837,0.007325181781898936,0.09881840523140656,0.1013415138687807,0.007325181781898936,0.07282780738369579,0.0079092466190532,0.13907994481193903,0.015104362231948772,-1.5520408534168817,0.13647877078024373,,-0.8127105060122838,0.07146572889273915,-0.8171259461276885,0.07147010541472079,-0.7442981387439928,0.07190641244056267,-1.560473060696383,0.13648712866519924,-1.421393115884444,0.13732034827258693,,523.6398927406249
RGI60-01.03622,-132.35439073955118,56.836467441270855,80.68265757838593,79.2806727049035,75.00350251532097,37.501751257660494,0.8452365231643637,-0.009058484583079816,0.0035353908188354953,0.006488915847518669,0.002852198054369264,-0.0006577763488161455,0.0006954631955089762,-6.577763488161454e-05,-0.00032888817440807273,0.007146692196334815,0.002935762728432829,0.006554693482400284,0.006817804021926742,0.002935762728432829,0.0023180808087108398,0.003116257771480765,0.005173261162437733,0.006954552766567156,-1.0373349418492883,0.096474008788271,,-0.4648182539798372,0.043228930705309934,-0.4652786974240085,0.04323005390407779,-0.4629606166152977,0.043342226789215454,-1.0383625135276695,0.09647651543106861,-1.033189252365232,0.09672685166955547,,448.0888816404774
RGI60-01.03890,-133.16519057250937,57.931071695887134,79.70292383770743,76.90334864278951,101.09336589504818,50.54668294752409,0.925830062943515,-0.03689984168503739,0.007571680383530527,0.003102237753438405,0.0018375270537932466,-0.002646922744301397,0.0026110637865915626,-0.00026469227443013977,-0.0013234613721506989,0.005749160497739802,0.0031928294303128625,0.003366930027868544,0.004425699125589103,0.0031928294303128625,0.0,0.0027625192392300626,,,,,,-0.3513915722176222,0.028468120411285634,-0.35324441813863316,0.0284694607408874,-0.35324441813863316,0.02860317652681333,-1.2816602249367353,0.10329441481131418,-1.2816602249367353,0.10377956955252843,,196.44251387194439
RGI60-01.04375,-133.06670032211608,57.832217399335526,77.69496838607142,70.42138254170739,98.7443958673818,49.3721979336909,1.6275463945920188,-0.1629400254362874,0.014008683142375557,0.17919450892558467,0.005131188993183784,-0.011393658112588223,0.010373369653480246,-0.0011393658112588225,-0.005696829056294111,0.19058816703817288,0.011573067806399271,0.18033387473684348,0.1848913379818788,0.011573067806399271,0.13378804950355394,0.0125943612083763,0.2184322486380525,0.020562484086685318,-1.5451621839254712,0.13975107550079846,,-0.9463997923520328,0.08559644431558798,-0.9543753530308445,0.08560570926529389,-0.8205873035272906,0.08652719452900964,-1.5581836732115961,0.13976620214181976,-1.339751424573544,0.14127068702658455,,612.4922045061394
RGI60-01.09426,-148.71519303850633,60.65460938466589,92.95877292104431,12.91616565695976,61.45022395824051,30.67344066011581,1.1807084394357794,-0.0013711665853007992,0.004467319124713828,0.0034229338233757373,0.0019475372926944497,-0.00011756573233535076,0.000335703418377266,-1.1756573233535078e-05,-5.878286616767538e-05,0.003540499555711089,0.001976258660081166,0.003434690396609273,0.003481716689543413,0.001976258660081166,0.0008413350481514311,0.0020517847521435654,0.027522005463757247,0.06711860070850771,-0.5787795550520337,0.0998537656723921,,-0.017693024785566974,0.0030524836883966955,-0.01777532079820172,0.003059371647024791,-0.01693398575005029,0.00368369047881985,-0.5814716470008423,0.10007908664934782,-0.553949641537085,0.12050199228907281,,30.569540045305036
RGI60-01.09519,-148.68764725802558,60.64435690301176,92.63607595671424,18.602257544575192,113.99904064523436,29.904981324729796,0.4210672644735607,-6.639963646003197e-05,0.0026440077191169325,0.00028242553283527595,0.00019472642884093668,1.3085777266314694e-06,0.00017420277333745547,1.3085777266314695e-07,6.542888633157347e-07,0.00028111695510864455,0.00026127569410032246,0.00028229467506261284,0.00028177124397196025,0.00026127569410032246,0.0002327913747774583,0.0003450114278040532,0.00905081467389915,0.013413875391289598,-0.6031148302682929,0.10194868023123428,,-0.015512408058880751,0.0026221698579485197,-0.015511492054472109,0.0026223968221432306,-0.01527870067969465,0.002644994891885863,-0.6030792164653718,0.10195750448800024,-0.5940284017914725,0.10283610637530786,,25.720488504618807
RGI60-01.09639,-148.4203296630179,60.27492924189782,87.52666538289441,42.319980046800424,76.39740537541327,38.19870268770664,3.0787405967223505,-0.04664925978959692,0.013368394756544609,0.2355778553641437,0.008310570694342509,-0.003674748736767385,0.0020654091776088628,-0.0003674748736767385,-0.0018373743683836926,0.23925260410091104,0.008563381361157255,0.23594533023782044,0.23741522973252735,0.008563381361157255,0.2263683466382136,0.008729646909128409,0.6004152564786903,0.023154355570258554,-0.6028138522437031,0.08335684761436647,,-0.22727266436119042,0.031427169066459856,-0.22984498847692758,0.031439291068397705,-0.0034766418387139897,0.032628756611944115,-0.6096366376138018,0.0833889997902808,-0.00922138113511151,0.08654391641182767,,377.0196446469674
RGI60-01.09757,-148.4591949381201,60.178622563316075,91.58643098611964,28.34596310105961,64.2283529393321,32.05076197098617,1.3068234251406503,-0.003215897243823424,0.005003527490065546,0.012002735480305926,0.0061878261330708595,-0.00026849003368746376,0.0003600912329773191,-2.6849003368746376e-05,-0.00013424501684373188,0.012271225513993391,0.006198294761398636,0.012029584483674673,0.012136980497149657,0.006198294761398636,0.008833849433361766,0.006233043793385143,0.1614436497658552,0.11391243950278215,-0.5151436555055087,0.1019668812753124,,-0.028187553340668497,0.0055794085284987935,-0.02837549636424972,0.005614116838576451,-0.019541646930887953,0.008388631760152825,-0.5185784217310222,0.10260119548888502,-0.357134771965167,0.15330704220362287,,54.717850136401566
RGI60-01.09783,-148.45147272395144,60.97146680072354,88.74517659802821,39.77015894727456,113.34720655708117,32.96438184769496,2.016656950399904,-0.0005145352010509636,0.007718635117620119,0.017037248304793626,0.010060434745446076,3.164665276772819e-05,0.0005354688248163062,3.1646652767728195e-06,1.5823326383864096e-05,0.017005601652025897,0.010074674889530124,0.017034083639516855,0.017021424978409763,0.010074674889530124,0.006036023654520065,0.010153486107315049,0.11482209788998074,0.19314778113330414,-0.7624984524242218,0.09952061221601287,,-0.04008338795357571,0.005231647744528708,-0.0400612352966383,0.00532926551451011,-0.03402521164211823,0.011467098632853317,-0.7620770467623195,0.10137757596932963,-0.6472549488723387,0.21813637538506953,,52.56848433742789
RGI60-01.09798,-148.40018726278325,60.115437081038465,85.99419866687845,46.891101375530845,70.99633374409288,35.49816687204644,1.3600031804104824,-0.07092161207643546,0.009869001411873272,0.006532281016183882,0.0029300111326619393,-0.005488962478808649,0.0030889565405726213,-0.0005488962478808648,-0.0027444812394043245,0.01202124349499253,0.004257536582000122,0.007081177264064747,0.009276762255588206,0.004257536582000122,0.0051751565610462895,0.004392520903915009,0.12392905564381561,0.1051873428555464,-0.9383717043724537,0.12432178725328895,,-0.03918548767563074,0.005191556650233909,-0.04302776141079679,0.005210105838800325,-0.037852604849750504,0.006814649128372756,-1.030382322777377,0.12476598317178499,-0.9064532671335614,0.16318985156507865,,41.759025227467255
