RGIId,calving_k,calving_k_nmad,calving_thick,calving_flux_Gta,fa_gta_obs,fa_gta_obs_unc,fa_gta_max,calving_flux_Gta_bndlow,calving_flux_Gta_bndhigh,no_errors,oggm_dynamics,mb_clim_gta,mb_total_gta,mb_clim_mwea,mb_total_mwea,area_km2,mb_total_gta_obs,mb_clim_gta_obs,mb_total_mwea_obs,mb_clim_mwea_obs,calving_flux_Gta_rnd1,calving_k_rnd1,O1Region
RGI60-05.00119,0.17500000000000002,0.07105,27.410477380271104,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0005546516157268818,-0.0005546516157268818,-0.31858220317454444,-0.31858220317454444,1.7409999999999999,0.0,-0.0005546516157268818,-0.31858220317454444,-0.31858220317454444,0.0,0.0,0.0
RGI60-05.00151,0.17500000000000002,0.07105,19.338218975985882,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0024482822541995993,-0.0024482822541995993,-0.6385712713092331,-0.6385712713092331,3.8339999999999996,0.0,-0.0024482822541995993,-0.6385712713092331,-0.6385712713092331,0.0,0.0,0.0
RGI60-05.00304,0.17500000000000002,0.07105,94.17162694310987,0.00016250231364663294,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0370584362369608,-0.03722093855060743,-0.6775470561652949,-0.6805181195832787,54.695,0.0,-0.037107186931054796,-0.6784383751906901,-0.6784383751906901,0.0,0.0,0.0
RGI60-05.00327,0.17500000000000002,0.07105,50.316141355011574,4.280254822917123e-08,,0.0,0.0,0.0,0.0,1.0,1.0,-0.007266877134198141,-0.00726691993674637,-0.6232313151113328,-0.6232349859988311,11.66,0.0,-0.007266889974962609,-0.6232324163775822,-0.6232324163775822,0.0,0.0,0.0
RGI60-05.00404,0.17500000000000002,0.07105,71.55884476054284,1.0838682295335226e-05,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0025639974403954967,-0.002574836122690832,-0.7646875754236495,-0.7679201081690523,3.353,0.0,-0.0025672490450840972,-0.7656573352472703,-0.7656573352472703,0.0,0.0,0.0
RGI60-05.00824,0.17500000000000002,0.07105,35.311827670795466,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,-0.003708951868552103,-0.003708951868552103,-0.6412434074260206,-0.6412434074260206,5.784,0.0,-0.003708951868552103,-0.6412434074260206,-0.6412434074260206,0.0,0.0,0.0
RGI60-05.00831,0.17500000000000002,0.07105,69.27846409169254,7.640747481241481e-05,,0.0,0.0,0.0,0.0,1.0,1.0,-0.05067376517062086,-0.05075017264543327,-1.0765160853717894,-1.0781392897143374,47.071999999999996,0.0,-0.05069668741306458,-1.0770030466745537,-1.0770030466745537,0.0,0.0,0.0
RGI60-05.02452,0.17500000000000002,0.07105,44.21620824155955,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,-0.005944697456769072,-0.005944697456769072,-0.40672533229126107,-0.40672533229126107,14.616,0.0,-0.005944697456769072,-0.40672533229126107,-0.40672533229126107,0.0,0.0,0.0
RGI60-05.02544,0.17500000000000002,0.07105,72.78350074054744,1.693568536131549e-05,,0.0,0.0,0.0,0.0,1.0,1.0,6.789872817426892e-05,5.096304281295343e-05,0.18704883794564442,0.14039405733595986,0.363,0.0,6.281802256587428e-05,0.17305240376273906,0.17305240376273906,0.0,0.0,0.0
RGI60-05.02547,0.17500000000000002,0.07105,106.52100097290533,0.00011103464000834617,,0.0,0.0,0.0,0.0,1.0,1.0,-0.00936418491186052,-0.009475219551868867,-0.4019135976591494,-0.4066792373865344,23.299,0.0,-0.009397495303863026,-0.4033432895773649,-0.4033432895773649,0.0,0.0,0.0
