RGIId,calving_k,calving_k_nmad,calving_thick,calving_flux_Gta,fa_gta_obs,fa_gta_obs_unc,fa_gta_max,calving_flux_Gta_bndlow,calving_flux_Gta_bndhigh,no_errors,oggm_dynamics,mb_clim_gta,mb_total_gta,mb_clim_mwea,mb_total_mwea,area_km2,mb_total_gta_obs,mb_clim_gta_obs,mb_total_mwea_obs,mb_clim_mwea_obs,calving_flux_Gta_rnd1,calving_k_rnd1
RGI60-09.00051,0.08143750000000001,0.017418750000000004,674.8539127127184,0.07061312735579807,0.07396074010085324,0.02785112460927309,0.07396074010085324,8.465643108353815e-05,2.528238302225471,1.0,1.0,-0.12692463919342892,-0.20088537929428216,-0.29008621707238114,-0.459123461882141,437.891,-0.20088537929428216,-0.12692463919342892,-0.459123461882141,-0.29008621707238114,0.07061312735579807,0.08143750000000001
RGI60-09.00055,0.04740625,0.01883398437500001,206.732406952084,0.01025272602436097,0.01020381033141141,0.006947777891990721,0.01020381033141141,7.282039022104341e-05,18.445927066338797,1.0,1.0,-0.06962401894377339,-0.0798278292751848,-0.18189085661011398,-0.20854803368813352,383.049,-0.0798278292751848,-0.06962401894377339,-0.20854803368813352,-0.18189085661011398,0.01025272602436097,0.04740625
RGI60-09.00057,0.0938125,0.02410156250000001,595.5502847201913,0.1544912131385555,0.15743715907910874,0.060389914170269725,0.15743715907910874,6.926651250608965e-05,0.9103267041205456,1.0,1.0,-0.05285713394752632,-0.21029429302663505,-0.1334386176200823,-0.5308910578224788,396.401,-0.21029429302663505,-0.05285713394752632,-0.5308910578224788,-0.1334386176200823,0.1544912131385555,0.0938125
RGI60-09.00061,0.08143750000000001,0.026576562500000008,578.6167445791599,0.06391883713308948,0.06604671573423176,0.03549152881322558,0.06604671573423176,3.255468767229727e-05,1.9252978821355191,1.0,1.0,-0.053413921985182335,-0.11946063771941408,-0.16093970727256948,-0.35994286415609944,332.142,-0.11946063771941408,-0.053413921985182335,-0.35994286415609944,-0.16093970727256948,0.06391883713308948,0.08143750000000001
RGI60-09.00065,0.07525000000000001,0.02236875000000001,530.445902996492,0.15831436329413426,0.15206070775534836,0.0706381840516425,0.15206070775534836,8.998957360052451e-05,2.72940387611019,1.0,1.0,-0.09304297363023044,-0.2451036813855788,-0.09728051711944412,-0.2562666684303125,957.197,-0.2451036813855788,-0.09304297363023044,-0.2562666684303125,-0.09728051711944412,0.15831436329413426,0.07525000000000001
RGI60-09.00066,0.10625,0.023025000000000004,678.2065116490459,0.0761631435603516,0.07951024892051944,0.028291500025893805,0.07951024892051944,2.3788197116261474e-05,0.16203199746521646,1.0,1.0,-0.0516741137647378,-0.13118436268525724,-0.23190218246189795,-0.5887268846078233,222.998,-0.13118436268525724,-0.0516741137647378,-0.5887268846078233,-0.23190218246189795,0.0761631435603516,0.10625
RGI60-09.00069,0.08762500000000001,0.0180375,562.1202421971742,0.07210813891206523,0.07553585051411972,0.025530707962816226,0.07553585051411972,2.987103601600534e-05,0.9707164313821616,1.0,1.0,-0.025840889516546187,-0.10137674003066592,-0.10352908856793687,-0.4061563550528391,249.782,-0.10137674003066592,-0.025840889516546187,-0.4061563550528391,-0.10352908856793687,0.07210813891206523,0.08762500000000001
RGI60-09.00070,0.15000000000000002,0.017424999999999996,453.0371962142228,0.06412799037094845,0.06234999029838066,0.011826636630791938,0.06234999029838066,7.945623169895328e-06,0.6048465454152362,1.0,1.0,-0.03604269578587396,-0.09839268608425462,-0.20935798196308114,-0.5715247916222699,132.985,-0.09839268608425462,-0.03604269578587396,-0.5715247916222699,-0.20935798196308114,0.06412799037094845,0.15000000000000002
RGI60-09.00072,0.2625,0.019037499999999985,1084.9244547707183,0.3249692856988651,0.32895287632046244,0.025952917939569217,0.32895287632046244,5.354095161160423e-05,30.991180589797004,1.0,1.0,-0.1011068540670374,-0.43005973038749984,-0.15112964579208135,-0.6428325292349323,669.472,-0.43005973038749984,-0.1011068540670374,-0.6428325292349323,-0.15112964579208135,0.3249692856988651,0.2625
RGI60-09.00077,0.15625000000000006,0.02608437500000001,846.4853782400604,0.24255468120789886,0.2430420101790119,0.07249515952429975,0.2430420101790119,3.806602337712204e-05,40.6698889979149,1.0,1.0,-0.12812257200492375,-0.3711645821839357,-0.1220868714306026,-0.3536794642472682,757.677,-0.3711645821839357,-0.12812257200492375,-0.3536794642472682,-0.1220868714306026,0.24255468120789886,0.15625000000000006
RGI60-09.00080,0.11875,0.03239296875,210.83669447067928,0.08483180888007423,0.053364100451773484,0.02224110017305047,0.053364100451773484,2.2163591810877665e-05,0.030007981228463668,1.0,1.0,-0.03421296888345513,-0.08757706933522863,-0.3992038062053845,-1.0218668696665718,85.76799999999999,-0.08757706933522863,-0.03421296888345513,-1.0218668696665718,-0.3992038062053845,0.08483180888007423,0.11875
RGI60-09.00081,0.11875,0.03239296875,0.4373756206899309,0.041865391837449084,0.09554661412388762,0.02724711114130265,0.09554661412388762,1.721461477395089e-05,0.00949136220760683,1.0,1.0,-0.01929999002541376,-0.11484660414930138,-0.23433531525844634,-1.3944367408610394,82.426,-0.11484660414930138,-0.01929999002541376,-1.3944367408610394,-0.23433531525844634,0.041865391837449084,0.11875
RGI60-09.00087,0.0938125,0.013210937500000006,554.8345200674141,0.1118948744117284,0.11135133287759323,0.03095045746042923,0.11135133287759323,5.5709794074522586e-05,2.94234529024033,1.0,1.0,-0.09584566680657262,-0.20719699968416586,-0.14600300534888122,-0.31562600231276106,656.9789999999998,-0.20719699968416586,-0.09584566680657262,-0.31562600231276106,-0.14600300534888122,0.1118948744117284,0.0938125
RGI60-09.00088,0.11875,0.03239296875,188.20337373905025,0.10852981168667104,0.18102831797255767,0.0476259488373026,0.18102831797255767,4.846931665334674e-05,0.02002563750564457,1.0,1.0,0.0144813143196445,-0.16654700365291314,0.1944341775565009,-2.236152669915163,74.533,-0.16654700365291314,0.0144813143196445,-2.236152669915163,0.1944341775565009,0.10852981168667104,0.11875
