RGIId,calving_k,calving_k_nmad,calving_thick,calving_flux_Gta,fa_gta_obs,fa_gta_obs_unc,fa_gta_max,calving_flux_Gta_bndlow,calving_flux_Gta_bndhigh,no_errors,oggm_dynamics,mb_clim_gta,mb_total_gta,mb_clim_mwea,mb_total_mwea,area_km2,mb_total_gta_obs,mb_clim_gta_obs,mb_total_mwea_obs,mb_clim_mwea_obs,calving_flux_Gta_rnd1,calving_k_rnd1,O1Region
RGI60-01.03377,2,0.19995,248.0228019,0.070005402,0.069016576,0.009529998,0.069016576,2.10E-06,0.318707381,1,1,-0.74810937,-0.817125946,-1.428671459,-1.560473061,523.786,-0.817125946,-0.74810937,-1.560473061,-1.428671459,0.070005402,2,
RGI60-01.03622,1.275,0.5375,114.9345383,0.002803094,0.002776586,0.003338756,0.002776586,4.26E-07,0.066176515,1,1,-0.462502111,-0.465278697,-1.032166005,-1.038362514,448.145,-0.465278697,-0.462502111,-1.038362514,-1.032166005,0.002803094,1.275,
RGI60-01.03890,0.1,0.2,97.60876196,0.000296584,0.000233585,0.002943396,0.000233585,3.65E-06,0.390241402,1,1,-0.353010833,-0.353244418,-1.280812718,-1.281660225,196.525,-0.353244418,-0.353010833,-1.281660225,-1.280812718,0.000296584,0.1,
RGI60-01.04375,1.1,0.077475,463.996075,0.125062282,0.12710305,0.012969063,0.12710305,1.30E-05,1.387947322,1,1,-0.827272303,-0.954375353,-1.350665849,-1.558183673,612.706,-0.954375353,-0.827272303,-1.558183673,-1.350665849,0.125062282,1.1,
RGI60-01.09426,4.321875,0.05,69.82349004,0.002409787,0.000591167,0.00206319,0.000591167,0,0.004788405,1,1,-0.017184154,-0.017775321,-0.56213322,-0.581471647,30.587,-0.017775321,-0.017184154,-0.581471647,-0.56213322,0.002409787,4.321875,
RGI60-01.09519,2.353125,0.003125,46.34197712,0,0.000275103,0.000375516,0.000275103,0,0.008373857,1,1,-0.01523639,-0.015511492,-0.592383365,-0.603079216,25.736,-0.015511492,-0.01523639,-0.603079216,-0.592383365,0,2.353125,
RGI60-01.09639,1.1,0.2,142.318374,0.002902182,0.221867107,0.009804777,0.221867107,2.46E-06,0.128090368,1,1,-0.007977882,-0.229844988,-0.021160388,-0.609636638,377.247,-0.229844988,-0.007977882,-0.609636638,-0.021160388,0.128090368,5,
RGI60-01.09757,4.1,0.677366406,79.43975123,0.008450967,0.008321927,0.00633348,0.008321927,0,0.01477907,1,1,-0.02005357,-0.028375496,-0.36649045,-0.518578422,54.752,-0.028375496,-0.02005357,-0.518578422,-0.36649045,0.008450967,4.1,
RGI60-01.09783,1.1,1.2,162.2118624,0.004983768,0.004851471,0.010007842,0.004851471,7.28E-07,0.115759013,1,1,-0.035209765,-0.040061235,-0.669788472,-0.762077047,52.602,-0.040061235,-0.035209765,-0.762077047,-0.669788472,0.004983768,1.1,
RGI60-01.09810,1.2,0.759575,123.9614427,0.014168756,0.013742688,0.013242424,0.013742688,2.55E-06,0.117650325,1,1,-0.04071637,-0.054459058,-0.516450206,-0.690763741,78.889,-0.054459058,-0.04071637,-0.690763741,-0.516450206,0.014168756,1.2,
RGI60-01.10188,1.1,0.2,32.03211314,0,0.000789512,0.000730472,0.000789512,0,0,1,1,-0.004509049,-0.005298562,-0.277228029,-0.325769276,16.276,-0.005298562,-0.004509049,-0.325769276,-0.277228029,0,5,
RGI60-01.10299,1.1,0.2,39.19331391,0,0.000578389,0.000519379,0.000578389,0,0,1,1,-0.010411286,-0.010989675,-0.540340801,-0.570358911,19.282,-0.010989675,-0.010411286,-0.570358911,-0.540340801,0,5,
RGI60-01.10325,0.45,0.036225,427.2497874,0.073625523,0.073632737,0.01134174,0.073632737,4.21E-06,0.600001069,1,1,-0.058180739,-0.131813476,-0.624346398,-1.414510553,93.254,-0.131813476,-0.058180739,-1.414510553,-0.624346398,0.073625523,0.45,
RGI60-01.10355,0.9,0.6,70.78596225,0.00042264,0.000522103,0.000545411,0.000522103,1.98E-07,0.007206146,1,1,-0.006852042,-0.007374145,-0.487492226,-0.524637506,14.066,-0.007374145,-0.006852042,-0.524637506,-0.487492226,0.00042264,0.9,
RGI60-01.10402,1.3,1.834375,42.11337328,0.000141541,0.000238796,0.000958036,0.000238796,1.09E-07,0.007327126,1,1,0.002772157,0.002533361,0.119799818,0.109480158,23.157,0.002533361,0.002772157,0.109480158,0.119799818,0.000141541,1.3,
RGI60-01.10431,0.1,0.4,63.72040941,0.000115846,0.000115216,0.001081531,0.000115216,1.17E-06,0.017603877,1,1,0.001510024,0.001394808,0.089935443,0.083073271,16.803,0.001394808,0.001510024,0.083073271,0.089935443,0.000115846,0.1,
