region_no,RGIId,glacier_name,frontal_ablation_Gta,frontal_ablation_unc_Gta,start_date,end_date,Source
17,RGI60-17.00172,Upsala,1.42,0.44,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.00312,Perito Moreno,0.34,0.2,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.00456,Asia,0.34,0.11,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.04856,Tyndall,0.22,0.11,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.04871,Grey,0.39,0.16,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.04876,Amalia,0.41,0.14,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.04877,HPS34,0.72,0.2,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.04882,Calvo,0.42,0.12,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.04889,HPS31,1.24,0.33,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.04918,Europa,1.86,0.5,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.04928,Spegazzini,0.2,0.08,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.04936,Penguin,3.15,0.83,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.04967,HPS19,0.41,0.12,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.04971,HPS15,0.69,0.21,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.04997,HPS13,0.94,0.25,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.05031,HPS12,0.2,0.06,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.05076,Viedma,0.52,0.17,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.05181,Pio Xi,2.48,0.76,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.05184,O'Higgins,1.69,0.49,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.05287,Chico,0.07,0.04,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.05738,Bernardo,0.3,0.13,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.05962,Ofhidro,0.07,0.03,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.06008,Lucia,0.21,0.08,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.06074,Jorge Montt,1.58,0.44,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.15771,Guilardi,0.03,0.05,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.15804,San Quintín,0.6211,0.37,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.15808,San Rafael,0.9903,0.3,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.15809,Gualas,0.0657,0.05,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.15815,Reichert,0.0223,0.03,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.15836,Fiero,0.0269,0.02,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.15840,Leones,0.1051,0.04,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.15854,Nef,0.1517,0.08,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.15859,Colonia,0.0445,0.06,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.15877,Pared Norte,0.0248,0.03,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.15897,Steffen,0.2456,0.16,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.15898,Acodado,0.1281,0.08,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
17,RGI60-17.15903,Benito,0.0802,0.05,20009999,20199999,"Minowa et al. (2021), Frontal ablation and mass loss of the Patagonia icefields"
