region_no,RGIId,glacier_name,frontal_ablation_Gta,frontal_ablation_unc_Gta,start_date,end_date,Source
19,RGI60-19.01991,Grzybowski Bay,0.08,0.047,20080199,20110199,Osmanoglu et al. (2013; doi:10.3189/2013AoG63A517)
19,RGI60-19.01990,Usher Glacier (West),0.101,0.061,20080199,20110199,Osmanoglu et al. (2013; doi:10.3189/2013AoG63A517)
19,RGI60-19.01987,Eldred Glacier,0.026,0.014,20080199,20110199,Osmanoglu et al. (2013; doi:10.3189/2013AoG63A517)
19,RGI60-19.01982,Poetry Glacier,0.107,0.068,20080199,20110199,Osmanoglu et al. (2013; doi:10.3189/2013AoG63A517)
19,RGI60-19.01973,Unnamed,0.096,0.057,20080199,20110199,Osmanoglu et al. (2013; doi:10.3189/2013AoG63A517)
19,RGI60-19.01972,Anna Glacier,0.101,0.059,20080199,20110199,Osmanoglu et al. (2013; doi:10.3189/2013AoG63A517)
19,RGI60-19.01941,Lange Glacier,0.013,0.007,20080199,20110199,Osmanoglu et al. (2013; doi:10.3189/2013AoG63A517)
19,RGI60-19.02021,Glacier 1,0.0427,0.0313,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02022,Glacier 2,0.0053,0.0039,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02023,Glacier 3,0.0698,0.0512,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02024,Glacier 4,0.0588,0.0432,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02027,Glacier 5,0.0188,0.0138,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02028,Kaliakra,0.0531,0.039,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02029,Huron,0.1454,0.1141,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02030,Glacier 8,0.0007,0.0005,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02031,Glacier 9,0.0013,0.0009,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02033,Glacier 10,0.0048,0.0035,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02037,Strandzha,0.0018,0.0013,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02041,Dobrudzha,0.0041,0.003,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02042,Magura,0.0004,0.0003,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02044,Srebarna,0.0048,0.0035,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02046,Macy,0.0024,0.0018,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02047,Prespa,0.0087,0.0064,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02049,Charity,0.001,0.0007,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02052,Huntress,0.0152,0.0112,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02059,Johnsons,0.0004,0.0003,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02061,Glacier 20,0.0026,0.0019,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02062,Perunika,0.0238,0.0175,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02063,Glacier 22,0.01,0.0073,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02064,Glacier 23,0.0069,0.0051,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
19,RGI60-19.02066,Glacier 24,0.0261,0.0192,20071001,20110501,Osmanoglu et al. (2014; doi:10.5194/tc-8-1807-2014)
