,gcm,period_scenario,temp_ch_ipcc,n_glacier,all_steady,all_mean,MCMC_calibration_failed,run_simulation_2000_2025,run_simulations,AAR_steady,AAR_mean
0,era5,2014-2023,1.2,215547,16787,9597,900,412,49,15475,8648
1,gfdl-esm4,1851-1870_hist,0.231409328,215547,16771,8740,900,422,49,15449,7791
2,gfdl-esm4,1901-1920_hist,0.478289046,215547,16771,8586,900,422,49,15449,7637
3,gfdl-esm4,1951-1970_hist,0.392281326,215547,16771,8577,900,422,49,15449,7628
4,gfdl-esm4,1995-2014_hist,0.901467077,215547,16771,8379,900,422,49,15449,7430
5,gfdl-esm4,2021-2040_ssp126,1.493792069,215547,16771,8735,900,422,49,15449,7786
6,gfdl-esm4,2041-2060_ssp126,1.678749959,215547,16771,8664,900,422,49,15449,7715
7,gfdl-esm4,2061-2080_ssp126,1.730055687,215547,16771,8693,900,422,49,15449,7744
8,gfdl-esm4,2081-2100_ssp126,1.684476548,215547,16771,8698,900,422,49,15449,7749
9,gfdl-esm4,2021-2040_ssp370,1.488564228,215547,17902,8568,900,421,49,16581,7619
10,gfdl-esm4,2041-2060_ssp370,2.049608082,215547,17902,8664,900,421,49,16581,7715
11,gfdl-esm4,2061-2080_ssp370,2.814161775,215547,17902,8242,900,421,49,16581,7293
12,gfdl-esm4,2081-2100_ssp370,3.532319558,215547,17902,7825,900,421,49,16581,6876
13,gfdl-esm4,2021-2040_ssp585,1.529802668,215547,18162,8633,900,417,49,16845,7684
14,gfdl-esm4,2041-2060_ssp585,2.18911609,215547,18162,8470,900,417,49,16845,7521
15,gfdl-esm4,2061-2080_ssp585,3.048039704,215547,18162,7950,900,417,49,16845,7001
16,gfdl-esm4,2081-2100_ssp585,4.001455777,215547,18162,7455,900,417,49,16845,6506
17,ipsl-cm6a-lr,1851-1870_hist,-0.131913088,215547,18187,10287,900,478,49,16809,9338
18,ipsl-cm6a-lr,1901-1920_hist,-0.143528775,215547,18187,10744,900,478,49,16809,9795
19,ipsl-cm6a-lr,1951-1970_hist,0.302892464,215547,18187,9629,900,478,49,16809,8680
20,ipsl-cm6a-lr,1995-2014_hist,0.913312833,215547,18187,8941,900,478,49,16809,7992
21,ipsl-cm6a-lr,2021-2040_ssp126,1.636714967,215547,18187,9265,900,478,49,16809,8316
22,ipsl-cm6a-lr,2041-2060_ssp126,2.049075593,215547,18187,9242,900,478,49,16809,8293
23,ipsl-cm6a-lr,2061-2080_ssp126,2.191208244,215547,18187,9142,900,478,49,16809,8193
24,ipsl-cm6a-lr,2081-2100_ssp126,2.171220561,215547,18187,9007,900,478,49,16809,8058
25,ipsl-cm6a-lr,2021-2040_ssp370,1.678163601,215547,19223,8942,900,486,49,17837,7993
26,ipsl-cm6a-lr,2041-2060_ssp370,2.594826972,215547,19223,8439,900,486,49,17837,7490
27,ipsl-cm6a-lr,2061-2080_ssp370,3.513114684,215547,19223,7645,900,486,49,17837,6696
28,ipsl-cm6a-lr,2081-2100_ssp370,4.677751369,215547,19223,7323,900,486,49,17837,6374
29,ipsl-cm6a-lr,2021-2040_ssp585,1.66491004,215547,19649,8874,900,489,49,18260,7925
30,ipsl-cm6a-lr,2041-2060_ssp585,2.84393776,215547,19649,8377,900,489,49,18260,7428
31,ipsl-cm6a-lr,2061-2080_ssp585,4.160098437,215547,19649,7605,900,489,49,18260,6656
32,ipsl-cm6a-lr,2081-2100_ssp585,5.849305066,215547,19649,7248,900,489,49,18260,6299
33,mpi-esm1-2-hr,1851-1870_hist,0.083373661,215547,18984,9497,900,415,49,17669,8548
34,mpi-esm1-2-hr,1901-1920_hist,0.101656085,215547,18984,8792,900,415,49,17669,7843
35,mpi-esm1-2-hr,1951-1970_hist,0.353009146,215547,18984,8500,900,415,49,17669,7551
36,mpi-esm1-2-hr,1995-2014_hist,0.904939372,215547,18984,8280,900,415,49,17669,7331
37,mpi-esm1-2-hr,2021-2040_ssp126,1.469113359,215547,18984,8853,900,415,49,17669,7904
38,mpi-esm1-2-hr,2041-2060_ssp126,1.656830929,215547,18984,8695,900,415,49,17669,7746
39,mpi-esm1-2-hr,2061-2080_ssp126,1.695689732,215547,18984,8870,900,415,49,17669,7921
40,mpi-esm1-2-hr,2081-2100_ssp126,1.659995843,215547,18984,8838,900,415,49,17669,7889
41,mpi-esm1-2-hr,2021-2040_ssp370,1.493779364,215547,18428,8661,900,422,49,17106,7712
42,mpi-esm1-2-hr,2041-2060_ssp370,2.092677072,215547,18428,8911,900,422,49,17106,7962
43,mpi-esm1-2-hr,2061-2080_ssp370,2.718960922,215547,18428,8515,900,422,49,17106,7566
44,mpi-esm1-2-hr,2081-2100_ssp370,3.454510652,215547,18428,7764,900,422,49,17106,6815
45,mpi-esm1-2-hr,2021-2040_ssp585,1.528303178,215547,17851,8712,900,413,49,16538,7763
46,mpi-esm1-2-hr,2041-2060_ssp585,2.139652727,215547,17851,8790,900,413,49,16538,7841
47,mpi-esm1-2-hr,2061-2080_ssp585,2.950347,215547,17851,7927,900,413,49,16538,6978
48,mpi-esm1-2-hr,2081-2100_ssp585,3.99079854,215547,17851,7607,900,413,49,16538,6658
49,mri-esm2-0,1851-1870_hist,0.190948213,215547,20156,8779,900,427,49,18829,7830
50,mri-esm2-0,1901-1920_hist,0.252478266,215547,20156,8756,900,427,49,18829,7807
51,mri-esm2-0,1951-1970_hist,0.382652065,215547,20156,8705,900,427,49,18829,7756
52,mri-esm2-0,1995-2014_hist,0.922248887,215547,20156,8377,900,427,49,18829,7428
53,mri-esm2-0,2021-2040_ssp126,1.72632431,215547,20156,8512,900,427,49,18829,7563
54,mri-esm2-0,2041-2060_ssp126,1.996245332,215547,20156,8592,900,427,49,18829,7643
55,mri-esm2-0,2061-2080_ssp126,2.09126599,215547,20156,8717,900,427,49,18829,7768
56,mri-esm2-0,2081-2100_ssp126,1.94778826,215547,20156,8829,900,427,49,18829,7880
57,mri-esm2-0,2021-2040_ssp370,1.705488886,215547,19176,8794,900,422,49,17854,7845
58,mri-esm2-0,2041-2060_ssp370,2.404955866,215547,19176,8703,900,422,49,17854,7754
