region_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,0,era5,2014-2023,1.2,94303.60411015949,27937756306534.688,61.31953349288448
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,1,gfdl-esm4,1851-1870_hist,0.231409328,132863.17937416557,42914066254592.65,94.19047450130604
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,2,gfdl-esm4,1901-1920_hist,0.478289046,92997.46006628114,27454122949153.777,60.25802477576326
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,3,gfdl-esm4,1951-1970_hist,0.392281326,134133.06140147042,43428269981627.36,95.31908097621812
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,4,gfdl-esm4,1995-2014_hist,0.901467077,112928.49229294504,35010502382921.383,76.84323858785012
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,5,gfdl-esm4,2021-2040_ssp126,1.493792069,65771.06743925408,17793442209899.074,39.05415895149762
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,6,gfdl-esm4,2041-2060_ssp126,1.678749959,84788.78359517828,24454556786408.29,53.67438950589827
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,7,gfdl-esm4,2061-2080_ssp126,1.730055687,90252.19281652471,26443214717447.69,58.03922021278428
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,8,gfdl-esm4,2081-2100_ssp126,1.684476548,90955.1303147971,26701333061122.414,58.60575448441395
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,9,gfdl-esm4,2021-2040_ssp370,1.488564228,86024.21215058873,24901495659370.2,54.65535887541952
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,10,gfdl-esm4,2041-2060_ssp370,2.049608082,75442.24398707639,21127728876701.07,46.37245970179876
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,11,gfdl-esm4,2061-2080_ssp370,2.814161775,54498.96635854392,14061864453337.486,30.86385888895251
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,12,gfdl-esm4,2081-2100_ssp370,3.532319558,30267.928721026114,6734608080572.06,14.781538690044915
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,13,gfdl-esm4,2021-2040_ssp585,1.529802668,62740.17029503448,16772904840674.912,36.814219755727486
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,14,gfdl-esm4,2041-2060_ssp585,2.18911609,54873.90368713803,14183082294175.482,31.12991538145123
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,15,gfdl-esm4,2061-2080_ssp585,3.048039704,41958.64279933122,10136068244366.531,22.247276029507685
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,16,gfdl-esm4,2081-2100_ssp585,4.001455777,14608.636821953567,2705858147845.3906,5.9389865636772825
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,17,ipsl-cm6a-lr,1851-1870_hist,-0.131913088,168369.91113303008,57729572782125.74,126.70847411305795
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,18,ipsl-cm6a-lr,1901-1920_hist,-0.143528775,161166.77664527675,54653794478677.64,119.95756367395234
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,19,ipsl-cm6a-lr,1951-1970_hist,0.302892464,127165.60090082383,40622365187699.26,89.1605057813706
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,20,ipsl-cm6a-lr,1995-2014_hist,0.913312833,110045.6939323693,33895080655727.824,74.39504127347459
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,21,ipsl-cm6a-lr,2021-2040_ssp126,1.636714967,86848.08435354463,25200449055441.633,55.31152047200866
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,22,ipsl-cm6a-lr,2041-2060_ssp126,2.049075593,86932.03957966114,25230953663040.32,55.37847389113119
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,23,ipsl-cm6a-lr,2061-2080_ssp126,2.191208244,97602.71930679581,29166836971155.793,64.01719654616488
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,24,ipsl-cm6a-lr,2081-2100_ssp126,2.171220561,72762.14442075655,20192266473582.37,44.31924835833972
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,25,ipsl-cm6a-lr,2021-2040_ssp370,1.678163601,86359.0680334944,25022916020112.973,54.92185987126159
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,26,ipsl-cm6a-lr,2041-2060_ssp370,2.594826972,56210.197325671004,14616800628233.305,32.08186748597711
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,27,ipsl-cm6a-lr,2061-2080_ssp370,3.513114684,43073.640236067346,10474382829292.246,22.98983002324523
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,28,ipsl-cm6a-lr,2081-2100_ssp370,4.677751369,26461.22737935728,5691711982684.5625,12.492525159310778
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,29,ipsl-cm6a-lr,2021-2040_ssp585,1.66491004,85820.82446322395,24827804446214.22,54.49361679550194
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,30,ipsl-cm6a-lr,2041-2060_ssp585,2.84393776,49326.16386254385,12411420850593.486,27.24136212628636
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,31,ipsl-cm6a-lr,2061-2080_ssp585,4.160098437,33331.05928705845,7598373716609.85,16.677385488473504
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,32,ipsl-cm6a-lr,2081-2100_ssp585,5.849305066,14542.611932743283,2690560203962.965,5.905409680409415
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,33,mpi-esm1-2-hr,1851-1870_hist,0.083373661,118312.35312244605,37112840498126.27,81.45758166730926
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,34,mpi-esm1-2-hr,1901-1920_hist,0.101656085,144018.54946856803,47472530731738.67,104.19567721391967
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,35,mpi-esm1-2-hr,1951-1970_hist,0.353009146,126375.76008624319,40306686871751.07,88.46763528542336
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,36,mpi-esm1-2-hr,1995-2014_hist,0.904939372,102890.67195605903,31158706297949.99,68.38907582514754
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,37,mpi-esm1-2-hr,2021-2040_ssp126,1.469113359,64186.82961285089,17258496729296.996,37.880027179613926
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,38,mpi-esm1-2-hr,2041-2060_ssp126,1.656830929,86235.00671192839,24977916912199.363,54.82309301702381
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,39,mpi-esm1-2-hr,2061-2080_ssp126,1.695689732,82561.87610584534,23653085844001.94,51.915270994116966
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,40,mpi-esm1-2-hr,2081-2100_ssp126,1.659995843,58677.05320042026,15424279804326.555,33.854173244534934
