region_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,0,era5,2014-2023,1.2,121904.60188371783,38440667086127.9,84.37197844428535
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,1,gfdl-esm4,1851-1870_hist,0.231409328,153470.95617363733,50994218284989.69,111.92529714129155
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,2,gfdl-esm4,1901-1920_hist,0.478289046,129919.32921765056,41593414309739.945,91.2918250794877
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,3,gfdl-esm4,1951-1970_hist,0.392281326,154755.71071824856,51565417513323.375,113.17900090435018
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,4,gfdl-esm4,1995-2014_hist,0.901467077,135064.74908698726,43626604497777.586,95.75439796704693
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,5,gfdl-esm4,2021-2040_ssp126,1.493792069,106273.05156508308,32818664570375.63,72.03245597944384
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,6,gfdl-esm4,2041-2060_ssp126,1.678749959,105650.97824778165,32192619506436.2,70.6583731488441
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,7,gfdl-esm4,2061-2080_ssp126,1.730055687,110027.61516641217,34066258225639.87,74.77075250154472
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,8,gfdl-esm4,2081-2100_ssp126,1.684476548,110031.00146807631,34156098441621.234,74.96793942208453
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,9,gfdl-esm4,2021-2040_ssp370,1.488564228,121339.5140036311,38915363013730.12,85.41387073198963
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,10,gfdl-esm4,2041-2060_ssp370,2.049608082,101132.27075597644,31339710543187.305,68.78635525433306
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,11,gfdl-esm4,2061-2080_ssp370,2.814161775,85509.94857919274,26190016387732.992,57.48348469526703
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,12,gfdl-esm4,2081-2100_ssp370,3.532319558,66059.04989241301,19599348723339.758,43.017875426110955
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,13,gfdl-esm4,2021-2040_ssp585,1.529802668,109623.97036019433,34340711167957.215,75.37313897109499
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,14,gfdl-esm4,2041-2060_ssp585,2.18911609,93727.9112729057,28229971209937.684,61.96090502464735
MT_19_missing_obs,1473,130106.26800000001,45560940723361.16,15,gfdl-esm4,2061-2080_ssp585,3.048039704,72347.2636746846,20852068871683.293,45.76742389559901
