region_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
MT_19_with_obs,31,1085.391,194913256000.04718,0,era5,2014-2023,1.2,778.9072087505115,106409461523.40973,54.59323994022447
MT_19_with_obs,31,1085.391,194913256000.04718,1,gfdl-esm4,1851-1870_hist,0.231409328,1109.1927513617657,164144401596.27274,84.21407808006296
MT_19_with_obs,31,1085.391,194913256000.04718,2,gfdl-esm4,1901-1920_hist,0.478289046,773.0112734142087,104161756942.68347,53.44005794180477
MT_19_with_obs,31,1085.391,194913256000.04718,3,gfdl-esm4,1951-1970_hist,0.392281326,1107.128586768671,163579632057.60236,83.92432378101711
MT_19_with_obs,31,1085.391,194913256000.04718,4,gfdl-esm4,1995-2014_hist,0.901467077,926.1474270943238,130781505057.94463,67.09728611681135
MT_19_with_obs,31,1085.391,194913256000.04718,5,gfdl-esm4,2021-2040_ssp126,1.493792069,525.5532987004121,64645181741.20491,33.16612890669132
MT_19_with_obs,31,1085.391,194913256000.04718,6,gfdl-esm4,2041-2060_ssp126,1.678749959,694.4220154736107,91495599329.44687,46.94170176369365
MT_19_with_obs,31,1085.391,194913256000.04718,7,gfdl-esm4,2061-2080_ssp126,1.730055687,724.8455512970793,96857157334.46931,49.69244233160102
MT_19_with_obs,31,1085.391,194913256000.04718,8,gfdl-esm4,2081-2100_ssp126,1.684476548,737.8882130544496,98983564242.90445,50.78339271233584
MT_19_with_obs,31,1085.391,194913256000.04718,9,gfdl-esm4,2021-2040_ssp370,1.488564228,677.6022817719224,88737976304.59949,45.52690675106162
MT_19_with_obs,31,1085.391,194913256000.04718,10,gfdl-esm4,2041-2060_ssp370,2.049608082,597.138599065346,75732982731.38606,38.85471121131327
MT_19_with_obs,31,1085.391,194913256000.04718,11,gfdl-esm4,2061-2080_ssp370,2.814161775,408.7404993724716,47533814944.39411,24.38716376703625
MT_19_with_obs,31,1085.391,194913256000.04718,12,gfdl-esm4,2081-2100_ssp370,3.532319558,283.77926272514685,30732509856.305214,15.76727539572669
MT_19_with_obs,31,1085.391,194913256000.04718,13,gfdl-esm4,2021-2040_ssp585,1.529802668,510.01551760858166,62819376602.625015,32.22940188460543
MT_19_with_obs,31,1085.391,194913256000.04718,14,gfdl-esm4,2041-2060_ssp585,2.18911609,427.53834811183776,50532738696.4808,25.92575781324415
MT_19_with_obs,31,1085.391,194913256000.04718,15,gfdl-esm4,2061-2080_ssp585,3.048039704,344.90694252745095,38356862910.59516,19.67894010789388
MT_19_with_obs,31,1085.391,194913256000.04718,16,gfdl-esm4,2081-2100_ssp585,4.001455777,152.78059101638596,15278634777.866074,7.838684290340097
MT_19_with_obs,31,1085.391,194913256000.04718,17,ipsl-cm6a-lr,1851-1870_hist,-0.131913088,1410.084976533506,221765537269.9327,113.77652901651749
