region_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
MT_all,3242,281468.73,87727795003681.53,0,era5,2014-2023,1.2,198269.24433013273,57335872708754.96,65.3565642523545
MT_all,3242,281468.73,87727795003681.53,1,gfdl-esm4,1851-1870_hist,0.231409328,265141.2751368437,82427915501688.53,93.95872254423972
MT_all,3242,281468.73,87727795003681.53,2,gfdl-esm4,1901-1920_hist,0.478289046,220581.18190637883,65034112788759.46,74.13170795644673
MT_all,3242,281468.73,87727795003681.53,3,gfdl-esm4,1951-1970_hist,0.392281326,263291.46233754524,81856675778567.66,93.30757233227224
MT_all,3242,281468.73,87727795003681.53,4,gfdl-esm4,1995-2014_hist,0.901467077,234413.87473785065,70563510579675.95,80.43461091973727
MT_all,3242,281468.73,87727795003681.53,5,gfdl-esm4,2021-2040_ssp126,1.493792069,167286.06382952136,47735814192472.914,54.413557516713674
MT_all,3242,281468.73,87727795003681.53,6,gfdl-esm4,2041-2060_ssp126,1.678749959,187478.0787059785,54271066847176.13,61.8630239650941
MT_all,3242,281468.73,87727795003681.53,7,gfdl-esm4,2061-2080_ssp126,1.730055687,186553.20819294226,55014391510463.31,62.71033200840693
MT_all,3242,281468.73,87727795003681.53,8,gfdl-esm4,2081-2100_ssp126,1.684476548,185419.7797366691,53806420306601.5,61.33337821193784
MT_all,3242,281468.73,87727795003681.53,9,gfdl-esm4,2021-2040_ssp370,1.488564228,189195.23791160432,55391407832896.75,63.14008898841266
MT_all,3242,281468.73,87727795003681.53,10,gfdl-esm4,2041-2060_ssp370,2.049608082,167276.80892029149,48435398765088.63,55.21100668614323
MT_all,3242,281468.73,87727795003681.53,11,gfdl-esm4,2061-2080_ssp370,2.814161775,123361.07970061991,34454961461272.773,39.274851784234244
MT_all,3242,281468.73,87727795003681.53,12,gfdl-esm4,2081-2100_ssp370,3.532319558,84310.16479784387,23197380424187.848,26.442452387198788
MT_all,3242,281468.73,87727795003681.53,13,gfdl-esm4,2021-2040_ssp585,1.529802668,163952.75384899392,46502494417598.8,53.007709148106706
MT_all,3242,281468.73,87727795003681.53,14,gfdl-esm4,2041-2060_ssp585,2.18911609,137136.91560990052,37844086368976.086,43.13807997498164
MT_all,3242,281468.73,87727795003681.53,15,gfdl-esm4,2061-2080_ssp585,3.048039704,101290.004054797,27840562867129.375,31.7351677036463
MT_all,3242,281468.73,87727795003681.53,16,gfdl-esm4,2081-2100_ssp585,4.001455777,57264.48976308462,15881652913172.469,18.10333077732774
MT_all,3242,281468.73,87727795003681.53,17,ipsl-cm6a-lr,1851-1870_hist,-0.131913088,317507.9383455103,102463568737785.22,116.79715503334525
MT_all,3242,281468.73,87727795003681.53,18,ipsl-cm6a-lr,1901-1920_hist,-0.143528775,318215.1362031826,102641558269981.8,117.00004344766035
MT_all,3242,281468.73,87727795003681.53,19,ipsl-cm6a-lr,1951-1970_hist,0.302892464,266806.644512485,82317206319201.55,93.83252629995667
MT_all,3242,281468.73,87727795003681.53,20,ipsl-cm6a-lr,1995-2014_hist,0.913312833,233405.4368862622,70353339145862.67,80.19503869088499
MT_all,3242,281468.73,87727795003681.53,21,ipsl-cm6a-lr,2021-2040_ssp126,1.636714967,179659.5495704013,52524135206850.984,59.87171477938866
MT_all,3242,281468.73,87727795003681.53,22,ipsl-cm6a-lr,2041-2060_ssp126,2.049075593,158998.9383367854,46799503089662.05,53.34626624058896
MT_all,3242,281468.73,87727795003681.53,23,ipsl-cm6a-lr,2061-2080_ssp126,2.191208244,164342.91874846286,49245473333337.43,56.13440225104349
MT_all,3242,281468.73,87727795003681.53,24,ipsl-cm6a-lr,2081-2100_ssp126,2.171220561,135953.59013262024,39597977503851.81,45.13732221605486
MT_all,3242,281468.73,87727795003681.53,25,ipsl-cm6a-lr,2021-2040_ssp370,1.678163601,183802.24370230574,53877871736493.11,61.41482495283519
MT_all,3242,281468.73,87727795003681.53,26,ipsl-cm6a-lr,2041-2060_ssp370,2.594826972,117604.57189400944,33366485570761.883,38.034109451128515
MT_all,3242,281468.73,87727795003681.53,27,ipsl-cm6a-lr,2061-2080_ssp370,3.513114684,83309.43031719429,22358223105306.816,25.48590569769654
MT_all,3242,281468.73,87727795003681.53,28,ipsl-cm6a-lr,2081-2100_ssp370,4.677751369,49902.98610289171,12379828114944.145,14.111637154934328
MT_all,3242,281468.73,87727795003681.53,29,ipsl-cm6a-lr,2021-2040_ssp585,1.66491004,184974.8958134153,53483673507081.65,60.96548249598338
MT_all,3242,281468.73,87727795003681.53,30,ipsl-cm6a-lr,2041-2060_ssp585,2.84393776,108886.96971076126,30459593844745.85,34.72057384260895
MT_all,3242,281468.73,87727795003681.53,31,ipsl-cm6a-lr,2061-2080_ssp585,4.160098437,65315.89667970094,17056859955390.871,19.442937047118388
MT_all,3242,281468.73,87727795003681.53,32,ipsl-cm6a-lr,2081-2100_ssp585,5.849305066,31065.150822646527,7385730637610.826,8.418917444922537
MT_all,3242,281468.73,87727795003681.53,33,mpi-esm1-2-hr,1851-1870_hist,0.083373661,258531.3950062798,78790353134301.4,89.81230308022097
