region_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
MT_all,3242,281468.73,87727795003681.53,0,era5,2014-2023,1.2,224955.00288216106,67784108757092.28,77.26639972456584
MT_all,3242,281468.73,87727795003681.53,1,gfdl-esm4,1851-1870_hist,0.231409328,285636.2586589023,90655161351284.97,103.33687441646127
MT_all,3242,281468.73,87727795003681.53,2,gfdl-esm4,1901-1920_hist,0.478289046,257344.75781409355,79310891433548.34,90.40565926707725
MT_all,3242,281468.73,87727795003681.53,3,gfdl-esm4,1951-1970_hist,0.392281326,283996.45414469275,90184783758871.19,102.80069589699198
MT_all,3242,281468.73,87727795003681.53,4,gfdl-esm4,1995-2014_hist,0.901467077,256244.89544262926,79279384712105.0,90.36974508338892
MT_all,3242,281468.73,87727795003681.53,5,gfdl-esm4,2021-2040_ssp126,1.493792069,207541.85748821785,62903015078440.73,71.70249186794331
MT_all,3242,281468.73,87727795003681.53,6,gfdl-esm4,2041-2060_ssp126,1.678749959,208131.05983717038,62146406818398.4,70.84004199101368
MT_all,3242,281468.73,87727795003681.53,7,gfdl-esm4,2061-2080_ssp126,1.730055687,206322.29592364506,62831435626646.305,71.62089919621205
MT_all,3242,281468.73,87727795003681.53,8,gfdl-esm4,2081-2100_ssp126,1.684476548,204276.4299459106,61402819605207.695,69.9924346697998
MT_all,3242,281468.73,87727795003681.53,9,gfdl-esm4,2021-2040_ssp370,1.488564228,224604.57948263962,69608931272557.414,79.34649590775221
MT_all,3242,281468.73,87727795003681.53,10,gfdl-esm4,2041-2060_ssp370,2.049608082,193075.6983754014,58846971607185.1,67.07905015134094
MT_all,3242,281468.73,87727795003681.53,11,gfdl-esm4,2061-2080_ssp370,2.814161775,154372.76348145102,46749716660661.34,53.289515208605756
MT_all,3242,281468.73,87727795003681.53,12,gfdl-esm4,2081-2100_ssp370,3.532319558,120368.14586596105,36241654916593.98,41.31148504880703
MT_all,3242,281468.73,87727795003681.53,13,gfdl-esm4,2021-2040_ssp585,1.529802668,211279.8359494937,64433878935824.65,73.44750763782523
