region_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
MT_inAntarc,1504,131191.659,45755853979361.2,0,era5,2014-2023,1.2,95082.51131890998,28044165768058.098,61.29088046462382
MT_inAntarc,1504,131191.659,45755853979361.2,1,gfdl-esm4,1851-1870_hist,0.231409328,133972.37212552715,43078210656188.92,94.1479765094537
MT_inAntarc,1504,131191.659,45755853979361.2,2,gfdl-esm4,1901-1920_hist,0.478289046,93770.47133969536,27558284706096.47,60.22898123271179
MT_inAntarc,1504,131191.659,45755853979361.2,3,gfdl-esm4,1951-1970_hist,0.392281326,135240.18998823912,43591849613684.96,95.2705409745989
MT_inAntarc,1504,131191.659,45755853979361.2,4,gfdl-esm4,1995-2014_hist,0.901467077,113854.63972003938,35141283887979.33,76.8017222535728
MT_inAntarc,1504,131191.659,45755853979361.2,5,gfdl-esm4,2021-2040_ssp126,1.493792069,66296.62073795444,17858087391640.273,39.029076803364674
MT_inAntarc,1504,131191.659,45755853979361.2,6,gfdl-esm4,2041-2060_ssp126,1.678749959,85483.20561065189,24546052385737.73,53.645709239323914
MT_inAntarc,1504,131191.659,45755853979361.2,7,gfdl-esm4,2061-2080_ssp126,1.730055687,90977.03836782178,26540071874782.164,58.003664157931404
MT_inAntarc,1504,131191.659,45755853979361.2,8,gfdl-esm4,2081-2100_ssp126,1.684476548,91693.01852785154,26800316625365.312,58.572432365602786
MT_inAntarc,1504,131191.659,45755853979361.2,9,gfdl-esm4,2021-2040_ssp370,1.488564228,86701.81443236064,24990233635674.797,54.61647300244245
MT_inAntarc,1504,131191.659,45755853979361.2,10,gfdl-esm4,2041-2060_ssp370,2.049608082,76039.38258614173,21203461859432.457,46.34043519108301
MT_inAntarc,1504,131191.659,45755853979361.2,11,gfdl-esm4,2061-2080_ssp370,2.814161775,54907.706857916404,14109398268281.883,30.836269113556742
MT_inAntarc,1504,131191.659,45755853979361.2,12,gfdl-esm4,2081-2100_ssp370,3.532319558,30551.707983751265,6765340590428.366,14.785737784459151
MT_inAntarc,1504,131191.659,45755853979361.2,13,gfdl-esm4,2021-2040_ssp585,1.529802668,63250.185812643045,16835724217277.537,36.79468910113997
MT_inAntarc,1504,131191.659,45755853979361.2,14,gfdl-esm4,2041-2060_ssp585,2.18911609,55301.44203524987,14233615032871.963,31.107746430199352
MT_inAntarc,1504,131191.659,45755853979361.2,15,gfdl-esm4,2061-2080_ssp585,3.048039704,42303.54974185867,10174425107277.129,22.236335293548322
MT_inAntarc,1504,131191.659,45755853979361.2,16,gfdl-esm4,2081-2100_ssp585,4.001455777,14761.417412969953,2721136782623.2573,5.947078998570681
MT_inAntarc,1504,131191.659,45755853979361.2,17,ipsl-cm6a-lr,1851-1870_hist,-0.131913088,169779.9961095635,57951338319395.65,126.65338591546207
MT_inAntarc,1504,131191.659,45755853979361.2,18,ipsl-cm6a-lr,1901-1920_hist,-0.143528775,162511.49357851906,54862866695622.29,119.90349195617445
MT_inAntarc,1504,131191.659,45755853979361.2,19,ipsl-cm6a-lr,1951-1970_hist,0.302892464,128263.12155975816,40785410550375.7,89.13703275819638
MT_inAntarc,1504,131191.659,45755853979361.2,20,ipsl-cm6a-lr,1995-2014_hist,0.913312833,110972.90214229068,34026537861887.875,74.3654306555747
MT_inAntarc,1504,131191.659,45755853979361.2,21,ipsl-cm6a-lr,2021-2040_ssp126,1.636714967,87565.32788416279,25296205624949.258,55.28517867103836
MT_inAntarc,1504,131191.659,45755853979361.2,22,ipsl-cm6a-lr,2041-2060_ssp126,2.049075593,87681.53809569312,25331941845787.24,55.363280635552236
MT_inAntarc,1504,131191.659,45755853979361.2,23,ipsl-cm6a-lr,2061-2080_ssp126,2.191208244,98438.70137115323,29283356747518.5,63.99914808873889
MT_inAntarc,1504,131191.659,45755853979361.2,24,ipsl-cm6a-lr,2081-2100_ssp126,2.171220561,73379.01404240138,20272219015705.633,44.30519212874858
MT_inAntarc,1504,131191.659,45755853979361.2,25,ipsl-cm6a-lr,2021-2040_ssp370,1.678163601,87119.4493323335,25126576171918.2,54.91445134703831
MT_inAntarc,1504,131191.659,45755853979361.2,26,ipsl-cm6a-lr,2041-2060_ssp370,2.594826972,56671.15996969679,14672442773800.418,32.06681003138663
MT_inAntarc,1504,131191.659,45755853979361.2,27,ipsl-cm6a-lr,2061-2080_ssp370,3.513114684,43448.33624288954,10517887761207.639,22.986977285905045
MT_inAntarc,1504,131191.659,45755853979361.2,28,ipsl-cm6a-lr,2081-2100_ssp370,4.677751369,26715.09923893336,5718565100086.1,12.497996655609436
MT_inAntarc,1504,131191.659,45755853979361.2,29,ipsl-cm6a-lr,2021-2040_ssp585,1.66491004,86556.24647149778,24926793944049.785,54.47782475067202
MT_inAntarc,1504,131191.659,45755853979361.2,30,ipsl-cm6a-lr,2041-2060_ssp585,2.84393776,49714.17616513576,12456687415573.934,27.224248554496853
MT_inAntarc,1504,131191.659,45755853979361.2,31,ipsl-cm6a-lr,2061-2080_ssp585,4.160098437,33674.20325676785,7636854225730.412,16.690441903182744
MT_inAntarc,1504,131191.659,45755853979361.2,32,ipsl-cm6a-lr,2081-2100_ssp585,5.849305066,14717.850435395478,2708495654438.29,5.919451652372161
MT_inAntarc,1504,131191.659,45755853979361.2,33,mpi-esm1-2-hr,1851-1870_hist,0.083373661,119290.6258685286,37252714129588.016,81.41627986309983
MT_inAntarc,1504,131191.659,45755853979361.2,34,mpi-esm1-2-hr,1901-1920_hist,0.101656085,145198.51326130296,47649426026907.48,104.13842575946761
MT_inAntarc,1504,131191.659,45755853979361.2,35,mpi-esm1-2-hr,1951-1970_hist,0.353009146,127397.39461336093,40454387431280.92,88.41357752721306
MT_inAntarc,1504,131191.659,45755853979361.2,36,mpi-esm1-2-hr,1995-2014_hist,0.904939372,103751.70624059344,31278190871221.062,68.3588834017381
MT_inAntarc,1504,131191.659,45755853979361.2,37,mpi-esm1-2-hr,2021-2040_ssp126,1.469113359,64719.327074994544,17324522318358.607,37.862963559095775
MT_inAntarc,1504,131191.659,45755853979361.2,38,mpi-esm1-2-hr,2041-2060_ssp126,1.656830929,86936.6238349423,25070592321501.766,54.7920979309231
MT_inAntarc,1504,131191.659,45755853979361.2,39,mpi-esm1-2-hr,2061-2080_ssp126,1.695689732,83230.3850947764,23740596108356.594,51.88537431530643
MT_inAntarc,1504,131191.659,45755853979361.2,40,mpi-esm1-2-hr,2081-2100_ssp126,1.659995843,59160.06084360169,15482770265081.99,33.837791055250996
MT_inAntarc,1504,131191.659,45755853979361.2,41,mpi-esm1-2-hr,2021-2040_ssp370,1.493779364,81910.80018822022,23270157310996.0,50.857224348806426
MT_inAntarc,1504,131191.659,45755853979361.2,42,mpi-esm1-2-hr,2041-2060_ssp370,2.092677072,44603.75598243648,10876382722513.62,23.77047257695061
MT_inAntarc,1504,131191.659,45755853979361.2,43,mpi-esm1-2-hr,2061-2080_ssp370,2.718960922,30063.021784033244,6633948875085.8955,14.498579521820808
MT_inAntarc,1504,131191.659,45755853979361.2,44,mpi-esm1-2-hr,2081-2100_ssp370,3.454510652,16520.560539977985,3130908353125.8447,6.8426399702606
MT_inAntarc,1504,131191.659,45755853979361.2,45,mpi-esm1-2-hr,2021-2040_ssp585,1.528303178,87446.35993586635,25256943111132.234,55.199369948432654
MT_inAntarc,1504,131191.659,45755853979361.2,46,mpi-esm1-2-hr,2041-2060_ssp585,2.139652727,77616.83196247228,21755893423582.137,47.54778139076025
MT_inAntarc,1504,131191.659,45755853979361.2,47,mpi-esm1-2-hr,2061-2080_ssp585,2.950347,68092.54249872697,18464282141881.176,40.35392312907052
MT_inAntarc,1504,131191.659,45755853979361.2,48,mpi-esm1-2-hr,2081-2100_ssp585,3.99079854,34775.65380384523,7963341528698.874,17.403984050414287
MT_inAntarc,1504,131191.659,45755853979361.2,49,mri-esm2-0,1851-1870_hist,0.190948213,178241.13993472207,61602579398133.85,134.63321966610116
MT_inAntarc,1504,131191.659,45755853979361.2,50,mri-esm2-0,1901-1920_hist,0.252478266,152022.58524905692,50469693089255.77,110.30215524339424
MT_inAntarc,1504,131191.659,45755853979361.2,51,mri-esm2-0,1951-1970_hist,0.382652065,160398.59104897862,53972238891786.07,117.95701357935747
MT_inAntarc,1504,131191.659,45755853979361.2,52,mri-esm2-0,1995-2014_hist,0.922248887,110046.53826511338,33673615591256.7,73.5941145507756
MT_inAntarc,1504,131191.659,45755853979361.2,53,mri-esm2-0,2021-2040_ssp126,1.72632431,55984.33653543536,14448752265192.928,31.5779315838149
MT_inAntarc,1504,131191.659,45755853979361.2,54,mri-esm2-0,2041-2060_ssp126,1.996245332,85455.60359921865,24538723880074.22,53.62969269711968
MT_inAntarc,1504,131191.659,45755853979361.2,55,mri-esm2-0,2061-2080_ssp126,2.09126599,68868.46210174396,18727717964757.16,40.929665465766526
MT_inAntarc,1504,131191.659,45755853979361.2,56,mri-esm2-0,2081-2100_ssp126,1.94778826,70898.75891536266,19421950075988.277,42.446918562046314
MT_inAntarc,1504,131191.659,45755853979361.2,57,mri-esm2-0,2021-2040_ssp370,1.705488886,83276.92910168973,23757463442120.168,51.92223808747246
MT_inAntarc,1504,131191.659,45755853979361.2,58,mri-esm2-0,2041-2060_ssp370,2.404955866,55815.70083569574,14397384934278.816,31.46566762970472
MT_inAntarc,1504,131191.659,45755853979361.2,59,mri-esm2-0,2061-2080_ssp370,3.105613809,18361.006389089594,3574738155062.3667,7.812635639310329
MT_inAntarc,1504,131191.659,45755853979361.2,60,mri-esm2-0,2081-2100_ssp370,3.811452497,16286.323244444153,3075048485149.915,6.72055751934377
MT_inAntarc,1504,131191.659,45755853979361.2,61,mri-esm2-0,2021-2040_ssp585,1.911734937,71127.85015166145,19499332078298.96,42.61603791089638
MT_inAntarc,1504,131191.659,45755853979361.2,62,mri-esm2-0,2041-2060_ssp585,2.687007085,46340.73163796366,11404413356306.031,24.92449023342488
MT_inAntarc,1504,131191.659,45755853979361.2,63,mri-esm2-0,2061-2080_ssp585,3.541685939,14864.998924049327,2746002191234.6924,6.001422664897292
MT_inAntarc,1504,131191.659,45755853979361.2,64,mri-esm2-0,2081-2100_ssp585,4.594325176,689.7959243383688,58125542212.37612,0.12703411073606982
MT_inAntarc,1504,131191.659,45755853979361.2,65,ukesm1-0-ll,1851-1870_hist,0.373094842,134360.09577133434,43233534123744.95,94.48743792050308
MT_inAntarc,1504,131191.659,45755853979361.2,66,ukesm1-0-ll,1901-1920_hist,0.353528895,144552.09029852002,47380668196099.46,103.55105210684331
MT_inAntarc,1504,131191.659,45755853979361.2,67,ukesm1-0-ll,1951-1970_hist,0.23742077,125872.09499567395,39842745349804.05,87.07682598990645
MT_inAntarc,1504,131191.659,45755853979361.2,68,ukesm1-0-ll,1995-2014_hist,1.058767333,107135.47583121723,32558427087946.562,71.15685591319634
MT_inAntarc,1504,131191.659,45755853979361.2,69,ukesm1-0-ll,2021-2040_ssp126,2.176143904,70173.84848413742,19173881479522.613,41.9047614938435
MT_inAntarc,1504,131191.659,45755853979361.2,70,ukesm1-0-ll,2041-2060_ssp126,2.739835015,47081.83609698761,11632871167478.225,25.42378768129951
MT_inAntarc,1504,131191.659,45755853979361.2,71,ukesm1-0-ll,2061-2080_ssp126,2.951472593,41744.142865639384,10001764679609.102,21.858983735983887
MT_inAntarc,1504,131191.659,45755853979361.2,72,ukesm1-0-ll,2081-2100_ssp126,3.038482623,41454.780953591195,9914724549019.91,21.66875642511684
MT_inAntarc,1504,131191.659,45755853979361.2,73,ukesm1-0-ll,2021-2040_ssp370,2.32331738,75902.3710616478,21145839062429.695,46.21449983638774
MT_inAntarc,1504,131191.659,45755853979361.2,74,ukesm1-0-ll,2041-2060_ssp370,3.414120006,21530.48399034043,4363796702367.487,9.537133115985194
MT_inAntarc,1504,131191.659,45755853979361.2,75,ukesm1-0-ll,2061-2080_ssp370,4.439976801,6421.2315380706095,954721976315.216,2.086557004806109
MT_inAntarc,1504,131191.659,45755853979361.2,76,ukesm1-0-ll,2081-2100_ssp370,5.840495128,50.00376795256435,4387937601.373465,0.009589893357367351
MT_inAntarc,1504,131191.659,45755853979361.2,77,ukesm1-0-ll,2021-2040_ssp585,2.319732626,56640.60223372359,14658960135145.908,32.03734355336922
MT_inAntarc,1504,131191.659,45755853979361.2,78,ukesm1-0-ll,2041-2060_ssp585,3.646967578,19559.822215562242,3868556743973.3604,8.454779897056069
MT_inAntarc,1504,131191.659,45755853979361.2,79,ukesm1-0-ll,2061-2080_ssp585,5.230543689,4504.430004478082,612697342637.8351,1.3390578239763604
MT_inAntarc,1504,131191.659,45755853979361.2,80,ukesm1-0-ll,2081-2100_ssp585,6.884361024,32.828277870429396,2651523852.863614,0.0057949390564530166
