region_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
MT_inAntarc,1504,131191.659,45755853979361.2,0,era5,2014-2023,1.2,122726.60460461257,38554450616679.81,84.26124148851056
MT_inAntarc,1504,131191.659,45755853979361.2,1,gfdl-esm4,1851-1870_hist,0.231409328,154649.8260756319,51171525568359.99,111.83601904019014
MT_inAntarc,1504,131191.659,45755853979361.2,2,gfdl-esm4,1901-1920_hist,0.478289046,130740.08692901595,41705757539275.92,91.14846279142309
MT_inAntarc,1504,131191.659,45755853979361.2,3,gfdl-esm4,1951-1970_hist,0.392281326,155932.63135937476,51742183868239.25,113.08320000229537
MT_inAntarc,1504,131191.659,45755853979361.2,4,gfdl-esm4,1995-2014_hist,0.901467077,136048.72381651736,43767800604596.45,95.65508409992415
MT_inAntarc,1504,131191.659,45755853979361.2,5,gfdl-esm4,2021-2040_ssp126,1.493792069,106829.84973175358,32888153693335.86,71.87747759700979
MT_inAntarc,1504,131191.659,45755853979361.2,6,gfdl-esm4,2041-2060_ssp126,1.678749959,106387.93040090441,32291216822429.062,70.5728644841695
MT_inAntarc,1504,131191.659,45755853979361.2,7,gfdl-esm4,2061-2080_ssp126,1.730055687,110796.37128196302,34170525175513.58,74.68011675823307
MT_inAntarc,1504,131191.659,45755853979361.2,8,gfdl-esm4,2081-2100_ssp126,1.684476548,110813.75424580633,34262695595206.18,74.88155638109352
MT_inAntarc,1504,131191.659,45755853979361.2,9,gfdl-esm4,2021-2040_ssp370,1.488564228,122046.16424767578,39008913919148.016,85.25447680802442
MT_inAntarc,1504,131191.659,45755853979361.2,10,gfdl-esm4,2041-2060_ssp370,2.049608082,101754.68392520798,31419485739512.355,68.66768513092235
MT_inAntarc,1504,131191.659,45755853979361.2,11,gfdl-esm4,2061-2080_ssp370,2.814161775,85935.37753505817,26239980767118.316,57.34781123078637
MT_inAntarc,1504,131191.659,45755853979361.2,12,gfdl-esm4,2081-2100_ssp370,3.532319558,66354.45603293719,19631668001958.15,42.90525975280295
MT_inAntarc,1504,131191.659,45755853979361.2,13,gfdl-esm4,2021-2040_ssp585,1.529802668,110190.41731834164,34412235078905.273,75.20837682196331
MT_inAntarc,1504,131191.659,45755853979361.2,14,gfdl-esm4,2041-2060_ssp585,2.18911609,94202.08992682758,28287374453059.07,61.82241613459662
MT_inAntarc,1504,131191.659,45755853979361.2,15,gfdl-esm4,2061-2080_ssp585,3.048039704,72730.25321012952,20895714868944.008,45.66785023479029
MT_inAntarc,1504,131191.659,45755853979361.2,16,gfdl-esm4,2081-2100_ssp585,4.001455777,44545.76464478163,12207966607979.791,26.68066607058926
MT_inAntarc,1504,131191.659,45755853979361.2,17,ipsl-cm6a-lr,1851-1870_hist,-0.131913088,159297.56412202664,52926550897234.195,115.67164918636954
MT_inAntarc,1504,131191.659,45755853979361.2,18,ipsl-cm6a-lr,1901-1920_hist,-0.143528775,153811.96178767504,50453266623303.086,110.26625499342819
MT_inAntarc,1504,131191.659,45755853979361.2,19,ipsl-cm6a-lr,1951-1970_hist,0.302892464,135819.64339489472,43217039096979.4,94.45138783000975
MT_inAntarc,1504,131191.659,45755853979361.2,20,ipsl-cm6a-lr,1995-2014_hist,0.913312833,137820.23615849589,44530483524194.04,97.32193730725716
MT_inAntarc,1504,131191.659,45755853979361.2,21,ipsl-cm6a-lr,2021-2040_ssp126,1.636714967,105861.05920221856,32021594650557.324,69.98360180317277
MT_inAntarc,1504,131191.659,45755853979361.2,22,ipsl-cm6a-lr,2041-2060_ssp126,2.049075593,105428.50998132484,31978706468497.68,69.88986913657455
MT_inAntarc,1504,131191.659,45755853979361.2,23,ipsl-cm6a-lr,2061-2080_ssp126,2.191208244,101816.11312898975,30466011865459.727,66.58385586946281
MT_inAntarc,1504,131191.659,45755853979361.2,24,ipsl-cm6a-lr,2081-2100_ssp126,2.171220561,97698.16250391646,28958706792218.19,63.28962148817156
MT_inAntarc,1504,131191.659,45755853979361.2,25,ipsl-cm6a-lr,2021-2040_ssp370,1.678163601,108062.54610565679,32782220149618.99,71.64595849179398
MT_inAntarc,1504,131191.659,45755853979361.2,26,ipsl-cm6a-lr,2041-2060_ssp370,2.594826972,77748.67794807864,22050684984534.88,48.192052091260585
MT_inAntarc,1504,131191.659,45755853979361.2,27,ipsl-cm6a-lr,2061-2080_ssp370,3.513114684,57008.35920080786,15119183224301.004,33.04316695984019
MT_inAntarc,1504,131191.659,45755853979361.2,28,ipsl-cm6a-lr,2081-2100_ssp370,4.677751369,40811.02800950515,10226477064433.41,22.350095507005946
MT_inAntarc,1504,131191.659,45755853979361.2,29,ipsl-cm6a-lr,2021-2040_ssp585,1.66491004,96498.12625235763,28155508626457.492,61.53422169577999
MT_inAntarc,1504,131191.659,45755853979361.2,30,ipsl-cm6a-lr,2041-2060_ssp585,2.84393776,72035.07477040982,20053437157594.305,43.827041599179154
MT_inAntarc,1504,131191.659,45755853979361.2,31,ipsl-cm6a-lr,2061-2080_ssp585,4.160098437,39747.86220414657,9856074165336.164,21.540575266679273
MT_inAntarc,1504,131191.659,45755853979361.2,32,ipsl-cm6a-lr,2081-2100_ssp585,5.849305066,26100.46286194431,5996945511574.423,13.106400580523372
MT_inAntarc,1504,131191.659,45755853979361.2,33,mpi-esm1-2-hr,1851-1870_hist,0.083373661,154166.1073443344,51440161136283.055,112.42312548572654
MT_inAntarc,1504,131191.659,45755853979361.2,34,mpi-esm1-2-hr,1901-1920_hist,0.101656085,167666.39454110508,57063409067267.97,124.71280525767739
MT_inAntarc,1504,131191.659,45755853979361.2,35,mpi-esm1-2-hr,1951-1970_hist,0.353009146,148480.02981452137,48867707329394.266,106.8009950189908
MT_inAntarc,1504,131191.659,45755853979361.2,36,mpi-esm1-2-hr,1995-2014_hist,0.904939372,136800.16384260735,44021982054610.445,96.21060088719392
MT_inAntarc,1504,131191.659,45755853979361.2,37,mpi-esm1-2-hr,2021-2040_ssp126,1.469113359,116110.5695605995,36299459047192.99,79.33292877358677
MT_inAntarc,1504,131191.659,45755853979361.2,38,mpi-esm1-2-hr,2041-2060_ssp126,1.656830929,116020.71954735844,36011566443076.66,78.70373583087348
MT_inAntarc,1504,131191.659,45755853979361.2,39,mpi-esm1-2-hr,2061-2080_ssp126,1.695689732,108017.26186265485,33166217869367.734,72.48519038531727
MT_inAntarc,1504,131191.659,45755853979361.2,40,mpi-esm1-2-hr,2081-2100_ssp126,1.659995843,108472.71674226523,33667697796975.86,73.58118113621511
MT_inAntarc,1504,131191.659,45755853979361.2,41,mpi-esm1-2-hr,2021-2040_ssp370,1.493779364,125901.01850018605,40280024213833.234,88.03250450095868
MT_inAntarc,1504,131191.659,45755853979361.2,42,mpi-esm1-2-hr,2041-2060_ssp370,2.092677072,93441.18427303286,28036010029397.58,61.273055994198245
MT_inAntarc,1504,131191.659,45755853979361.2,43,mpi-esm1-2-hr,2061-2080_ssp370,2.718960922,77649.07342720935,22868768991837.938,49.979985079402525
MT_inAntarc,1504,131191.659,45755853979361.2,44,mpi-esm1-2-hr,2081-2100_ssp370,3.454510652,57456.84291870816,15850670242524.834,34.64184112851329
MT_inAntarc,1504,131191.659,45755853979361.2,45,mpi-esm1-2-hr,2021-2040_ssp585,1.528303178,115121.65156091393,35823711521003.38,78.29317651280677
MT_inAntarc,1504,131191.659,45755853979361.2,46,mpi-esm1-2-hr,2041-2060_ssp585,2.139652727,99854.92510475841,30259968859387.2,66.13354626281561
MT_inAntarc,1504,131191.659,45755853979361.2,47,mpi-esm1-2-hr,2061-2080_ssp585,2.950347,76125.03877053643,21667329408435.867,47.35422361083941
MT_inAntarc,1504,131191.659,45755853979361.2,48,mpi-esm1-2-hr,2081-2100_ssp585,3.99079854,49108.981126839026,12931806909863.57,28.262628243583077
MT_inAntarc,1504,131191.659,45755853979361.2,49,mri-esm2-0,1851-1870_hist,0.190948213,151111.822193428,48857439322060.35,106.7785541585524
MT_inAntarc,1504,131191.659,45755853979361.2,50,mri-esm2-0,1901-1920_hist,0.252478266,157996.23375942116,52140688494873.48,113.95413692506371
MT_inAntarc,1504,131191.659,45755853979361.2,51,mri-esm2-0,1951-1970_hist,0.382652065,147909.02998705843,47882266746345.945,104.64730210902388
MT_inAntarc,1504,131191.659,45755853979361.2,52,mri-esm2-0,1995-2014_hist,0.922248887,136885.0196812099,44003327652030.7,96.16983145343325
MT_inAntarc,1504,131191.659,45755853979361.2,53,mri-esm2-0,2021-2040_ssp126,1.72632431,106163.66383911409,32443636492089.824,70.90597960803872
MT_inAntarc,1504,131191.659,45755853979361.2,54,mri-esm2-0,2041-2060_ssp126,1.996245332,103639.73798742135,31001500887039.18,67.75417392717186
MT_inAntarc,1504,131191.659,45755853979361.2,55,mri-esm2-0,2061-2080_ssp126,2.09126599,97422.79549850989,28817112137916.48,62.98016457285406
MT_inAntarc,1504,131191.659,45755853979361.2,56,mri-esm2-0,2081-2100_ssp126,1.94778826,87811.46562901777,25299306327886.598,55.2919552966888
MT_inAntarc,1504,131191.659,45755853979361.2,57,mri-esm2-0,2021-2040_ssp370,1.705488886,114834.99939658142,35586959863182.555,77.77575275774447
MT_inAntarc,1504,131191.659,45755853979361.2,58,mri-esm2-0,2041-2060_ssp370,2.404955866,87258.39323777263,25494954200530.258,55.71954620720248
MT_inAntarc,1504,131191.659,45755853979361.2,59,mri-esm2-0,2061-2080_ssp370,3.105613809,57933.19907812361,15443766386589.06,33.75254758343092
MT_inAntarc,1504,131191.659,45755853979361.2,60,mri-esm2-0,2081-2100_ssp370,3.811452497,44235.591715287395,11224649037116.146,24.531613030715537
MT_inAntarc,1504,131191.659,45755853979361.2,61,mri-esm2-0,2021-2040_ssp585,1.911734937,97085.15012089322,28671914424357.44,62.66283312576856
MT_inAntarc,1504,131191.659,45755853979361.2,62,mri-esm2-0,2041-2060_ssp585,2.687007085,89166.84304104216,26284742607588.08,57.44563880163655
MT_inAntarc,1504,131191.659,45755853979361.2,63,mri-esm2-0,2061-2080_ssp585,3.541685939,40574.26032097775,10137862958047.154,22.156428252043934
