temp_ch_ipcc,0.05,0.17,0.25,0.5,0.75,0.83,0.95,frac,it,N,final_num_fits,fit_opt,y,source_input,x_col,y_col
-0.1,98.1217805,101.0536493,101.8458699,104.6764226,113.8036502,112.7346296,114.2023668,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_MT_outAntarc_median_a.csv,temp_ch_ipcc,mass_remaining
-0.05,97.26341655,100.008238,100.7746719,104.1148594,113.2692489,112.5767829,113.9116415,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_MT_outAntarc_median_a.csv,temp_ch_ipcc,mass_remaining
0,96.33565614,98.98432982,99.70033306,103.6250494,112.7286963,112.3677956,113.6052504,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_MT_outAntarc_median_a.csv,temp_ch_ipcc,mass_remaining
0.05,95.32083963,97.97554353,98.63384308,103.1606723,112.1553644,112.0970378,113.2713088,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_MT_outAntarc_median_a.csv,temp_ch_ipcc,mass_remaining
0.1,94.25104525,96.9770181,97.58706924,102.6786094,111.5270411,111.7538999,112.8962819,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_MT_outAntarc_median_a.csv,temp_ch_ipcc,mass_remaining
0.15,93.18416063,95.9876226,96.56822838,102.1500989,110.8335719,111.3389021,112.470654,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_MT_outAntarc_median_a.csv,temp_ch_ipcc,mass_remaining
0.2,92.16785569,95.00321615,95.57917408,101.5551698,110.0747318,110.8590024,111.9896087,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_MT_outAntarc_median_a.csv,temp_ch_ipcc,mass_remaining
0.25,91.22759801,94.02532148,94.61628057,100.8834621,109.2542294,110.3235321,111.451373,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_MT_outAntarc_median_a.csv,temp_ch_ipcc,mass_remaining
0.3,90.36934431,93.05828418,93.68374933,100.1292309,108.3749945,109.7291898,110.8563017,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_MT_outAntarc_median_a.csv,temp_ch_ipcc,mass_remaining
0.35,89.58186143,92.12910205,92.78841655,99.30006162,107.4343633,109.0568168,110.1788824,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_MT_outAntarc_median_a.csv,temp_ch_ipcc,mass_remaining
0.4,88.84106641,91.25622152,91.93113302,98.4255741,106.4442549,108.3072924,109.3943509,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_MT_outAntarc_median_a.csv,temp_ch_ipcc,mass_remaining
0.45,88.13579189,90.46055006,91.09130016,97.53335835,105.4215273,107.499288,108.5275076,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_MT_outAntarc_median_a.csv,temp_ch_ipcc,mass_remaining
0.5,87.45313287,89.74491877,90.23710145,96.62849219,104.3707232,106.6476083,107.6166078,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_MT_outAntarc_median_a.csv,temp_ch_ipcc,mass_remaining
0.55,86.77685895,89.07827093,89.3669975,95.71346974,103.2982387,105.7647258,106.6826634,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_MT_outAntarc_median_a.csv,temp_ch_ipcc,mass_remaining
0.6,86.07208571,88.40963803,88.49402744,94.7868634,102.2205348,104.8525028,105.7151721,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_MT_outAntarc_median_a.csv,temp_ch_ipcc,mass_remaining
0.65,85.25743452,87.67477656,87.61894158,93.83359548,101.1443172,103.9004853,104.7064042,0.22,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_MT_outAntarc_median_a.csv,temp_ch_ipcc,mass_remaining
