region_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
MT_outAntarc,1738,150277.071,41971941024320.336,0,era5,2014-2023,1.2,103186.73301122335,29291706940696.863,69.7887832343136
MT_outAntarc,1738,150277.071,41971941024320.336,1,gfdl-esm4,1851-1870_hist,0.231409328,131168.90301131632,39349704845499.8,93.75240669164883
MT_outAntarc,1738,150277.071,41971941024320.336,2,gfdl-esm4,1901-1920_hist,0.478289046,126810.7105666828,37475828082663.414,89.28781268645241
MT_outAntarc,1738,150277.071,41971941024320.336,3,gfdl-esm4,1951-1970_hist,0.392281326,128051.27234930596,38264826164882.43,91.16763540363823
MT_outAntarc,1738,150277.071,41971941024320.336,4,gfdl-esm4,1995-2014_hist,0.901467077,120559.2350178121,35422226691696.766,84.39501683081946
MT_outAntarc,1738,150277.071,41971941024320.336,5,gfdl-esm4,2021-2040_ssp126,1.493792069,100989.44309156755,29877726800832.465,71.18500138823704
MT_outAntarc,1738,150277.071,41971941024320.336,6,gfdl-esm4,2041-2060_ssp126,1.678749959,101994.87309532704,29725014461438.535,70.82115750666522
MT_outAntarc,1738,150277.071,41971941024320.336,7,gfdl-esm4,2061-2080_ssp126,1.730055687,95576.16982512058,28474319635680.895,67.84132194215573
MT_outAntarc,1738,150277.071,41971941024320.336,8,gfdl-esm4,2081-2100_ssp126,1.684476548,93726.76120881754,27006103681236.055,64.34323269821513
MT_outAntarc,1738,150277.071,41971941024320.336,9,gfdl-esm4,2021-2040_ssp370,1.488564228,102493.42347924391,30401174197221.89,72.43213788851499
MT_outAntarc,1738,150277.071,41971941024320.336,10,gfdl-esm4,2041-2060_ssp370,2.049608082,91237.42633414976,27231936905656.305,64.88129031220394
MT_outAntarc,1738,150277.071,41971941024320.336,11,gfdl-esm4,2061-2080_ssp370,2.814161775,68453.37284270386,20345563192990.82,48.47420132702877
MT_outAntarc,1738,150277.071,41971941024320.336,12,gfdl-esm4,2081-2100_ssp370,3.532319558,53758.456814092526,16432039833759.54,39.15005937952241
MT_outAntarc,1738,150277.071,41971941024320.336,13,gfdl-esm4,2021-2040_ssp585,1.529802668,100702.56803635092,29666770200321.188,70.6823879866099
MT_outAntarc,1738,150277.071,41971941024320.336,14,gfdl-esm4,2041-2060_ssp585,2.18911609,81835.47357465063,23610471336104.36,56.25298892520468
MT_outAntarc,1738,150277.071,41971941024320.336,15,gfdl-esm4,2061-2080_ssp585,3.048039704,58986.454312938666,17666137759852.26,42.09035209883609
MT_outAntarc,1738,150277.071,41971941024320.336,16,gfdl-esm4,2081-2100_ssp585,4.001455777,42503.07235011461,13160516130549.162,31.355509917740992
MT_outAntarc,1738,150277.071,41971941024320.336,17,ipsl-cm6a-lr,1851-1870_hist,-0.131913088,147727.94223594666,44512230418389.21,106.05235148071166
MT_outAntarc,1738,150277.071,41971941024320.336,18,ipsl-cm6a-lr,1901-1920_hist,-0.143528775,155703.64262466523,47778691574359.05,113.8348392004888
MT_outAntarc,1738,150277.071,41971941024320.336,19,ipsl-cm6a-lr,1951-1970_hist,0.302892464,138543.52295272663,41531795768825.68,98.9513345231291
MT_outAntarc,1738,150277.071,41971941024320.336,20,ipsl-cm6a-lr,1995-2014_hist,0.913312833,122432.53474397189,36326801283974.79,86.55020567889746
MT_outAntarc,1738,150277.071,41971941024320.336,21,ipsl-cm6a-lr,2021-2040_ssp126,1.636714967,92094.22168623864,27227929581901.734,64.87174268667896
MT_outAntarc,1738,150277.071,41971941024320.336,22,ipsl-cm6a-lr,2041-2060_ssp126,2.049075593,71317.40024109202,21467561243874.797,51.147411151263114
MT_outAntarc,1738,150277.071,41971941024320.336,23,ipsl-cm6a-lr,2061-2080_ssp126,2.191208244,65904.21737730961,19962116585818.965,47.560622879585345
MT_outAntarc,1738,150277.071,41971941024320.336,24,ipsl-cm6a-lr,2081-2100_ssp126,2.171220561,62574.57609021893,19325758488146.23,46.04447165535676
MT_outAntarc,1738,150277.071,41971941024320.336,25,ipsl-cm6a-lr,2021-2040_ssp370,1.678163601,96682.79436997256,28751295564575.06,68.50122930439488
MT_outAntarc,1738,150277.071,41971941024320.336,26,ipsl-cm6a-lr,2041-2060_ssp370,2.594826972,60933.41192431255,18694042796961.555,44.53938116926598
MT_outAntarc,1738,150277.071,41971941024320.336,27,ipsl-cm6a-lr,2061-2080_ssp370,3.513114684,39861.09407430494,11840335344099.018,28.210120988300787
MT_outAntarc,1738,150277.071,41971941024320.336,28,ipsl-cm6a-lr,2081-2100_ssp370,4.677751369,23187.886863958356,6661263014858.073,15.87075282269708
MT_outAntarc,1738,150277.071,41971941024320.336,29,ipsl-cm6a-lr,2021-2040_ssp585,1.66491004,98418.64934191765,28556879563031.957,68.03802460907129
