region_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
MT_outAntarc,1738,150277.071,41971941024320.336,0,era5,2014-2023,1.2,102228.39827754867,29229658140412.492,69.64094923195374
MT_outAntarc,1738,150277.071,41971941024320.336,1,gfdl-esm4,1851-1870_hist,0.231409328,130986.43258327093,39483635782925.016,94.0715030549731
MT_outAntarc,1738,150277.071,41971941024320.336,2,gfdl-esm4,1901-1920_hist,0.478289046,126604.67088507804,37605133894272.58,89.59588948360181
MT_outAntarc,1738,150277.071,41971941024320.336,3,gfdl-esm4,1951-1970_hist,0.392281326,128063.82278531804,38442599890632.375,91.59118914313991
MT_outAntarc,1738,150277.071,41971941024320.336,4,gfdl-esm4,1995-2014_hist,0.901467077,120196.17162611237,35511584107508.73,84.60791481368898
MT_outAntarc,1738,150277.071,41971941024320.336,5,gfdl-esm4,2021-2040_ssp126,1.493792069,100712.00775646408,30014861385104.812,71.51173058142086
MT_outAntarc,1738,150277.071,41971941024320.336,6,gfdl-esm4,2041-2060_ssp126,1.678749959,101743.12943626616,29855189995969.5,71.1313064570212
MT_outAntarc,1738,150277.071,41971941024320.336,7,gfdl-esm4,2061-2080_ssp126,1.730055687,95525.92464168162,28660910451132.734,68.28588278661066
MT_outAntarc,1738,150277.071,41971941024320.336,8,gfdl-esm4,2081-2100_ssp126,1.684476548,93462.6757001046,27140124010001.465,64.66254204034861
MT_outAntarc,1738,150277.071,41971941024320.336,9,gfdl-esm4,2021-2040_ssp370,1.488564228,102558.41523496382,30600017353409.418,72.90589047496864
MT_outAntarc,1738,150277.071,41971941024320.336,10,gfdl-esm4,2041-2060_ssp370,2.049608082,91321.01445019335,27427485867672.88,65.34719433580692
MT_outAntarc,1738,150277.071,41971941024320.336,11,gfdl-esm4,2061-2080_ssp370,2.814161775,68437.38594639278,20509735893542.957,48.86535002433826
MT_outAntarc,1738,150277.071,41971941024320.336,12,gfdl-esm4,2081-2100_ssp370,3.532319558,54013.68983302396,16609986914635.822,39.57402614525567
MT_outAntarc,1738,150277.071,41971941024320.336,13,gfdl-esm4,2021-2040_ssp585,1.529802668,101089.41863115232,30021643856919.363,71.52789011955282
MT_outAntarc,1738,150277.071,41971941024320.336,14,gfdl-esm4,2041-2060_ssp585,2.18911609,82144.28512994137,23921781857688.492,56.99469996831261
MT_outAntarc,1738,150277.071,41971941024320.336,15,gfdl-esm4,2061-2080_ssp585,3.048039704,59455.32438876416,17959630944869.023,42.78961255202004
MT_outAntarc,1738,150277.071,41971941024320.336,16,gfdl-esm4,2081-2100_ssp585,4.001455777,43179.92920240909,13430374984078.66,31.998460534137617
MT_outAntarc,1738,150277.071,41971941024320.336,17,ipsl-cm6a-lr,1851-1870_hist,-0.131913088,148757.4438832775,45021457237225.49,107.26560682799524
MT_outAntarc,1738,150277.071,41971941024320.336,18,ipsl-cm6a-lr,1901-1920_hist,-0.143528775,156693.59772367394,48277764398878.586,115.02390220863121
MT_outAntarc,1738,150277.071,41971941024320.336,19,ipsl-cm6a-lr,1951-1970_hist,0.302892464,139259.75313591756,41953912434372.71,99.95704608958357
MT_outAntarc,1738,150277.071,41971941024320.336,20,ipsl-cm6a-lr,1995-2014_hist,0.913312833,122252.48639699408,36461322523647.88,86.87070846335325
MT_outAntarc,1738,150277.071,41971941024320.336,21,ipsl-cm6a-lr,2021-2040_ssp126,1.636714967,92128.82168218946,27394095000681.176,65.26763912302236
MT_outAntarc,1738,150277.071,41971941024320.336,22,ipsl-cm6a-lr,2041-2060_ssp126,2.049075593,71495.02742713394,21628688397600.9,51.531303698983834
MT_outAntarc,1738,150277.071,41971941024320.336,23,ipsl-cm6a-lr,2061-2080_ssp126,2.191208244,66184.43768590206,20151627975052.58,48.012142119841116
MT_outAntarc,1738,150277.071,41971941024320.336,24,ipsl-cm6a-lr,2081-2100_ssp126,2.171220561,62774.147624693775,19490324105447.797,46.43655649414515
MT_outAntarc,1738,150277.071,41971941024320.336,25,ipsl-cm6a-lr,2021-2040_ssp370,1.678163601,96643.30574298519,28968176190571.957,69.01795695792711
MT_outAntarc,1738,150277.071,41971941024320.336,26,ipsl-cm6a-lr,2041-2060_ssp370,2.594826972,61246.44691494863,18933067454751.945,45.10886795485898
MT_outAntarc,1738,150277.071,41971941024320.336,27,ipsl-cm6a-lr,2061-2080_ssp370,3.513114684,40090.31443112437,12011124634154.125,28.617034001821278
MT_outAntarc,1738,150277.071,41971941024320.336,28,ipsl-cm6a-lr,2081-2100_ssp370,4.677751369,23883.5416113261,6853973458087.734,16.32989395014219
MT_outAntarc,1738,150277.071,41971941024320.336,29,ipsl-cm6a-lr,2021-2040_ssp585,1.66491004,98599.96060328402,28814970670098.543,68.65293805068943
MT_outAntarc,1738,150277.071,41971941024320.336,30,ipsl-cm6a-lr,2041-2060_ssp585,2.84393776,59584.12540787283,18249578440261.746,43.48042524334807
MT_outAntarc,1738,150277.071,41971941024320.336,31,ipsl-cm6a-lr,2061-2080_ssp585,4.160098437,32266.41963686321,9634008075563.947,22.953448995798386
MT_outAntarc,1738,150277.071,41971941024320.336,32,ipsl-cm6a-lr,2081-2100_ssp585,5.849305066,17030.499725281443,4844121931573.946,11.541334075464976
MT_outAntarc,1738,150277.071,41971941024320.336,33,mpi-esm1-2-hr,1851-1870_hist,0.083373661,139892.80585546585,42050003173504.81,100.1859865121302
MT_outAntarc,1738,150277.071,41971941024320.336,34,mpi-esm1-2-hr,1901-1920_hist,0.101656085,138022.9477247921,41370496853212.19,98.56703274513883
MT_outAntarc,1738,150277.071,41971941024320.336,35,mpi-esm1-2-hr,1951-1970_hist,0.353009146,136334.86636700106,41930320427370.9,99.90083709274889
MT_outAntarc,1738,150277.071,41971941024320.336,36,mpi-esm1-2-hr,1995-2014_hist,0.904939372,123392.55075272966,36991821843029.43,88.1346464810736
MT_outAntarc,1738,150277.071,41971941024320.336,37,mpi-esm1-2-hr,2021-2040_ssp126,1.469113359,109056.79608914409,32934920259288.516,78.46889959224096
MT_outAntarc,1738,150277.071,41971941024320.336,38,mpi-esm1-2-hr,2041-2060_ssp126,1.656830929,99966.4191812254,30307542297273.887,72.20905575873272
MT_outAntarc,1738,150277.071,41971941024320.336,39,mpi-esm1-2-hr,2061-2080_ssp126,1.695689732,99342.45954112605,30149700734603.453,71.83299127656123
MT_outAntarc,1738,150277.071,41971941024320.336,40,mpi-esm1-2-hr,2081-2100_ssp126,1.659995843,98803.46227894722,30126944728385.32,71.7787740884523
MT_outAntarc,1738,150277.071,41971941024320.336,41,mpi-esm1-2-hr,2021-2040_ssp370,1.493779364,104759.60553090279,31389642002473.11,74.78720601528676
MT_outAntarc,1738,150277.071,41971941024320.336,42,mpi-esm1-2-hr,2041-2060_ssp370,2.092677072,85684.07274893376,26191319135311.45,62.40197259434602
MT_outAntarc,1738,150277.071,41971941024320.336,43,mpi-esm1-2-hr,2061-2080_ssp370,2.718960922,78622.96765136503,23885336569706.61,56.90786746285197
MT_outAntarc,1738,150277.071,41971941024320.336,44,mpi-esm1-2-hr,2081-2100_ssp370,3.454510652,66780.41495485457,20827763577335.227,49.623065002561425
MT_outAntarc,1738,150277.071,41971941024320.336,45,mpi-esm1-2-hr,2021-2040_ssp585,1.528303178,108264.78385937847,31958915884458.26,76.14352613794988
MT_outAntarc,1738,150277.071,41971941024320.336,46,mpi-esm1-2-hr,2041-2060_ssp585,2.139652727,90231.87286163298,27295505071311.977,65.03274426954853
MT_outAntarc,1738,150277.071,41971941024320.336,47,mpi-esm1-2-hr,2061-2080_ssp585,2.950347,75065.71100704261,22733735194394.64,54.16412641298086
MT_outAntarc,1738,150277.071,41971941024320.336,48,mpi-esm1-2-hr,2081-2100_ssp585,3.99079854,56643.98866082616,17878767914799.305,42.59695281769214
MT_outAntarc,1738,150277.071,41971941024320.336,49,mri-esm2-0,1851-1870_hist,0.190948213,154843.4270405961,47422481857957.664,112.98615384615891
MT_outAntarc,1738,150277.071,41971941024320.336,50,mri-esm2-0,1901-1920_hist,0.252478266,152396.7471090873,46978206694840.4,111.92764868229281
MT_outAntarc,1738,150277.071,41971941024320.336,51,mri-esm2-0,1951-1970_hist,0.382652065,146782.49537271142,44972314060761.29,107.14852104338566
MT_outAntarc,1738,150277.071,41971941024320.336,52,mri-esm2-0,1995-2014_hist,0.922248887,133111.33937681743,40341787290852.5,96.116086857829
MT_outAntarc,1738,150277.071,41971941024320.336,53,mri-esm2-0,2021-2040_ssp126,1.72632431,88533.95052940438,25827157706114.67,61.5343419336964
MT_outAntarc,1738,150277.071,41971941024320.336,54,mri-esm2-0,2041-2060_ssp126,1.996245332,74781.80249937926,22545715122299.35,53.71616030155813
MT_outAntarc,1738,150277.071,41971941024320.336,55,mri-esm2-0,2061-2080_ssp126,2.09126599,75746.83765538584,23110775613060.38,55.062441833864696
MT_outAntarc,1738,150277.071,41971941024320.336,56,mri-esm2-0,2081-2100_ssp126,1.94778826,90679.16523176178,27304632903649.812,65.05449173253231
MT_outAntarc,1738,150277.071,41971941024320.336,57,mri-esm2-0,2021-2040_ssp370,1.705488886,97378.48546237826,28582361826730.133,68.09873722582496
MT_outAntarc,1738,150277.071,41971941024320.336,58,mri-esm2-0,2041-2060_ssp370,2.404955866,67977.26330671634,19298095314124.586,45.97856292360281
MT_outAntarc,1738,150277.071,41971941024320.336,59,mri-esm2-0,2061-2080_ssp370,3.105613809,51533.16095027628,15067821973050.3,35.89975017910027
MT_outAntarc,1738,150277.071,41971941024320.336,60,mri-esm2-0,2081-2100_ssp370,3.811452497,37355.9742354356,10687045981761.291,25.462358234918796
MT_outAntarc,1738,150277.071,41971941024320.336,61,mri-esm2-0,2021-2040_ssp585,1.911734937,86846.56472311133,26329901308642.0,62.732150732284055
MT_outAntarc,1738,150277.071,41971941024320.336,62,mri-esm2-0,2041-2060_ssp585,2.687007085,46372.580464022816,13119570471913.86,31.257955080780803
MT_outAntarc,1738,150277.071,41971941024320.336,63,mri-esm2-0,2061-2080_ssp585,3.541685939,44208.90933534569,12469471371100.836,29.709065310740552
MT_outAntarc,1738,150277.071,41971941024320.336,64,mri-esm2-0,2081-2100_ssp585,4.594325176,21700.789283557384,5536213481224.3955,13.19027270627412
MT_outAntarc,1738,150277.071,41971941024320.336,65,ukesm1-0-ll,1851-1870_hist,0.373094842,140338.2679505563,43122515343647.68,102.74129404370565
MT_outAntarc,1738,150277.071,41971941024320.336,66,ukesm1-0-ll,1901-1920_hist,0.353528895,148774.09265331412,45432076431653.516,108.2439251625943
MT_outAntarc,1738,150277.071,41971941024320.336,67,ukesm1-0-ll,1951-1970_hist,0.23742077,150952.53627720778,46526258431652.76,110.85086201920815
MT_outAntarc,1738,150277.071,41971941024320.336,68,ukesm1-0-ll,1995-2014_hist,1.058767333,127534.89514172205,38455973850939.54,91.62305319321902
MT_outAntarc,1738,150277.071,41971941024320.336,69,ukesm1-0-ll,2021-2040_ssp126,2.176143904,75033.47307100793,21607352006829.523,51.4804688072665
MT_outAntarc,1738,150277.071,41971941024320.336,70,ukesm1-0-ll,2041-2060_ssp126,2.739835015,48942.829483006055,14045678129062.53,33.46444740528884
MT_outAntarc,1738,150277.071,41971941024320.336,71,ukesm1-0-ll,2061-2080_ssp126,2.951472593,42572.05468913277,12017793126268.297,28.632921978291815
MT_outAntarc,1738,150277.071,41971941024320.336,72,ukesm1-0-ll,2081-2100_ssp126,3.038482623,35093.131086800466,9857923386381.97,23.486937096070605
MT_outAntarc,1738,150277.071,41971941024320.336,73,ukesm1-0-ll,2021-2040_ssp370,2.32331738,72732.1939748405,21492072472925.508,51.20581023515706
MT_outAntarc,1738,150277.071,41971941024320.336,74,ukesm1-0-ll,2041-2060_ssp370,3.414120006,36742.39483331182,9704274856304.324,23.12086269891891
MT_outAntarc,1738,150277.071,41971941024320.336,75,ukesm1-0-ll,2061-2080_ssp370,4.439976801,20641.519799175552,5128249259458.777,12.218279961098894
MT_outAntarc,1738,150277.071,41971941024320.336,76,ukesm1-0-ll,2081-2100_ssp370,5.840495128,7702.291204395898,1745465444638.1504,4.158648378036062
MT_outAntarc,1738,150277.071,41971941024320.336,77,ukesm1-0-ll,2021-2040_ssp585,2.319732626,73880.48006742132,21488501797422.836,51.19730294334369
MT_outAntarc,1738,150277.071,41971941024320.336,78,ukesm1-0-ll,2041-2060_ssp585,3.646967578,31665.26581157562,8192768528530.114,19.5196322318829
MT_outAntarc,1738,150277.071,41971941024320.336,79,ukesm1-0-ll,2061-2080_ssp585,5.230543689,13628.881159471819,3316525329376.406,7.901767820207955
MT_outAntarc,1738,150277.071,41971941024320.336,80,ukesm1-0-ll,2081-2100_ssp585,6.884361024,2765.764839046611,506810043780.1063,1.2074972741585597
