area_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
<1 km2,170576,43560.728,1070302417308.3179,0,era5,2014-2023,1.2,28828.502364009953,644414422421.4993,60.20863000964945
<1 km2,170576,43560.728,1070302417308.3179,1,gfdl-esm4,1851-1870_hist,0.231409328,52985.10954957701,1400408085261.2837,130.84227995888696
<1 km2,170576,43560.728,1070302417308.3179,2,gfdl-esm4,1901-1920_hist,0.478289046,48672.41187706525,1245161506679.9907,116.3373534941108
<1 km2,170576,43560.728,1070302417308.3179,3,gfdl-esm4,1951-1970_hist,0.392281326,54054.29068729899,1434893014853.8499,134.06425993715249
<1 km2,170576,43560.728,1070302417308.3179,4,gfdl-esm4,1995-2014_hist,0.901467077,43965.711150250834,1080847923921.0117,100.9852828922142
<1 km2,170576,43560.728,1070302417308.3179,5,gfdl-esm4,2021-2040_ssp126,1.493792069,29718.664057117516,659690350701.4839,61.63588346932131
<1 km2,170576,43560.728,1070302417308.3179,6,gfdl-esm4,2041-2060_ssp126,1.678749959,25850.329799252613,556978988674.025,52.0394030385132
<1 km2,170576,43560.728,1070302417308.3179,7,gfdl-esm4,2061-2080_ssp126,1.730055687,23232.3199844681,492018454233.9313,45.97004045560307
<1 km2,170576,43560.728,1070302417308.3179,8,gfdl-esm4,2081-2100_ssp126,1.684476548,24482.276099274088,522924033336.7022,48.85759621582407
<1 km2,170576,43560.728,1070302417308.3179,9,gfdl-esm4,2021-2040_ssp370,1.488564228,28943.937104334855,630068483382.5624,58.8682668742456
<1 km2,170576,43560.728,1070302417308.3179,10,gfdl-esm4,2041-2060_ssp370,2.049608082,19245.211317978556,397763484012.4591,37.16365370946153
<1 km2,170576,43560.728,1070302417308.3179,11,gfdl-esm4,2061-2080_ssp370,2.814161775,9550.627595863061,193914140405.87534,18.117696201560126
<1 km2,170576,43560.728,1070302417308.3179,12,gfdl-esm4,2081-2100_ssp370,3.532319558,3875.7014168058517,83477875926.21484,7.799466260774378
<1 km2,170576,43560.728,1070302417308.3179,13,gfdl-esm4,2021-2040_ssp585,1.529802668,28611.471032121357,624192458198.6196,58.319260809331695
<1 km2,170576,43560.728,1070302417308.3179,14,gfdl-esm4,2041-2060_ssp585,2.18911609,16229.842315009924,325576873944.80945,30.419147773542004
<1 km2,170576,43560.728,1070302417308.3179,15,gfdl-esm4,2061-2080_ssp585,3.048039704,8383.871357872911,165040254385.98947,15.41996464896771
<1 km2,170576,43560.728,1070302417308.3179,16,gfdl-esm4,2081-2100_ssp585,4.001455777,2180.3680906114246,42187627749.69689,3.9416549068247186
<1 km2,170576,43560.728,1070302417308.3179,17,ipsl-cm6a-lr,1851-1870_hist,-0.131913088,64137.40295018922,1833561444533.5696,171.31246411128888
<1 km2,170576,43560.728,1070302417308.3179,18,ipsl-cm6a-lr,1901-1920_hist,-0.143528775,67355.78380189103,1963844639685.8098,183.48502329132762
<1 km2,170576,43560.728,1070302417308.3179,19,ipsl-cm6a-lr,1951-1970_hist,0.302892464,59094.50965299804,1637670718494.0957,153.0100924757921
<1 km2,170576,43560.728,1070302417308.3179,20,ipsl-cm6a-lr,1995-2014_hist,0.913312833,43683.20986000749,1072722988555.7435,100.22615769228224
<1 km2,170576,43560.728,1070302417308.3179,21,ipsl-cm6a-lr,2021-2040_ssp126,1.636714967,32019.076103584623,731289720537.6301,68.32552264777053
<1 km2,170576,43560.728,1070302417308.3179,22,ipsl-cm6a-lr,2041-2060_ssp126,2.049075593,23738.858229237874,529831091878.7408,49.50293331217567
<1 km2,170576,43560.728,1070302417308.3179,23,ipsl-cm6a-lr,2061-2080_ssp126,2.191208244,15859.176860781368,337504863764.1305,31.53359819675216
<1 km2,170576,43560.728,1070302417308.3179,24,ipsl-cm6a-lr,2081-2100_ssp126,2.171220561,17471.742198609423,370587147742.4917,34.62452683929033
<1 km2,170576,43560.728,1070302417308.3179,25,ipsl-cm6a-lr,2021-2040_ssp370,1.678163601,32586.119243443958,752714158663.9618,70.32724083319812
<1 km2,170576,43560.728,1070302417308.3179,26,ipsl-cm6a-lr,2041-2060_ssp370,2.594826972,14569.444498047893,315895083424.9303,29.51456320348865
<1 km2,170576,43560.728,1070302417308.3179,27,ipsl-cm6a-lr,2061-2080_ssp370,3.513114684,5366.840786456143,115813175323.70511,10.820602985739427
<1 km2,170576,43560.728,1070302417308.3179,28,ipsl-cm6a-lr,2081-2100_ssp370,4.677751369,2237.207911843455,48019038708.30637,4.486492596089663
<1 km2,170576,43560.728,1070302417308.3179,29,ipsl-cm6a-lr,2021-2040_ssp585,1.66491004,28710.301057901568,639866537175.4093,59.783714100599425
<1 km2,170576,43560.728,1070302417308.3179,30,ipsl-cm6a-lr,2041-2060_ssp585,2.84393776,12054.881125698012,263371389255.10324,24.60719372356933
<1 km2,170576,43560.728,1070302417308.3179,31,ipsl-cm6a-lr,2061-2080_ssp585,4.160098437,3666.3252905305603,77185645119.11406,7.211573464743422
<1 km2,170576,43560.728,1070302417308.3179,32,ipsl-cm6a-lr,2081-2100_ssp585,5.849305066,877.9787685165905,17445383151.271496,1.6299489629430661
<1 km2,170576,43560.728,1070302417308.3179,33,mpi-esm1-2-hr,1851-1870_hist,0.083373661,61577.01860220089,1728611966892.069,161.5068730984763
<1 km2,170576,43560.728,1070302417308.3179,34,mpi-esm1-2-hr,1901-1920_hist,0.101656085,59856.033817580574,1658397493781.1372,154.94662694977444
<1 km2,170576,43560.728,1070302417308.3179,35,mpi-esm1-2-hr,1951-1970_hist,0.353009146,55680.1353330283,1496185490049.9944,139.79091010676413
<1 km2,170576,43560.728,1070302417308.3179,36,mpi-esm1-2-hr,1995-2014_hist,0.904939372,42630.00956637607,1036957010842.3455,96.88448741900143
<1 km2,170576,43560.728,1070302417308.3179,37,mpi-esm1-2-hr,2021-2040_ssp126,1.469113359,32174.127290829936,724162533296.6333,67.65961858871768
<1 km2,170576,43560.728,1070302417308.3179,38,mpi-esm1-2-hr,2041-2060_ssp126,1.656830929,29372.264830841872,647110869188.8568,60.460563175804374
<1 km2,170576,43560.728,1070302417308.3179,39,mpi-esm1-2-hr,2061-2080_ssp126,1.695689732,26746.308693302748,574598824437.7744,53.6856513771894
<1 km2,170576,43560.728,1070302417308.3179,40,mpi-esm1-2-hr,2081-2100_ssp126,1.659995843,27701.916362600874,600279079912.4329,56.084997119044424
<1 km2,170576,43560.728,1070302417308.3179,41,mpi-esm1-2-hr,2021-2040_ssp370,1.493779364,32610.354375276063,732674807381.3057,68.45493344057793
<1 km2,170576,43560.728,1070302417308.3179,42,mpi-esm1-2-hr,2041-2060_ssp370,2.092677072,21478.11856939755,443675424953.23285,41.45327692233222
<1 km2,170576,43560.728,1070302417308.3179,43,mpi-esm1-2-hr,2061-2080_ssp370,2.718960922,13648.220649271203,279785157735.275,26.140757342107207
<1 km2,170576,43560.728,1070302417308.3179,44,mpi-esm1-2-hr,2081-2100_ssp370,3.454510652,6042.178029105087,125782681870.51826,11.752069306434588
<1 km2,170576,43560.728,1070302417308.3179,45,mpi-esm1-2-hr,2021-2040_ssp585,1.528303178,31637.483973990056,711180390239.5624,66.44667700817641
<1 km2,170576,43560.728,1070302417308.3179,46,mpi-esm1-2-hr,2041-2060_ssp585,2.139652727,19947.09199279707,412122999701.3708,38.50528533214105
<1 km2,170576,43560.728,1070302417308.3179,47,mpi-esm1-2-hr,2061-2080_ssp585,2.950347,7956.530250987068,160042802069.99405,14.953044997551485
<1 km2,170576,43560.728,1070302417308.3179,48,mpi-esm1-2-hr,2081-2100_ssp585,3.99079854,4966.7318942196825,112759884801.05937,10.535329359027044
<1 km2,170576,43560.728,1070302417308.3179,49,mri-esm2-0,1851-1870_hist,0.190948213,58308.4495267097,1599947435439.105,149.4855481558923
<1 km2,170576,43560.728,1070302417308.3179,50,mri-esm2-0,1901-1920_hist,0.252478266,58319.837418382565,1598014198710.2527,149.30492287675727
<1 km2,170576,43560.728,1070302417308.3179,51,mri-esm2-0,1951-1970_hist,0.382652065,58605.01418540563,1606908929822.7646,150.13597127659935
