temp_ch_ipcc,0.05,0.17,0.25,0.5,0.75,0.83,0.95,frac,it,N,final_num_fits,fit_opt,y,source_input,x_col,y_col
-0.1,2010390220.7010174,8219080850.815514,438909019.0478901,5255083206.995506,1188701425.1532493,3871372795.1312423,18969077504.79957,0.9599999999999995,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_area_1-10_median_a.csv,temp_ch_ipcc,volume_steady
-0.05,2473631991.6047416,9104214124.354425,670238638.3513148,6073424783.52452,1854059315.3445032,5120379042.040358,20992734873.73456,0.9599999999999995,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_area_1-10_median_a.csv,temp_ch_ipcc,volume_steady
0.0,3001194750.2915425,10037622011.313921,952087466.8852589,6977950302.76297,2673705365.98039,6617205602.229911,23231750511.32889,0.9599999999999995,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_area_1-10_median_a.csv,temp_ch_ipcc,volume_steady
0.05000000000000002,3598964711.240104,11022797747.537317,1293354145.001852,7978349229.696327,3672087568.1867094,8392449012.142217,25720911167.22227,0.9599999999999995,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_area_1-10_median_a.csv,temp_ch_ipcc,volume_steady
0.1,4273338023.035033,12060849378.849586,1702176251.5924268,9084790628.577673,4876151817.879284,10480161800.024248,28501983846.484047,0.9599999999999995,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_area_1-10_median_a.csv,temp_ch_ipcc,volume_steady
0.15,5039871779.607362,13164863496.007978,2201063894.5167313,10317317203.347868,6326344586.121403,12929622867.859463,31629989344.93605,0.9599999999999995,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_area_1-10_median_a.csv,temp_ch_ipcc,volume_steady
0.20000000000000004,5948457791.999646,14400123591.00212,2873420920.263198,11733910822.896753,8120875371.139893,15850422896.437468,35224091767.37038,0.9599999999999995,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_area_1-10_median_a.csv,temp_ch_ipcc,volume_steady
0.25,7044727077.77333,15829963071.691189,3801345712.0994816,13397293067.324486,10376850750.716127,19379927287.013977,39471521468.020454,0.9599999999999995,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_area_1-10_median_a.csv,temp_ch_ipcc,volume_steady
0.30000000000000004,8359313081.67333,17499657768.164845,5046465163.245371,15362420188.86978,13210308776.787712,23661732179.078476,44603549031.7505,0.9599999999999995,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_area_1-10_median_a.csv,temp_ch_ipcc,volume_steady
0.35,9909726175.64984,19438506564.694965,6651850188.100091,17675699071.53739,16731224707.27268,28837718207.74331,50876648937.24927,0.9599999999999995,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_area_1-10_median_a.csv,temp_ch_ipcc,volume_steady
0.4,11702123299.110022,21661788630.353058,8643863792.87042,20374446245.24873,21039382193.296803,35041387645.84518,58556103275.07865,0.9599999999999995,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_area_1-10_median_a.csv,temp_ch_ipcc,volume_steady
0.45000000000000007,13733024971.859854,24172671619.249763,11034031374.685686,23486634502.789375,26221163404.481857,42392525616.42947,67902069826.071266,0.9599999999999995,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_area_1-10_median_a.csv,temp_ch_ipcc,volume_steady
0.5000000000000001,15990992447.011084,26964095317.642654,13820963695.076326,27030941322.979023,32347279960.195843,50993203249.13116,79158172958.79898,0.9599999999999995,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_area_1-10_median_a.csv,temp_ch_ipcc,volume_steady
0.55,18458252512.740555,30020621969.233067,16992321664.50925,31017086407.143383,39471424556.34028,60925096057.50519,92542638559.84142,0.9599999999999995,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_area_1-10_median_a.csv,temp_ch_ipcc,volume_steady
0.6000000000000001,21112243855.543762,33320225214.7109,20526786425.1134,35446424178.24141,47629780284.88684,72248038955.19505,108241917981.57472,0.9599999999999995,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_area_1-10_median_a.csv,temp_ch_ipcc,volume_steady
0.65,23927054370.45125,36835981379.77193,24395985592.07183,40312742106.42199,56841287592.22739,84999690964.61247,126406656557.61258,0.9599999999999995,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_area_1-10_median_a.csv,temp_ch_ipcc,volume_steady
0.7000000000000001,26874720884.02701,40537626995.79131,28566324197.513313,45603207476.79766,67108541927.09851,99196145051.30669,147149778830.74994,0.9599999999999995,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_area_1-10_median_a.csv,temp_ch_ipcc,volume_steady
0.7500000000000001,29926369130.72431,44392952302.36804,33000674074.014126,51299403226.688866,78419180315.64508,114833295468.39056,170546397874.5496,0.9599999999999995,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_area_1-10_median_a.csv,temp_ch_ipcc,volume_steady
0.8,33053180436.2532,48369009649.515205,37659885392.91546,57378396696.34274,90747612244.10724,131888767355.19154,196635216381.8034,0.9599999999999995,2,500,2000,lowess_fit,,/g/data/rd53/wy2165/disequilibrium/pygem_oggm/PyGEM_glacier_mass_area_1-10_median_a.csv,temp_ch_ipcc,volume_steady
