area_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
>100 km2,962,387240.951,122859635891299.53,0,era5,2014-2023,1.2,268748.4517183978,81851435099675.53,66.62190922663474
>100 km2,962,387240.951,122859635891299.53,1,gfdl-esm4,1851-1870_hist,0.231409328,352352.11084200005,114257586020427.48,92.99847357639678
>100 km2,962,387240.951,122859635891299.53,2,gfdl-esm4,1901-1920_hist,0.478289046,303926.2421127787,94559691167414.3,76.96562868790878
>100 km2,962,387240.951,122859635891299.53,3,gfdl-esm4,1951-1970_hist,0.392281326,348124.1235566317,112786044315843.62,91.8007313774163
>100 km2,962,387240.951,122859635891299.53,4,gfdl-esm4,1995-2014_hist,0.901467077,313122.30970552174,98656023262229.19,80.29978482885578
>100 km2,962,387240.951,122859635891299.53,5,gfdl-esm4,2021-2040_ssp126,1.493792069,242449.58588247653,72755353831445.25,59.21827238346676
>100 km2,962,387240.951,122859635891299.53,6,gfdl-esm4,2041-2060_ssp126,1.678749959,255530.43139337882,77389770675560.34,62.990395595858026
>100 km2,962,387240.951,122859635891299.53,7,gfdl-esm4,2061-2080_ssp126,1.730055687,250965.59826288364,77008474680002.45,62.68004468785497
>100 km2,962,387240.951,122859635891299.53,8,gfdl-esm4,2081-2100_ssp126,1.684476548,246794.6890446818,74939089661282.48,60.995695712125574
>100 km2,962,387240.951,122859635891299.53,9,gfdl-esm4,2021-2040_ssp370,1.488564228,260213.5085161452,79571928604318.19,64.7665346124904
>100 km2,962,387240.951,122859635891299.53,10,gfdl-esm4,2041-2060_ssp370,2.049608082,231044.30422505894,69697383484816.2,56.72927725952337
>100 km2,962,387240.951,122859635891299.53,11,gfdl-esm4,2061-2080_ssp370,2.814161775,168957.6867025268,49397408579305.336,40.20637715629392
>100 km2,962,387240.951,122859635891299.53,12,gfdl-esm4,2081-2100_ssp370,3.532319558,125645.65570759166,36099809676367.23,29.38296977235603
>100 km2,962,387240.951,122859635891299.53,13,gfdl-esm4,2021-2040_ssp585,1.529802668,234345.8355122599,70026418429742.99,56.997090966230026
>100 km2,962,387240.951,122859635891299.53,14,gfdl-esm4,2041-2060_ssp585,2.18911609,196020.4054777562,57172854941479.57,46.535100423106776
>100 km2,962,387240.951,122859635891299.53,15,gfdl-esm4,2061-2080_ssp585,3.048039704,148620.52488611935,42916957819072.336,34.93169868828462
