tidewater_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
land-terminating,212303,424267.549,65038920372014.0,0,era5,2014-2023,1.2,266797.44229287485,40780326071090.29,62.70141914692346
land-terminating,212303,424267.549,65038920372014.0,1,gfdl-esm4,1851-1870_hist,0.231409328,390347.0287881948,57740715838449.03,88.77871205146056
land-terminating,212303,424267.549,65038920372014.0,2,gfdl-esm4,1901-1920_hist,0.478289046,361893.14419235295,52868403236263.21,81.28733216028643
land-terminating,212303,424267.549,65038920372014.0,3,gfdl-esm4,1951-1970_hist,0.392281326,383294.3679102287,56025995968860.45,86.14226012424436
land-terminating,212303,424267.549,65038920372014.0,4,gfdl-esm4,1995-2014_hist,0.901467077,334622.97378283035,49287703147025.164,75.78185933146806
land-terminating,212303,424267.549,65038920372014.0,5,gfdl-esm4,2021-2040_ssp126,1.493792069,261149.88372615475,39798242972567.57,61.19142621821965
land-terminating,212303,424267.549,65038920372014.0,6,gfdl-esm4,2041-2060_ssp126,1.678749959,236657.0316060568,36571711665335.22,56.23050237634616
land-terminating,212303,424267.549,65038920372014.0,7,gfdl-esm4,2061-2080_ssp126,1.730055687,217176.22866871097,34039933849151.125,52.33779044062727
land-terminating,212303,424267.549,65038920372014.0,8,gfdl-esm4,2081-2100_ssp126,1.684476548,220858.05014148052,33773947447684.445,51.92882547019837
land-terminating,212303,424267.549,65038920372014.0,9,gfdl-esm4,2021-2040_ssp370,1.488564228,252053.91475441048,38566675893429.03,59.29784146605257
land-terminating,212303,424267.549,65038920372014.0,10,gfdl-esm4,2041-2060_ssp370,2.049608082,207496.41981593476,32812130509138.688,50.449992591294034
land-terminating,212303,424267.549,65038920372014.0,11,gfdl-esm4,2061-2080_ssp370,2.814161775,130065.77943095147,21545657920362.77,33.12733021569925
land-terminating,212303,424267.549,65038920372014.0,12,gfdl-esm4,2081-2100_ssp370,3.532319558,106288.18377783951,18562824922633.395,28.541102491333646
land-terminating,212303,424267.549,65038920372014.0,13,gfdl-esm4,2021-2040_ssp585,1.529802668,246206.9426087746,37291077661310.22,57.33655701541508
land-terminating,212303,424267.549,65038920372014.0,14,gfdl-esm4,2041-2060_ssp585,2.18911609,179313.05142722928,28779673360601.98,44.24992480807809
land-terminating,212303,424267.549,65038920372014.0,15,gfdl-esm4,2061-2080_ssp585,3.048039704,122311.58775874732,20856585387106.48,32.06785301448667
land-terminating,212303,424267.549,65038920372014.0,16,gfdl-esm4,2081-2100_ssp585,4.001455777,73214.22320340567,13685499418813.453,21.04201505888199
land-terminating,212303,424267.549,65038920372014.0,17,ipsl-cm6a-lr,1851-1870_hist,-0.131913088,475519.2074947732,71878999429869.48,110.51690129345803
land-terminating,212303,424267.549,65038920372014.0,18,ipsl-cm6a-lr,1901-1920_hist,-0.143528775,505153.22889276524,77602536925235.39,119.3170742708507
land-terminating,212303,424267.549,65038920372014.0,19,ipsl-cm6a-lr,1951-1970_hist,0.302892464,422420.71407093445,62625554233016.91,96.28935086069548
land-terminating,212303,424267.549,65038920372014.0,20,ipsl-cm6a-lr,1995-2014_hist,0.913312833,332163.761895112,49047283203537.16,75.41220383578509
land-terminating,212303,424267.549,65038920372014.0,21,ipsl-cm6a-lr,2021-2040_ssp126,1.636714967,258373.80538164603,38639067989105.6,59.40914727380968
land-terminating,212303,424267.549,65038920372014.0,22,ipsl-cm6a-lr,2041-2060_ssp126,2.049075593,206342.8346982993,31242187339776.74,48.03614076167865
land-terminating,212303,424267.549,65038920372014.0,23,ipsl-cm6a-lr,2061-2080_ssp126,2.191208244,165837.51646665158,26375876137634.535,40.55398826851372
land-terminating,212303,424267.549,65038920372014.0,24,ipsl-cm6a-lr,2081-2100_ssp126,2.171220561,163975.2823064823,26310013960861.6,40.45272247812819
land-terminating,212303,424267.549,65038920372014.0,25,ipsl-cm6a-lr,2021-2040_ssp370,1.678163601,254303.199378689,37449058579393.625,57.57945913798995
land-terminating,212303,424267.549,65038920372014.0,26,ipsl-cm6a-lr,2041-2060_ssp370,2.594826972,153889.39856427614,25319544315492.555,38.9298348906595
land-terminating,212303,424267.549,65038920372014.0,27,ipsl-cm6a-lr,2061-2080_ssp370,3.513114684,96346.8511959572,16574466362364.322,25.48391988606295
land-terminating,212303,424267.549,65038920372014.0,28,ipsl-cm6a-lr,2081-2100_ssp370,4.677751369,48516.64330473387,9130862236136.24,14.039074117326855
land-terminating,212303,424267.549,65038920372014.0,29,ipsl-cm6a-lr,2021-2040_ssp585,1.66491004,243958.59564174523,37053054321741.32,56.97058639627283
land-terminating,212303,424267.549,65038920372014.0,30,ipsl-cm6a-lr,2041-2060_ssp585,2.84393776,144411.40494199248,23781086116512.46,36.564392490662215
