tidewater_class,n_glaciers,rgi_area_km2,vol_2020_m3,experiment,gcm,period_scenario,temp_ch_ipcc,area_steady,volume_steady,mass_remaining
marine-terminating,3244,281471.243,87727909003005.61,0,era5,2014-2023,1.2,198271.6642527158,57335965563903.875,65.3565851682838
marine-terminating,3244,281471.243,87727909003005.61,1,gfdl-esm4,1851-1870_hist,0.231409328,265144.6614947485,82428062889525.2,93.9587684538351
marine-terminating,3244,281471.243,87727909003005.61,2,gfdl-esm4,1901-1920_hist,0.478289046,220584.42092686318,65034251431711.29,74.13176966235817
marine-terminating,3244,281471.243,87727909003005.61,3,gfdl-esm4,1951-1970_hist,0.392281326,263294.837995995,81856822526469.7,93.30761835856049
marine-terminating,3244,281471.243,87727909003005.61,4,gfdl-esm4,1995-2014_hist,0.901467077,234416.69020545765,70563624923036.47,80.43463673643346
marine-terminating,3244,281471.243,87727909003005.61,5,gfdl-esm4,2021-2040_ssp126,1.493792069,167288.2765017724,47735896291869.31,54.413580392339966
marine-terminating,3244,281471.243,87727909003005.61,6,gfdl-esm4,2041-2060_ssp126,1.678749959,187480.21911666557,54271145282644.36,61.86303298393331
marine-terminating,3244,281471.243,87727909003005.61,7,gfdl-esm4,2061-2080_ssp126,1.730055687,186554.98070846064,55014452029259.36,62.710319503197695
marine-terminating,3244,281471.243,87727909003005.61,8,gfdl-esm4,2081-2100_ssp126,1.684476548,185421.15043918873,53806462805324.59,61.33334695516469
marine-terminating,3244,281471.243,87727909003005.61,9,gfdl-esm4,2021-2040_ssp370,1.488564228,189197.66594867242,55391501116437.28,63.14011327289191
marine-terminating,3244,281471.243,87727909003005.61,10,gfdl-esm4,2041-2060_ssp370,2.049608082,167278.82612071582,48435471060196.68,55.21101734972077
marine-terminating,3244,281471.243,87727909003005.61,11,gfdl-esm4,2061-2080_ssp370,2.814161775,123361.37216576128,34454966542058.367,39.274806539476415
marine-terminating,3244,281471.243,87727909003005.61,12,gfdl-esm4,2081-2100_ssp370,3.532319558,84310.16479784387,23197380424187.848,26.44241802616439
marine-terminating,3244,281471.243,87727909003005.61,13,gfdl-esm4,2021-2040_ssp585,1.529802668,163955.41423558345,46502600191372.12,53.007760836724046
marine-terminating,3244,281471.243,87727909003005.61,14,gfdl-esm4,2041-2060_ssp585,2.18911609,137138.63061333032,37844144204321.2,43.13808984438993
marine-terminating,3244,281471.243,87727909003005.61,15,gfdl-esm4,2061-2080_ssp585,3.048039704,101290.004054797,27840562867129.375,31.73512646491499
marine-terminating,3244,281471.243,87727909003005.61,16,gfdl-esm4,2081-2100_ssp585,4.001455777,57264.48976308462,15881652913172.469,18.1033072526878
marine-terminating,3244,281471.243,87727909003005.61,17,ipsl-cm6a-lr,1851-1870_hist,-0.131913088,317512.0591686619,102463761793176.53,116.79722332110534
marine-terminating,3244,281471.243,87727909003005.61,18,ipsl-cm6a-lr,1901-1920_hist,-0.143528775,318219.44704771845,102641763670820.48,117.00012554420272
marine-terminating,3244,281471.243,87727909003005.61,19,ipsl-cm6a-lr,1951-1970_hist,0.302892464,266810.5486857218,82317385557763.66,93.8326086798027
marine-terminating,3244,281471.243,87727909003005.61,20,ipsl-cm6a-lr,1995-2014_hist,0.913312833,233408.5062049839,70353467900150.29,80.19508124574124
marine-terminating,3244,281471.243,87727909003005.61,21,ipsl-cm6a-lr,2021-2040_ssp126,1.636714967,179661.72439109508,52524215381343.42,59.87172836815695
marine-terminating,3244,281471.243,87727909003005.61,22,ipsl-cm6a-lr,2041-2060_ssp126,2.049075593,158999.47692483387,46799514853714.3,53.34621032870044
marine-terminating,3244,281471.243,87727909003005.61,23,ipsl-cm6a-lr,2061-2080_ssp126,2.191208244,164343.39342667445,49245483221782.38,56.13434057808811
marine-terminating,3244,281471.243,87727909003005.61,24,ipsl-cm6a-lr,2081-2100_ssp126,2.171220561,135954.00905604204,39597985831341.414,45.13727305410273
marine-terminating,3244,281471.243,87727909003005.61,25,ipsl-cm6a-lr,2021-2040_ssp370,1.678163601,183804.10244926828,53877936340111.03,61.41481878733157
marine-terminating,3244,281471.243,87727909003005.61,26,ipsl-cm6a-lr,2041-2060_ssp370,2.594826972,117604.57189400944,33366485570761.883,38.03406002714453
marine-terminating,3244,281471.243,87727909003005.61,27,ipsl-cm6a-lr,2061-2080_ssp370,3.513114684,83309.43031719429,22358223105306.816,25.485872579660835
marine-terminating,3244,281471.243,87727909003005.61,28,ipsl-cm6a-lr,2081-2100_ssp370,4.677751369,49902.98610289171,12379828114944.145,14.111618817359483
marine-terminating,3244,281471.243,87727909003005.61,29,ipsl-cm6a-lr,2021-2040_ssp585,1.66491004,184976.6626800474,53483733760840.99,60.96547195603238
marine-terminating,3244,281471.243,87727909003005.61,30,ipsl-cm6a-lr,2041-2060_ssp585,2.84393776,108886.96971076126,30459593844745.85,34.72052872444764
marine-terminating,3244,281471.243,87727909003005.61,31,ipsl-cm6a-lr,2061-2080_ssp585,4.160098437,65315.89667970094,17056859955390.871,19.442911781707338
marine-terminating,3244,281471.243,87727909003005.61,32,ipsl-cm6a-lr,2081-2100_ssp585,5.849305066,31065.150822646527,7385730637610.826,8.418906504836206
marine-terminating,3244,281471.243,87727909003005.61,33,mpi-esm1-2-hr,1851-1870_hist,0.083373661,258535.2862425638,78790531556719.19,89.81238975389209
marine-terminating,3244,281471.243,87727909003005.61,34,mpi-esm1-2-hr,1901-1920_hist,0.101656085,282661.6923754002,88547201412690.72,100.93390167279269
marine-terminating,3244,281471.243,87727909003005.61,35,mpi-esm1-2-hr,1951-1970_hist,0.353009146,263218.1421659989,81878791305537.98,93.33266030851456
marine-terminating,3244,281471.243,87727909003005.61,36,mpi-esm1-2-hr,1995-2014_hist,0.904939372,226771.1478187835,67828649266228.06,77.31707051618454
marine-terminating,3244,281471.243,87727909003005.61,37,mpi-esm1-2-hr,2021-2040_ssp126,1.469113359,173563.690008499,49859682724676.76,56.834459285891036
