region_class,n_glaciers,rgi_area_km2,experiment,gcm,period_scenario,temp_ch_ipcc,AAR_mean_mean,AAR_mean_std,AAR_mean_median,AAR_mean_MAD,AAR_mean_area_weighted_mean,AAR_steady_mean,AAR_steady_std,AAR_steady_median,AAR_steady_MAD,AAR_steady_area_weighted_mean,disequilibrium_mean,disequilibrium_std,disequilibrium_median,disequilibrium_MAD,disequilibrium_area_weighted_mean
MT_19_missing_obs,1473,130106.26800000001,0,era5,2014-2023,1.2,0.5866426654698118,0.2301910164957874,0.6108375291527277,0.13654357932001204,0.6563769069087614,0.6609423059207898,0.09988903700757298,0.6630431176567396,0.0,0.7091409116196095,0.8867528395616616,0.3560876028702698,0.9212636597624123,0.1859236191081871,0.9369617909854879
MT_19_missing_obs,1473,130106.26800000001,1,gfdl-esm4,1851-1870_hist,0.231409328,0.7587753952100629,0.19954617753977066,0.79897884067166,0.101541498902318,0.8068752072845679,0.649730739383014,0.09810144420948408,0.6527107734516767,0.0,0.6900277134195407,1.1794291206382073,0.3493852762910723,1.2240932326679486,0.16190217993880163,1.1795815723008625
MT_19_missing_obs,1473,130106.26800000001,2,gfdl-esm4,1901-1920_hist,0.478289046,0.6043862653048893,0.23458793331725064,0.6322060678020522,0.14255017602069614,0.685245465347782,0.649730739383014,0.09810144420948408,0.6527107734516767,0.0,0.6900277134195407,0.9314477522359403,0.3977299436468387,0.9685853114677561,0.201574068327661,0.998563183886349
MT_19_missing_obs,1473,130106.26800000001,3,gfdl-esm4,1951-1970_hist,0.392281326,0.7679703175521141,0.19673625284146837,0.8116882823734404,0.09230169246007258,0.8117978719946863,0.649730739383014,0.09810144420948408,0.6527107734516767,0.0,0.6900277134195407,1.1937467020159367,0.34808761029656915,1.2435650143800385,0.1551069861943586,1.189456227568134
MT_19_missing_obs,1473,130106.26800000001,4,gfdl-esm4,1995-2014_hist,0.901467077,0.6527122980097454,0.2157679910056854,0.6870532177479237,0.12358218469011018,0.7083022998828922,0.649730739383014,0.09810144420948408,0.6527107734516767,0.0,0.6900277134195407,1.0064920964043047,0.3688522920845409,1.0526151025738961,0.18059261167560425,1.0381110085102687
MT_19_missing_obs,1473,130106.26800000001,5,gfdl-esm4,2021-2040_ssp126,1.493792069,0.438131029326612,0.23590802790568913,0.44881290076522107,0.14790360907238576,0.5610638699320224,0.649730739383014,0.09810144420948408,0.6527107734516767,0.0,0.6900277134195407,0.6731193827324903,0.40444612859189194,0.6876137471912723,0.20945995098028358,0.8168173078723856
MT_19_missing_obs,1473,130106.26800000001,6,gfdl-esm4,2041-2060_ssp126,1.678749959,0.5158418144386137,0.23707782670887356,0.5380951639818499,0.14290114182743374,0.5593919474793657,0.649730739383014,0.09810144420948408,0.6527107734516767,0.0,0.6900277134195407,0.7939629668476628,0.40451368062112614,0.8244006164266072,0.19740713179484026,0.8120360369400627
MT_19_missing_obs,1473,130106.26800000001,7,gfdl-esm4,2061-2080_ssp126,1.730055687,0.5076172235774152,0.2440238128072982,0.529330889909297,0.159992482255983,0.5817413946249264,0.649730739383014,0.09810144420948408,0.6527107734516767,0.0,0.6900277134195407,0.7818704950975683,0.4138504237453221,0.8109731161783649,0.21569891882472247,0.845674976753712
MT_19_missing_obs,1473,130106.26800000001,8,gfdl-esm4,2081-2100_ssp126,1.684476548,0.5132288118416154,0.2413720190317708,0.534838503944322,0.15612475894250966,0.5809468472277941,0.649730739383014,0.09810144420948408,0.6527107734516767,0.0,0.6900277134195407,0.7900592827380661,0.40933215430293235,0.8194111782711652,0.20183421102038812,0.8457010039522181
MT_19_missing_obs,1473,130106.26800000001,9,gfdl-esm4,2021-2040_ssp370,1.488564228,0.5111463886427117,0.25021193433942884,0.5352661881876166,0.15398969490494274,0.6512528159480903,0.6605723336680798,0.09205575557670485,0.6594227594999393,0.0,0.70249302839488,0.7691666108822324,0.38572666785009163,0.8117193112860186,0.20495876728444462,0.9326185115357483
MT_19_missing_obs,1473,130106.26800000001,10,gfdl-esm4,2041-2060_ssp370,2.049608082,0.4276102215408319,0.25054857067605407,0.4411663714495818,0.17071746605405652,0.5435521746096014,0.6605723336680798,0.09205575557670485,0.6594227594999393,0.0,0.70249302839488,0.6448521663154555,0.40177694024661775,0.6690190247363192,0.2359480050451735,0.7773051391803543
MT_19_missing_obs,1473,130106.26800000001,11,gfdl-esm4,2061-2080_ssp370,2.814161775,0.27594463355386406,0.23438564581401078,0.2418674831254941,0.1641727723191629,0.4639628656473003,0.6605723336680798,0.09205575557670485,0.6594227594999393,0.0,0.70249302839488,0.41154588305982265,0.34448288861671117,0.36678667765260287,0.23542971886863862,0.657231583794201
MT_19_missing_obs,1473,130106.26800000001,12,gfdl-esm4,2081-2100_ssp370,3.532319558,0.1919742398235926,0.21083805125107188,0.12839913209278137,0.12839913209278137,0.36092054088216535,0.6605723336680798,0.09205575557670485,0.6594227594999393,0.0,0.70249302839488,0.28496693718764715,0.3084960342968592,0.19471443810970432,0.19471443810970432,0.5077314944765999
MT_19_missing_obs,1473,130106.26800000001,13,gfdl-esm4,2021-2040_ssp585,1.529802668,0.4281215031245955,0.24804932131302584,0.43642858156297776,0.16261544418737423,0.5804098908611779,0.6488550494382677,0.0946483295065204,0.650282418108465,0.0,0.6948428822581978,0.6585368110648262,0.43657620317178747,0.6711369851155701,0.23014987960232025,0.8425725527704351
MT_19_missing_obs,1473,130106.26800000001,14,gfdl-esm4,2041-2060_ssp585,2.18911609,0.34373035857936945,0.24765967182925833,0.33048022823062684,0.18200746003249155,0.49805703738501583,0.6488550494382677,0.0946483295065204,0.650282418108465,0.0,0.6948428822581978,0.5246053484646337,0.37986557911208396,0.5082103083640558,0.26179459034466157,0.7203950487066905
MT_19_missing_obs,1473,130106.26800000001,15,gfdl-esm4,2061-2080_ssp585,3.048039704,0.24385876052609812,0.22277361007016236,0.1981566058246375,0.1542912651377592,0.38710312666651664,0.6488550494382677,0.0946483295065204,0.650282418108465,0.0,0.6948428822581978,0.3734125587684939,0.38741843926806685,0.30472391734199655,0.22600619185069326,0.5560628614348129
MT_19_missing_obs,1473,130106.26800000001,16,gfdl-esm4,2081-2100_ssp585,4.001455777,0.10016148049726507,0.16123749459313458,0.02069131397395035,0.02069131397395035,0.24035453580008673,0.6488550494382677,0.0946483295065204,0.650282418108465,0.0,0.6948428822581978,0.15018693970607028,0.2373423379041258,0.03181896572590266,0.03181896572590266,0.3410836760316966
MT_19_missing_obs,1473,130106.26800000001,17,ipsl-cm6a-lr,1851-1870_hist,-0.131913088,0.8545896893078085,0.17197130261612376,0.9069327586173341,0.05498377813791211,0.8391732699398619,0.6670886034355267,0.09214365307517434,0.6668548168968378,0.0,0.697553604683115,1.3002790165479963,0.3086841194492642,1.3600153071363903,0.10779770837453762,1.2125887307313972
MT_19_missing_obs,1473,130106.26800000001,18,ipsl-cm6a-lr,1901-1920_hist,-0.143528775,0.8191651503441829,0.17938931632055904,0.8668087074935205,0.06978011950131513,0.8103303531229591,0.6670886034355267,0.09214365307517434,0.6668548168968378,0.0,0.697553604683115,1.2405201746598324,0.2885496476349548,1.2998462116944047,0.12082731136596747,1.1709723669419612
MT_19_missing_obs,1473,130106.26800000001,19,ipsl-cm6a-lr,1951-1970_hist,0.302892464,0.7179913391751197,0.1897894784277524,0.7511758957256365,0.0952673078884988,0.7195319906398954,0.6670886034355267,0.09214365307517434,0.6668548168968378,0.0,0.697553604683115,1.0821752209955682,0.29048663727100893,1.126445931996384,0.13674910781836802,1.0347451422127163
MT_19_missing_obs,1473,130106.26800000001,20,ipsl-cm6a-lr,1995-2014_hist,0.913312833,0.6727923592474148,0.20984175357590573,0.7055424701727856,0.11388175021721825,0.7299688986227663,0.6670886034355267,0.09214365307517434,0.6668548168968378,0.0,0.697553604683115,1.0092305614246113,0.3158353666825144,1.0580151065804368,0.16549332204356948,1.0515470818867478
MT_19_missing_obs,1473,130106.26800000001,21,ipsl-cm6a-lr,2021-2040_ssp126,1.636714967,0.5167062895742737,0.2268571357335539,0.5353036220901224,0.13246674415882864,0.565964486885565,0.6670886034355267,0.09214365307517434,0.6668548168968378,0.0,0.697553604683115,0.7724361401007794,0.34297683518189964,0.8027288826991164,0.18147963303866632,0.8076621388228382
MT_19_missing_obs,1473,130106.26800000001,22,ipsl-cm6a-lr,2041-2060_ssp126,2.049075593,0.5173756939515558,0.2302739258082274,0.536588550034917,0.13190620811070003,0.5653514986657848,0.6670886034355267,0.09214365307517434,0.6668548168968378,0.0,0.697553604683115,0.771836443218467,0.3383742589869607,0.8046557308109347,0.1821130325303154,0.8040696789478923
MT_19_missing_obs,1473,130106.26800000001,23,ipsl-cm6a-lr,2061-2080_ssp126,2.191208244,0.5102505806382195,0.2390106110292211,0.5317860136055459,0.14694540100856512,0.5446888541833521,0.6670886034355267,0.09214365307517434,0.6668548168968378,0.0,0.697553604683115,0.7601944088567614,0.3496954609857413,0.7974539586895014,0.1996179976407011,0.775579318009322
MT_19_missing_obs,1473,130106.26800000001,24,ipsl-cm6a-lr,2081-2100_ssp126,2.171220561,0.47428566766860486,0.2338663281390579,0.48131841160951,0.1439360560367362,0.5243290205080972,0.6670886034355267,0.09214365307517434,0.6668548168968378,0.0,0.697553604683115,0.7074727315580719,0.34217862721403813,0.7217739145220418,0.1982869349934432,0.7457626943222615
MT_19_missing_obs,1473,130106.26800000001,25,ipsl-cm6a-lr,2021-2040_ssp370,1.678163601,0.5299260941147473,0.23241529114982992,0.5533453134776092,0.13613879517307326,0.5771162936097571,0.6656871773713955,0.09359550705785297,0.6663220233818581,0.0,0.699849299203357,0.7919499541142265,0.3419769017372715,0.8304472823352803,0.19051525042004935,0.8242883558534654
MT_19_missing_obs,1473,130106.26800000001,26,ipsl-cm6a-lr,2041-2060_ssp370,2.594826972,0.30932943246729566,0.23147557721941114,0.29338235490599096,0.15285739170810142,0.41882087141844876,0.6656871773713955,0.09359550705785297,0.6663220233818581,0.0,0.699849299203357,0.4604409124306527,0.33921600237042765,0.4403011526122984,0.21578795309661794,0.5937757424457342
MT_19_missing_obs,1473,130106.26800000001,27,ipsl-cm6a-lr,2061-2080_ssp370,3.513114684,0.24052224345359094,0.22586371153195586,0.19237010295263335,0.15558806180254625,0.3092803788052596,0.6656871773713955,0.09359550705785297,0.6663220233818581,0.0,0.699849299203357,0.35741491687780347,0.33298614454650943,0.28870440448039825,0.22672033353388304,0.4350789503353407
MT_19_missing_obs,1473,130106.26800000001,28,ipsl-cm6a-lr,2081-2100_ssp370,4.677751369,0.14585370144415283,0.18972051041859456,0.07932729856838361,0.07932729856838361,0.2237657859906869,0.6656871773713955,0.09359550705785297,0.6663220233818581,0.0,0.699849299203357,0.21511444013138417,0.2774883897376036,0.11905249381637571,0.11905249381637571,0.31158366668553367
MT_19_missing_obs,1473,130106.26800000001,29,ipsl-cm6a-lr,2021-2040_ssp585,1.66491004,0.4919282768891429,0.24122748698398677,0.5062508864999653,0.1493884118255595,0.5091421227466532,0.6627310745527205,0.09290364831763573,0.6651434903556825,0.0,0.6856811663607254,0.7390344270247587,0.3554696123283376,0.7611152989398572,0.20308383126019092,0.7354657703932255
MT_19_missing_obs,1473,130106.26800000001,30,ipsl-cm6a-lr,2041-2060_ssp585,2.84393776,0.25549793899627843,0.2246448214090109,0.21852705282176466,0.16350530311207787,0.38576067509599904,0.6627310745527205,0.09290364831763573,0.6651434903556825,0.0,0.6856811663607254,0.3808263622421276,0.3303143756390211,0.32854121853452745,0.2382753761872255,0.5503918499178717
MT_19_missing_obs,1473,130106.26800000001,31,ipsl-cm6a-lr,2061-2080_ssp585,4.160098437,0.16597491328677544,0.19775896551384892,0.1006763607441515,0.1006763607441515,0.2148967261215599,0.6627310745527205,0.09290364831763573,0.6651434903556825,0.0,0.6856811663607254,0.24687759602770779,0.29226275517488365,0.15136036389729268,0.15136036389729268,0.3026061121382021
MT_19_missing_obs,1473,130106.26800000001,32,ipsl-cm6a-lr,2081-2100_ssp585,5.849305066,0.08901990808696782,0.16280156904744747,0.0122197192732873,0.0122197192732873,0.14129277483084904,0.6627310745527205,0.09290364831763573,0.6651434903556825,0.0,0.6856811663607254,0.13183032029102124,0.24030271982577162,0.01837155358275078,0.01837155358275078,0.19913687441317063
MT_19_missing_obs,1473,130106.26800000001,33,mpi-esm1-2-hr,1851-1870_hist,0.083373661,0.7547419532567067,0.1971649223086422,0.7962922154150431,0.10127606085334928,0.8060882878517587,0.6616300315611177,0.09529887492668067,0.6655180257980581,0.0,0.6920212362943229,1.1446782364557202,0.28085110719373607,1.1964998460562608,0.1520229451049926,1.1764056501520903
MT_19_missing_obs,1473,130106.26800000001,34,mpi-esm1-2-hr,1901-1920_hist,0.101656085,0.8318942906736605,0.1934665263731496,0.8905541308039988,0.07355773984449321,0.8773213381860184,0.6616300315611177,0.09529887492668067,0.6655180257980581,0.0,0.6920212362943229,1.2673989888011172,0.2952363684098108,1.338136754051234,0.12858721101016446,1.27840132785895
MT_19_missing_obs,1473,130106.26800000001,35,mpi-esm1-2-hr,1951-1970_hist,0.353009146,0.7360218957382981,0.19828209423385526,0.7781961380138361,0.09533263104683753,0.7774620030377437,0.6616300315611177,0.09529887492668067,0.6655180257980581,0.0,0.6920212362943229,1.1170050806128144,0.2814528185451742,1.1693088809738246,0.14339704424174315,1.1323203906789556
MT_19_missing_obs,1473,130106.26800000001,36,mpi-esm1-2-hr,1995-2014_hist,0.904939372,0.6588750318512434,0.21496236755251127,0.6952096762670955,0.1177255776989683,0.7218263011448981,0.6616300315611177,0.09529887492668067,0.6655180257980581,0.0,0.6920212362943229,0.9912712133325731,0.3000171821455393,1.0446143444926719,0.15638184406937494,1.0439547258880533
MT_19_missing_obs,1473,130106.26800000001,37,mpi-esm1-2-hr,2021-2040_ssp126,1.469113359,0.48555402375117196,0.24457401776070967,0.5020189456400322,0.15332138284771846,0.6170027432760559,0.6616300315611177,0.09529887492668067,0.6655180257980581,0.0,0.6920212362943229,0.7268900339047483,0.35294455755698423,0.7543280965801559,0.20289151214489043,0.88781962561883
MT_19_missing_obs,1473,130106.26800000001,38,mpi-esm1-2-hr,2041-2060_ssp126,1.656830929,0.5078950778835207,0.24403959510750414,0.5342789069222755,0.14718759405153103,0.6141271053055861,0.6616300315611177,0.09529887492668067,0.6655180257980581,0.0,0.6920212362943229,0.7625403969613909,0.3506654667872838,0.8028015563990071,0.19353287546688547,0.8856428903410997
MT_19_missing_obs,1473,130106.26800000001,39,mpi-esm1-2-hr,2061-2080_ssp126,1.695689732,0.4821648578270697,0.2447508104258255,0.5009030589854127,0.1558538126075153,0.5748299997943492,0.6616300315611177,0.09529887492668067,0.6655180257980581,0.0,0.6920212362943229,0.7233904709778409,0.35287302274262594,0.7526513776764395,0.20142368371856334,0.8244219848947983
MT_19_missing_obs,1473,130106.26800000001,40,mpi-esm1-2-hr,2081-2100_ssp126,1.659995843,0.39381279152871146,0.25906610280348236,0.3928155860674235,0.19168529557164252,0.5754946415370196,0.6616300315611177,0.09529887492668067,0.6655180257980581,0.0,0.6920212362943229,0.5869520193961999,0.375329588131333,0.5902403403670058,0.26554660354309056,0.8295451083755665
MT_19_missing_obs,1473,130106.26800000001,41,mpi-esm1-2-hr,2021-2040_ssp370,1.493779364,0.5221411725193115,0.24809327886552623,0.5407087422880328,0.15980242765967323,0.6652290207074335,0.6499652698631992,0.09410706862466563,0.6528297866946767,0.0,0.7004248263989893,0.7979380984806659,0.3695171665124191,0.8282537857619507,0.21523913555234597,0.9620143566677694
MT_19_missing_obs,1473,130106.26800000001,42,mpi-esm1-2-hr,2041-2060_ssp370,2.092677072,0.30201312870932845,0.2528954562701705,0.2668800401403071,0.1940060523012373,0.4937348154504471,0.6499652698631992,0.09410706862466563,0.6528297866946767,0.0,0.7004248263989893,0.45898506246675663,0.3826935770376926,0.40880493748843716,0.284200575346679,0.7153038269650335
MT_19_missing_obs,1473,130106.26800000001,43,mpi-esm1-2-hr,2061-2080_ssp370,2.718960922,0.20018796864952906,0.22061878734648324,0.12890526709324124,0.12890526709324124,0.410920560751264,0.6499652698631992,0.09410706862466563,0.6528297866946767,0.0,0.7004248263989893,0.30266136325579207,0.3278997631472152,0.19745616655437506,0.19745616655437506,0.5946423205761503
MT_19_missing_obs,1473,130106.26800000001,44,mpi-esm1-2-hr,2081-2100_ssp370,3.454510652,0.137459418227786,0.19092928636669362,0.05492959051229915,0.05492959051229915,0.30766970606296107,0.6499652698631992,0.09410706862466563,0.6528297866946767,0.0,0.7004248263989893,0.2063044566363374,0.2813193115786708,0.0841407540400562,0.0841407540400562,0.4400668678641679
MT_19_missing_obs,1473,130106.26800000001,45,mpi-esm1-2-hr,2021-2040_ssp585,1.528303178,0.5300814539599243,0.24363071191528915,0.5641909963457435,0.14798891759704413,0.6178294405627269,0.663527190130558,0.09697868038314833,0.6667417124818225,0.0,0.7047526258932575,0.796039875841237,0.37936988014533907,0.8461912398515568,0.19669045446278544,0.878756328516123
MT_19_missing_obs,1473,130106.26800000001,46,mpi-esm1-2-hr,2041-2060_ssp585,2.139652727,0.41366674011332677,0.251987090817157,0.43186223576157556,0.17015940375479122,0.5306698512831716,0.663527190130558,0.09697868038314833,0.6667417124818225,0.0,0.7047526258932575,0.6205859477574351,0.39305325733536794,0.6477204405796788,0.22661897905113837,0.7621809873446157
MT_19_missing_obs,1473,130106.26800000001,47,mpi-esm1-2-hr,2061-2080_ssp585,2.950347,0.32854138682865763,0.23896369191595168,0.31548856039250056,0.17093892860311896,0.4097547614844491,0.663527190130558,0.09697868038314833,0.6667417124818225,0.0,0.7047526258932575,0.49436971328259466,0.3839033629433835,0.47317957536832794,0.23793625514536748,0.5803133900381748
