gcm,period_scenario,temp_ch_ipcc,area_rgi,mass_2020,area_steady,volume_steady,mass_steady,mass_remaining
era5,2014-2023,1.2,705738.792,137492,465069.1065,98116.29163,88304.66247,64.22530945
gfdl-esm4,1851-1870_hist,0.231409328,705738.792,137492,655491.6903,140168.7787,126151.9009,91.75217529
gfdl-esm4,1901-1920_hist,0.478289046,705738.792,137492,582477.5651,117902.6547,106112.3892,77.177137
gfdl-esm4,1951-1970_hist,0.392281326,705738.792,137492,646589.2059,137882.8185,124094.5366,90.25582335
gfdl-esm4,1995-2014_hist,0.901467077,705738.792,137492,569039.664,119851.3281,107866.1953,78.45270653
gfdl-esm4,2021-2040_ssp126,1.493792069,705738.792,137492,428438.1602,87534.13926,78780.72534,57.2984067
gfdl-esm4,2021-2040_ssp370,1.488564228,705738.792,137492,441251.5807,93958.17701,84562.35931,61.50347606
gfdl-esm4,2021-2040_ssp585,1.529802668,705738.792,137492,410162.3568,83793.67785,75414.31007,54.84996223
gfdl-esm4,2041-2060_ssp126,1.678749959,705738.792,137492,424137.2507,90842.85695,81758.57125,59.46423883
gfdl-esm4,2041-2060_ssp370,2.049608082,705738.792,137492,374775.2459,81247.60157,73122.84141,53.1833426
gfdl-esm4,2041-2060_ssp585,2.18911609,705738.792,137492,316451.682,66623.81756,59961.43581,43.61085431
gfdl-esm4,2061-2080_ssp126,1.730055687,705738.792,137492,403731.2094,89054.38588,80148.94729,58.29353511
gfdl-esm4,2061-2080_ssp370,2.814161775,705738.792,137492,253427.1516,56000.62446,50400.56202,36.65708697
gfdl-esm4,2061-2080_ssp585,3.048039704,705738.792,137492,223601.5918,48697.14825,43827.43343,31.87635166
gfdl-esm4,2081-2100_ssp126,1.684476548,705738.792,137492,406279.2006,87580.41025,78822.36923,57.32869493
gfdl-esm4,2081-2100_ssp370,3.532319558,705738.792,137492,190598.3486,41760.20535,37584.18481,27.33554302
gfdl-esm4,2081-2100_ssp585,4.001455777,705738.792,137492,130478.713,29567.15233,26610.4371,19.35417122
ipsl-cm6a-lr,1851-1870_hist,-0.131913088,705738.792,137492,793031.2667,174342.7612,156908.4851,114.1219017
ipsl-cm6a-lr,1901-1920_hist,-0.143528775,705738.792,137492,823372.6759,180244.3006,162219.8705,117.9849522
ipsl-cm6a-lr,1951-1970_hist,0.302892464,705738.792,137492,689231.2628,144942.9398,130448.6458,94.87726254
ipsl-cm6a-lr,1995-2014_hist,0.913312833,705738.792,137492,565572.2681,119400.7511,107460.676,78.15776627
ipsl-cm6a-lr,2021-2040_ssp126,1.636714967,705738.792,137492,438035.5298,91163.28337,82046.95503,59.67398469
ipsl-cm6a-lr,2021-2040_ssp370,1.678163601,705738.792,137492,438107.3018,91326.99492,82194.29543,59.78114758
ipsl-cm6a-lr,2021-2040_ssp585,1.66491004,705738.792,137492,428935.2583,90536.78808,81483.10927,59.26389119
ipsl-cm6a-lr,2041-2060_ssp126,2.049075593,705738.792,137492,365342.3116,78041.70219,70237.53197,51.08481364
ipsl-cm6a-lr,2041-2060_ssp370,2.594826972,705738.792,137492,271493.9705,58686.02989,52817.4269,38.41490916
ipsl-cm6a-lr,2041-2060_ssp585,2.84393776,705738.792,137492,253298.3747,54240.67996,48816.61197,35.50505627
ipsl-cm6a-lr,2061-2080_ssp126,2.191208244,705738.792,137492,330180.9099,75621.35936,68059.22342,49.50049706
ipsl-cm6a-lr,2061-2080_ssp370,3.513114684,705738.792,137492,179656.2815,38932.68947,35039.42052,25.48469767
ipsl-cm6a-lr,2061-2080_ssp585,4.160098437,705738.792,137492,132220.2929,29117.71465,26205.94319,19.05997672
ipsl-cm6a-lr,2081-2100_ssp126,2.171220561,705738.792,137492,299929.2914,65907.99979,59317.19981,43.14229178
ipsl-cm6a-lr,2081-2100_ssp370,4.677751369,705738.792,137492,98419.62941,21510.69035,19359.62132,14.08054383
ipsl-cm6a-lr,2081-2100_ssp585,5.849305066,705738.792,137492,59739.64983,13358.89836,12023.00853,8.744514972
mpi-esm1-2-hr,1851-1870_hist,0.083373661,705738.792,137492,698712.6157,143775.0002,129397.5002,94.11274849
mpi-esm1-2-hr,1901-1920_hist,0.101656085,705738.792,137492,716829.2845,152478.3356,137230.502,99.80980858
mpi-esm1-2-hr,1951-1970_hist,0.353009146,705738.792,137492,672033.8971,142166.3729,127949.7356,93.05976754
mpi-esm1-2-hr,1995-2014_hist,0.904939372,705738.792,137492,557761.038,116979.0209,105281.1188,76.57254155
mpi-esm1-2-hr,2021-2040_ssp126,1.469113359,705738.792,137492,447596.8973,91789.04274,82610.13846,60.08359647
mpi-esm1-2-hr,2021-2040_ssp370,1.493779364,705738.792,137492,448297.4261,93991.61345,84592.45211,61.52536301
mpi-esm1-2-hr,2021-2040_ssp585,1.528303178,705738.792,137492,465572.219,98263.48638,88437.13774,64.32166071
mpi-esm1-2-hr,2041-2060_ssp126,1.656830929,705738.792,137492,439763.8715,93821.40663,84439.26596,61.41394842
mpi-esm1-2-hr,2041-2060_ssp370,2.092677072,705738.792,137492,326972.8064,67741.87904,60967.69113,44.34271895
mpi-esm1-2-hr,2041-2060_ssp585,2.139652727,705738.792,137492,375563.591,82223.21219,74000.89097,53.82196126
mpi-esm1-2-hr,2061-2080_ssp126,1.695689732,705738.792,137492,427534.0989,91798.4725,82618.62525,60.08976904
mpi-esm1-2-hr,2061-2080_ssp370,2.718960922,705738.792,137492,278368.8334,58891.19793,53002.07814,38.54920878
mpi-esm1-2-hr,2061-2080_ssp585,2.950347,705738.792,137492,285224.3304,66900.16005,60210.14405,43.79174355
mpi-esm1-2-hr,2081-2100_ssp126,1.659995843,705738.792,137492,406369.8245,83770.90745,75393.81671,54.8350571
mpi-esm1-2-hr,2081-2100_ssp370,3.454510652,705738.792,137492,215916.6204,48453.59607,43608.23647,31.71692641
mpi-esm1-2-hr,2081-2100_ssp585,3.99079854,705738.792,137492,188535.5683,44962.93887,40466.64498,29.43199967
mri-esm2-0,1851-1870_hist,0.190948213,705738.792,137492,792508.2261,181573.6854,163416.3169,118.8551457
mri-esm2-0,1901-1920_hist,0.252478266,705738.792,137492,760417.389,169386.5861,152447.9274,110.877671
mri-esm2-0,1951-1970_hist,0.382652065,705738.792,137492,753119.1038,168014.8665,151213.3798,109.979766
mri-esm2-0,1995-2014_hist,0.922248887,705738.792,137492,610277.1413,129410.9226,116469.8304,84.71025977
mri-esm2-0,2021-2040_ssp126,1.72632431,705738.792,137492,364493.5607,73751.97,66376.773,48.27682556
mri-esm2-0,2021-2040_ssp370,1.705488886,705738.792,137492,421741.4645,89098.35589,80188.5203,58.32231715
mri-esm2-0,2021-2040_ssp585,1.911734937,705738.792,137492,375184.9206,78599.93854,70739.94468,51.45022597
mri-esm2-0,2041-2060_ssp126,1.996245332,705738.792,137492,352447.8936,76751.36825,69076.23143,50.24018229
mri-esm2-0,2041-2060_ssp370,2.404955866,705738.792,137492,307270.9816,61675.64644,55508.0818,40.37186294
mri-esm2-0,2041-2060_ssp585,2.687007085,705738.792,137492,219928.5773,44355.0776,39919.56984,29.03410368
mri-esm2-0,2061-2080_ssp126,2.09126599,705738.792,137492,358005.9914,74814.15764,67332.74188,48.97211611
mri-esm2-0,2061-2080_ssp370,3.105613809,705738.792,137492,196250.6572,38703.53985,34833.18587,25.3347001
mri-esm2-0,2061-2080_ssp585,3.541685939,705738.792,137492,168385.8294,32941.24235,29647.11811,21.56279501
mri-esm2-0,2081-2100_ssp126,1.94778826,705738.792,137492,393180.6668,81842.04412,73657.83971,53.57245491
mri-esm2-0,2081-2100_ssp370,3.811452497,705738.792,137492,135976.9479,27205.80885,24485.22797,17.80847465
