gcm,period_scenario,temp_ch_ipcc,area_rgi,mass_2020,area_steady,volume_steady,mass_steady,mass_remaining
era5,2014-2023,1.2,705738.792,137492,491754.86509762006,108564.52768333156,97708.0749149984,71.06455278488815
gfdl-esm4,1851-1870_hist,0.231409328,705738.792,137492,675986.6738049947,148396.02457757082,133556.42211981374,97.13759500175556
gfdl-esm4,1901-1920_hist,0.478289046,705738.792,137492,619241.141026936,132179.43331276329,118961.48998148696,86.52248129453855
gfdl-esm4,1951-1970_hist,0.392281326,705738.792,137492,667294.197713363,146210.92647563352,131589.83382807017,95.70726575224026
gfdl-esm4,1995-2014_hist,0.901467077,705738.792,137492,590870.6846930657,128567.20220249041,115710.48198224137,84.15797426922393
gfdl-esm4,2021-2040_ssp126,1.493792069,705738.792,137492,468693.95388662553,102701.34015040443,92431.20613536399,67.22660673738399
gfdl-esm4,2021-2040_ssp370,1.488564228,705738.792,137492,476660.9222741114,108175.70044952548,97358.13040457293,70.81003287796594
gfdl-esm4,2021-2040_ssp585,1.529802668,705738.792,137492,457489.43894486176,101725.06237090845,91552.55613381762,66.58755137303815
gfdl-esm4,2041-2060_ssp126,1.678749959,705738.792,137492,444790.2318539168,98718.19691920262,88846.37722728236,64.61930674314314
gfdl-esm4,2041-2060_ssp370,2.049608082,705738.792,137492,400574.1353917562,91659.17441143209,82493.2569702889,59.9985868052606
gfdl-esm4,2041-2060_ssp585,2.18911609,705738.792,137492,355661.141487429,80988.88750669442,72889.99875602499,53.013992636680676
gfdl-esm4,2061-2080_ssp126,1.730055687,705738.792,137492,423500.2971078743,96871.42999459215,87184.28699513295,63.41044351317382
gfdl-esm4,2061-2080_ssp370,2.814161775,705738.792,137492,284438.8353775423,68295.37966180964,61465.841695628675,44.705031344099055
gfdl-esm4,2061-2080_ssp585,3.048039704,705738.792,137492,254497.16535764153,59711.9312009196,53740.738080827636,39.086447270261274
gfdl-esm4,2081-2100_ssp126,1.684476548,705738.792,137492,425135.8507899068,95176.80955161521,85659.1285964537,62.30117286566033
gfdl-esm4,2081-2100_ssp370,3.532319558,705738.792,137492,226656.3296438018,54804.47983922747,49324.031855304725,35.8741103884624
gfdl-esm4,2081-2100_ssp585,4.001455777,705738.792,137492,160939.9170505958,39323.841010872085,35391.45690978488,25.74073903193268
ipsl-cm6a-lr,1851-1870_hist,-0.131913088,705738.792,137492,783578.3363232289,169827.20061972114,152844.48055774905,111.16609006905787
ipsl-cm6a-lr,1901-1920_hist,-0.143528775,705738.792,137492,815663.0992486456,176333.77334825718,158700.39601343145,115.42518547510508
ipsl-cm6a-lr,1951-1970_hist,0.302892464,705738.792,137492,697504.0147749928,147796.68500293145,133017.0165026383,96.74527718168206
ipsl-cm6a-lr,1995-2014_hist,0.913312833,705738.792,137492,592239.5537693287,130039.2180056663,117035.29620509969,85.12153158372828
ipsl-cm6a-lr,2021-2040_ssp126,1.636714967,705738.792,137492,456365.8610867394,98054.83781483679,88249.35403335311,64.1850827927102
ipsl-cm6a-lr,2021-2040_ssp370,1.678163601,705738.792,137492,459010.9099742918,99199.51952320168,89279.56757088151,64.93437259686492
ipsl-cm6a-lr,2021-2040_ssp585,1.66491004,705738.792,137492,439058.4493640262,94023.59387205652,84621.23448485087,61.54629686443638
ipsl-cm6a-lr,2041-2060_ssp126,2.049075593,705738.792,137492,383266.9106948051,84849.59396992798,76364.63457293517,55.54114753799143
ipsl-cm6a-lr,2041-2060_ssp370,2.594826972,705738.792,137492,292884.52342730376,66303.29675478017,59672.96707930214,43.40104666402565
ipsl-cm6a-lr,2041-2060_ssp585,2.84393776,705738.792,137492,276030.6051202776,62084.10171436812,55875.691542931294,40.639231041028786
ipsl-cm6a-lr,2061-2080_ssp126,2.191208244,705738.792,137492,333838.54195975076,76993.52586659178,69294.1732799326,50.3986946730956
ipsl-cm6a-lr,2061-2080_ssp370,3.513114684,705738.792,137492,193445.5248278896,43704.77422081939,39334.29679873745,28.608425798400962
ipsl-cm6a-lr,2061-2080_ssp585,4.160098437,705738.792,137492,138918.67801434643,31550.93693698527,28395.84324328674,20.65272397178508
ipsl-cm6a-lr,2081-2100_ssp126,2.171220561,705738.792,137492,324448.011358512,74759.05318601726,67283.14786741554,48.93604563713928
ipsl-cm6a-lr,2081-2100_ssp370,4.677751369,705738.792,137492,113211.21292556512,26211.31275865742,23590.181482791675,17.15749387803776
ipsl-cm6a-lr,2081-2100_ssp585,5.849305066,705738.792,137492,71805.46159354011,16814.235167325507,15132.811650592957,11.006321568231575
mpi-esm1-2-hr,1851-1870_hist,0.083373661,705738.792,137492,734240.1338622987,158474.8113527106,142627.3302174395,103.7350029219442
mpi-esm1-2-hr,1901-1920_hist,0.101656085,705738.792,137492,739860.7495536667,162365.21372302625,146128.6923507236,106.28159627521863
mpi-esm1-2-hr,1951-1970_hist,0.353009146,705738.792,137492,693634.2190727228,151085.76768341428,135977.19091507286,98.89825656407126
mpi-esm1-2-hr,1995-2014_hist,0.904939372,705738.792,137492,591185.8427062968,130164.31412816883,117147.88271535194,85.20341744636193
mpi-esm1-2-hr,2021-2040_ssp126,1.469113359,705738.792,137492,499202.86104899884,111163.82528801187,100047.44275921068,72.76601021092914
mpi-esm1-2-hr,2021-2040_ssp370,1.493779364,705738.792,137492,492562.4190609221,111361.5088144528,100225.35793300752,72.89541059334907
mpi-esm1-2-hr,2021-2040_ssp585,1.528303178,705738.792,137492,493731.5033692252,109216.04361681914,98294.43925513724,71.49102439060981
mpi-esm1-2-hr,2041-2060_ssp126,1.656830929,705738.792,137492,469382.37838784815,105219.32842999353,94697.39558699419,68.87484041762006
mpi-esm1-2-hr,2041-2060_ssp370,2.092677072,705738.792,137492,376195.34664421534,85274.97922023202,76747.48129820882,55.81959772074653
mpi-esm1-2-hr,2041-2060_ssp585,2.139652727,705738.792,137492,398191.01129636576,91081.18454242485,81973.06608818236,59.62024415106505
mpi-esm1-2-hr,2061-2080_ssp126,1.695689732,705738.792,137492,452831.0822891275,101686.73393827438,91518.06054444693,66.56246221194463
mpi-esm1-2-hr,2061-2080_ssp370,2.718960922,705738.792,137492,326520.16716399905,75520.2322804195,67968.20905237754,49.434300942874884
mpi-esm1-2-hr,2061-2080_ssp585,2.950347,705738.792,137492,294146.58701686247,70532.85207318803,63479.56686586923,46.169643954462245
mpi-esm1-2-hr,2081-2100_ssp126,1.659995843,705738.792,137492,456216.7089492597,102427.44952037201,92184.70456833481,67.04732243936724
mpi-esm1-2-hr,2081-2100_ssp370,3.454510652,705738.792,137492,257355.7744112472,61540.2072928148,55386.18656353332,40.28320670550528
mpi-esm1-2-hr,2081-2100_ssp585,3.99079854,705738.792,137492,204097.02640575325,50377.87316229931,45340.08584606938,32.976526522320846
mri-esm2-0,1851-1870_hist,0.190948213,705738.792,137492,766683.4133761624,169463.1474158187,152516.83267423685,110.92778683431534
mri-esm2-0,1901-1920_hist,0.252478266,705738.792,137492,767624.7990637448,171631.52087463593,154468.36878717234,112.34716840774179
mri-esm2-0,1951-1970_hist,0.382652065,705738.792,137492,741575.2975808538,162378.76676858152,146140.89009172338,106.29046787574796
mri-esm2-0,1995-2014_hist,0.922248887,705738.792,137492,637291.0490402449,139948.91363408,125954.02227067201,91.60825522261078
