,gcm,period_scenario,temp_ch_ipcc,AAR_steady_mean,AAR_steady_std,AAR_steady_median,AAR_steady_MAD,AAR_steady_area_weighted_mean,AAR_mean_mean,AAR_mean_std,AAR_mean_median,AAR_mean_MAD,AAR_mean_area_weighted_mean,disequilibrium_mean,disequilibrium_std,disequilibrium_median,disequilibrium_MAD,disequilibrium_area_weighted_mean
0,era5,2014-2023,1.2,0.538293458,0.095154387,0.534679936,0.041790663,0.646552935,0.393065185,0.25583205,0.370806298,0.1796828,0.43498991,0.722253195,0.459264635,0.687155035,0.310056415,0.658981923
1,gfdl-esm4,1851-1870_hist,0.231409328,0.537192197,0.096420937,0.53104849,0.043318349,0.652824431,0.659803495,0.214833235,0.693210037,0.148699626,0.605630352,1.248760412,0.429414722,1.268174499,0.285060948,0.928802126
2,gfdl-esm4,1901-1920_hist,0.478289046,0.537192197,0.096420937,0.53104849,0.043318349,0.652824431,0.617928508,0.221974325,0.640146128,0.161176154,0.540768612,1.165993445,0.43276482,1.178690673,0.29729734,0.825344407
3,gfdl-esm4,1951-1970_hist,0.392281326,0.537192197,0.096420937,0.53104849,0.043318349,0.652824431,0.670596158,0.211402588,0.708109315,0.145793426,0.596209192,1.271090255,0.426004582,1.298404727,0.278866843,0.916187707
4,gfdl-esm4,1995-2014_hist,0.901467077,0.537192197,0.096420937,0.53104849,0.043318349,0.652824431,0.568284382,0.218197816,0.587928531,0.158256852,0.533779859,1.063487833,0.402354362,1.073057561,0.287503764,0.806303508
5,gfdl-esm4,2021-2040_ssp126,1.493792069,0.537192197,0.096420937,0.53104849,0.043318349,0.652824431,0.399577418,0.244401193,0.383723396,0.175402121,0.402176967,0.744567576,0.458048889,0.705990057,0.317734336,0.607077527
6,gfdl-esm4,2041-2060_ssp126,1.678749959,0.537192197,0.096420937,0.53104849,0.043318349,0.652824431,0.352274466,0.247021399,0.327070302,0.17942769,0.405131815,0.654310788,0.459203733,0.601920175,0.320468202,0.600983332
7,gfdl-esm4,2061-2080_ssp126,1.730055687,0.537192197,0.096420937,0.53104849,0.043318349,0.652824431,0.31756555,0.250901896,0.283894517,0.183782094,0.387175145,0.58956452,0.470806129,0.516705225,0.323789281,0.572068893
8,gfdl-esm4,2081-2100_ssp126,1.684476548,0.537192197,0.096420937,0.53104849,0.043318349,0.652824431,0.339028685,0.251289401,0.321784687,0.19081979,0.390349294,0.629355426,0.468204091,0.5847729,0.343222717,0.575679281
9,gfdl-esm4,2021-2040_ssp370,1.488564228,0.536382292,0.096415205,0.531003233,0.041421289,0.649356745,0.394581017,0.235619081,0.3747617,0.163677246,0.416661532,0.734640629,0.438639038,0.693935926,0.291941633,0.625233565
10,gfdl-esm4,2041-2060_ssp370,2.049608082,0.536382292,0.096415205,0.531003233,0.041421289,0.649356745,0.26254586,0.2409197,0.221136626,0.177039507,0.356811546,0.484612894,0.446770097,0.407838098,0.313267318,0.5310396
11,gfdl-esm4,2061-2080_ssp370,2.814161775,0.536382292,0.096415205,0.531003233,0.041421289,0.649356745,0.127979179,0.205117603,0,0,0.242559975,0.233509621,0.379183969,0,0,0.35909483
