,gcm,period_scenario,temp_ch_ipcc,area_rgi,mass_2020,area_steady,volume_steady,mass_steady,mass_remaining
0,era5,2014-2023,1.2,89717.066,13410,54658.10096261989,8778.467836380743,7900.621052742669,58.915891519333854
1,gfdl-esm4,1851-1870_hist,0.231409328,89717.066,13410,75295.34074845846,12409.08544531298,11168.176900781682,83.28245265310726
2,gfdl-esm4,1901-1920_hist,0.478289046,89717.066,13410,76443.18526149217,12717.846003959075,11446.061403563168,85.35467116751057
3,gfdl-esm4,1951-1970_hist,0.392281326,89717.066,13410,67547.71752472939,11084.592178175546,9976.132960357992,74.39323609513791
4,gfdl-esm4,1995-2014_hist,0.901467077,89717.066,13410,62822.335884725646,10029.378048567885,9026.440243711098,67.31126207092541
5,gfdl-esm4,2021-2040_ssp126,1.493792069,89717.066,13410,50783.305824548894,8003.289555891677,7202.960600302509,53.713352724105214
6,gfdl-esm4,2041-2060_ssp126,1.678749959,89717.066,13410,50407.28073060891,8328.65910268401,7495.79319241561,55.89704095761081
7,gfdl-esm4,2061-2080_ssp126,1.730055687,89717.066,13410,45674.37800868968,7662.5998968106815,6896.339907129614,51.42684494503814
8,gfdl-esm4,2081-2100_ssp126,1.684476548,89717.066,13410,45294.84691875268,6857.939160304983,6172.145244274484,46.0264373174831
9,gfdl-esm4,2021-2040_ssp370,1.488564228,89717.066,13410,47868.596550360235,7760.213636938587,6984.192273244728,52.081970717708636
10,gfdl-esm4,2041-2060_ssp370,2.049608082,89717.066,13410,43008.196645672215,6740.355385989831,6066.319847390848,45.23728446973041
11,gfdl-esm4,2061-2080_ssp370,2.814161775,89717.066,13410,25105.268252076552,4010.040428653028,3609.036385787725,26.913023011094143
12,gfdl-esm4,2081-2100_ssp370,3.532319558,89717.066,13410,20204.593056454578,3158.1204653120717,2842.3084187808645,21.19543936451055
13,gfdl-esm4,2021-2040_ssp585,1.529802668,89717.066,13410,44974.00546880711,7031.372633395461,6328.235370055915,47.1904203583588
14,gfdl-esm4,2041-2060_ssp585,2.18911609,89717.066,13410,35070.471093237,5470.671778212418,4923.604600391176,36.71591797457999
15,gfdl-esm4,2061-2080_ssp585,3.048039704,89717.066,13410,24930.31257656149,4062.1861207292313,3655.967508656308,27.2629940988539
16,gfdl-esm4,2081-2100_ssp585,4.001455777,89717.066,13410,14786.089402915786,2258.5538033553185,2032.6984230197866,15.158079217149789
17,ipsl-cm6a-lr,1851-1870_hist,-0.131913088,89717.066,13410,83960.43741492572,13495.144475266432,12145.63002773979,90.57143943131834
18,ipsl-cm6a-lr,1901-1920_hist,-0.143528775,89717.066,13410,92384.7427326857,15585.864677889407,14027.278210100467,104.60311864355307
19,ipsl-cm6a-lr,1951-1970_hist,0.302892464,89717.066,13410,72415.52382585144,11523.709356408923,10371.33842076803,77.3403312510666
20,ipsl-cm6a-lr,1995-2014_hist,0.913312833,89717.066,13410,61115.28651425936,9671.136246908056,8704.022622217251,64.90695467723529
21,ipsl-cm6a-lr,2021-2040_ssp126,1.636714967,89717.066,13410,55017.641822290796,8778.791869123164,7900.912682210848,58.91806623572594
22,ipsl-cm6a-lr,2041-2060_ssp126,2.049075593,89717.066,13410,39075.87973944064,6126.083951757082,5513.475556581374,41.114657394342835
23,ipsl-cm6a-lr,2061-2080_ssp126,2.191208244,89717.066,13410,36424.26631555533,5867.966057931268,5281.169452138141,39.38232253645146
24,ipsl-cm6a-lr,2081-2100_ssp126,2.171220561,89717.066,13410,30362.498048432113,5234.376092355357,4710.938483119821,35.130040888290985
25,ipsl-cm6a-lr,2021-2040_ssp370,1.678163601,89717.066,13410,51182.989328254764,8147.250503606912,7332.525453246221,54.67953358125445
26,ipsl-cm6a-lr,2041-2060_ssp370,2.594826972,89717.066,13410,26381.341422310703,4465.953031264113,4019.3577281377015,29.972839136000758
27,ipsl-cm6a-lr,2061-2080_ssp370,3.513114684,89717.066,13410,19278.818182833107,3242.4495566561573,2918.2046009905416,21.761406420511122
28,ipsl-cm6a-lr,2081-2100_ssp370,4.677751369,89717.066,13410,11083.693200905618,1813.9527120454031,1632.557440840863,12.174179275472504
29,ipsl-cm6a-lr,2021-2040_ssp585,1.66491004,89717.066,13410,46726.7665545405,7519.864717715698,6767.878245944128,50.468890722924144
30,ipsl-cm6a-lr,2041-2060_ssp585,2.84393776,89717.066,13410,30293.98477631214,5448.595389997163,4903.735850997446,36.56775429528297
31,ipsl-cm6a-lr,2061-2080_ssp585,4.160098437,89717.066,13410,15218.301682892037,2527.1518828475123,2274.436694562761,16.960750891594042
32,ipsl-cm6a-lr,2081-2100_ssp585,5.849305066,89717.066,13410,10236.960892344503,1918.046352762986,1726.2417174866875,12.872794313845546
33,mpi-esm1-2-hr,1851-1870_hist,0.083373661,89717.066,13410,84673.56450032111,14186.400553692873,12767.760498323585,95.2107419710931
