,gcm,period_scenario,temp_ch_ipcc,area_rgi,mass_2020,area_steady,volume_steady,mass_steady,mass_remaining
0,era5,2014-2023,1.2,2949.103,237,3222.398317,195.3699526,175.8329573,74.19112123
1,gfdl-esm4,1851-1870_hist,0.231409328,2949.103,237,3329.955409,207.7879868,187.0091881,78.90683044
2,gfdl-esm4,1901-1920_hist,0.478289046,2949.103,237,3195.728751,196.7980429,177.1182386,74.73343402
3,gfdl-esm4,1951-1970_hist,0.392281326,2949.103,237,3685.376725,233.3108125,209.9797312,88.59904272
4,gfdl-esm4,1995-2014_hist,0.901467077,2949.103,237,2799.56485,159.1319897,143.2187907,60.42986949
5,gfdl-esm4,2021-2040_ssp126,1.493792069,2949.103,237,2547.491058,138.1922938,124.3730644,52.47808626
6,gfdl-esm4,2041-2060_ssp126,1.678749959,2949.103,237,1747.300694,88.68876504,79.81988853,33.67927786
7,gfdl-esm4,2061-2080_ssp126,1.730055687,2949.103,237,2000.150273,101.1151117,91.0036005,38.39814367
8,gfdl-esm4,2081-2100_ssp126,1.684476548,2949.103,237,2274.335073,120.937917,108.8441253,45.92579128
9,gfdl-esm4,2021-2040_ssp370,1.488564228,2949.103,237,1818.050773,93.91149029,84.52034127,35.66259125
10,gfdl-esm4,2041-2060_ssp370,2.049608082,2949.103,237,1143.362801,61.45786183,55.31207565,23.33842854
11,gfdl-esm4,2061-2080_ssp370,2.814161775,2949.103,237,894.884286,41.67790236,37.51011212,15.82705153
12,gfdl-esm4,2081-2100_ssp370,3.532319558,2949.103,237,248.062392,12.84960061,11.56464055,4.879595169
13,gfdl-esm4,2021-2040_ssp585,1.529802668,2949.103,237,1590.132432,78.25509523,70.4295857,29.71712477
14,gfdl-esm4,2041-2060_ssp585,2.18911609,2949.103,237,1359.244822,61.95521129,55.75969016,23.52729543
15,gfdl-esm4,2061-2080_ssp585,3.048039704,2949.103,237,1345.149152,68.24451539,61.42006385,25.91563876
16,gfdl-esm4,2081-2100_ssp585,4.001455777,2949.103,237,108.4808326,5.113215663,4.601894097,1.941727467
17,ipsl-cm6a-lr,1851-1870_hist,-0.131913088,2949.103,237,4518.796462,314.8272903,283.3445613,119.5546672
18,ipsl-cm6a-lr,1901-1920_hist,-0.143528775,2949.103,237,4635.10501,327.9532888,295.1579599,124.5392236
19,ipsl-cm6a-lr,1951-1970_hist,0.302892464,2949.103,237,4138.627511,273.8303953,246.4473557,103.986226
20,ipsl-cm6a-lr,1995-2014_hist,0.913312833,2949.103,237,2508.352662,142.3170403,128.0853363,54.04444569
21,ipsl-cm6a-lr,2021-2040_ssp126,1.636714967,2949.103,237,2428.083234,123.9893184,111.5903865,47.08455127
22,ipsl-cm6a-lr,2041-2060_ssp126,2.049075593,2949.103,237,1987.676886,98.71958533,88.8476268,37.48845013
23,ipsl-cm6a-lr,2061-2080_ssp126,2.191208244,2949.103,237,1981.858898,100.6999316,90.62993847,38.24048037
24,ipsl-cm6a-lr,2081-2100_ssp126,2.171220561,2949.103,237,1177.873755,53.55621451,48.20059306,20.33780298
25,ipsl-cm6a-lr,2021-2040_ssp370,1.678163601,2949.103,237,3004.959444,172.9107827,155.6197045,65.66232256
26,ipsl-cm6a-lr,2041-2060_ssp370,2.594826972,2949.103,237,2021.322761,96.43147888,86.78833099,36.61954894
27,ipsl-cm6a-lr,2061-2080_ssp370,3.513114684,2949.103,237,602.9088561,28.18772005,25.36894804,10.70419749
28,ipsl-cm6a-lr,2081-2100_ssp370,4.677751369,2949.103,237,0.072239074,0.000650132,0.000585118,0.000246885
29,ipsl-cm6a-lr,2021-2040_ssp585,1.66491004,2949.103,237,1661.453229,81.79637107,73.61673397,31.06191307
30,ipsl-cm6a-lr,2041-2060_ssp585,2.84393776,2949.103,237,485.7952358,30.08513484,27.07662136,11.42473475
31,ipsl-cm6a-lr,2061-2080_ssp585,4.160098437,2949.103,237,50.70768687,3.411554557,3.070399101,1.295527047
32,ipsl-cm6a-lr,2081-2100_ssp585,5.849305066,2949.103,237,32.53797709,1.338137774,1.204323996,0.508153585
33,mpi-esm1-2-hr,1851-1870_hist,0.083373661,2949.103,237,3666.305654,233.9074659,210.5167193,88.82561998
34,mpi-esm1-2-hr,1901-1920_hist,0.101656085,2949.103,237,3748.275393,239.8687314,215.8818582,91.08939165
35,mpi-esm1-2-hr,1951-1970_hist,0.353009146,2949.103,237,3339.3346,207.3466638,186.6119974,78.73923942
36,mpi-esm1-2-hr,1995-2014_hist,0.904939372,2949.103,237,2555.504304,144.9560132,130.4604119,55.04658728
37,mpi-esm1-2-hr,2021-2040_ssp126,1.469113359,2949.103,237,1558.27058,71.97161844,64.77445659,27.33099434
38,mpi-esm1-2-hr,2041-2060_ssp126,1.656830929,2949.103,237,2280.928941,119.6820012,107.7138011,45.44886122
39,mpi-esm1-2-hr,2061-2080_ssp126,1.695689732,2949.103,237,1350.113668,59.13417284,53.22075555,22.456015
40,mpi-esm1-2-hr,2081-2100_ssp126,1.659995843,2949.103,237,1869.464928,88.44175616,79.59758054,33.58547702
41,mpi-esm1-2-hr,2021-2040_ssp370,1.493779364,2949.103,237,1966.563351,100.2425968,90.21833715,38.06680892
42,mpi-esm1-2-hr,2041-2060_ssp370,2.092677072,2949.103,237,1874.402142,95.34055791,85.80650212,36.20527516
43,mpi-esm1-2-hr,2061-2080_ssp370,2.718960922,2949.103,237,1620.531495,76.70689066,69.03620159,29.12919898
44,mpi-esm1-2-hr,2081-2100_ssp370,3.454510652,2949.103,237,514.8303816,23.54642518,21.19178266,8.941680447
45,mpi-esm1-2-hr,2021-2040_ssp585,1.528303178,2949.103,237,1857.78442,91.45656651,82.31090986,34.73034171
46,mpi-esm1-2-hr,2041-2060_ssp585,2.139652727,2949.103,237,1748.16463,83.65031905,75.28528714,31.76594394
47,mpi-esm1-2-hr,2061-2080_ssp585,2.950347,2949.103,237,630.5060206,27.78094832,25.00285349,10.54972721
48,mpi-esm1-2-hr,2081-2100_ssp585,3.99079854,2949.103,237,181.9310796,9.894036658,8.904632992,3.757229111
49,mri-esm2-0,1851-1870_hist,0.190948213,2949.103,237,4498.180346,309.5140716,278.5626644,117.5369892
50,mri-esm2-0,1901-1920_hist,0.252478266,2949.103,237,3949.216391,259.6154532,233.6539079,98.58814679
51,mri-esm2-0,1951-1970_hist,0.382652065,2949.103,237,4592.485374,318.9493735,287.0544362,121.1200153
52,mri-esm2-0,1995-2014_hist,0.922248887,2949.103,237,3179.220394,190.2467155,171.222044,72.24558817
53,mri-esm2-0,2021-2040_ssp126,1.72632431,2949.103,237,2260.123863,123.8951079,111.5055971,47.04877514
54,mri-esm2-0,2041-2060_ssp126,1.996245332,2949.103,237,1967.393799,101.3719027,91.23471247,38.49565927
55,mri-esm2-0,2061-2080_ssp126,2.09126599,2949.103,237,2568.909588,146.4655417,131.8189875,55.61982596
56,mri-esm2-0,2081-2100_ssp126,1.94778826,2949.103,237,2747.404525,162.701648,146.4314832,61.78543594
57,mri-esm2-0,2021-2040_ssp370,1.705488886,2949.103,237,2497.709737,137.5267833,123.774105,52.22536076
58,mri-esm2-0,2041-2060_ssp370,2.404955866,2949.103,237,1127.058773,58.12320671,52.31088604,22.07210381
59,mri-esm2-0,2061-2080_ssp370,3.105613809,2949.103,237,1075.205755,51.91542534,46.72388281,19.71471848
60,mri-esm2-0,2081-2100_ssp370,3.811452497,2949.103,237,673.8768383,32.52313725,29.27082352,12.35055845
61,mri-esm2-0,2021-2040_ssp585,1.911734937,2949.103,237,2339.14969,126.5887737,113.9298963,48.0716862
62,mri-esm2-0,2041-2060_ssp585,2.687007085,2949.103,237,1037.136094,52.30256745,47.07231071,19.86173447
63,mri-esm2-0,2061-2080_ssp585,3.541685939,2949.103,237,2023.970664,104.0451034,93.6405931,39.51079877
64,mri-esm2-0,2081-2100_ssp585,4.594325176,2949.103,237,1666.656592,89.54271474,80.58844326,34.00356256
65,ukesm1-0-ll,1851-1870_hist,0.373094842,2949.103,237,3914.976697,256.8330003,231.1497003,97.5315191
66,ukesm1-0-ll,1901-1920_hist,0.353528895,2949.103,237,4329.670779,293.4703915,264.1233524,111.4444525
67,ukesm1-0-ll,1951-1970_hist,0.23742077,2949.103,237,4488.281023,314.133143,282.7198287,119.291067
68,ukesm1-0-ll,1995-2014_hist,1.058767333,2949.103,237,3297.832326,199.9394493,179.9455044,75.92637315
69,ukesm1-0-ll,2021-2040_ssp126,2.176143904,2949.103,237,2232.065005,116.1773778,104.55964,44.11799157
70,ukesm1-0-ll,2041-2060_ssp126,2.739835015,2949.103,237,726.4576236,36.51886734,32.86698061,13.86792431
71,ukesm1-0-ll,2061-2080_ssp126,2.951472593,2949.103,237,580.6740528,33.53682395,30.18314155,12.73550277
72,ukesm1-0-ll,2081-2100_ssp126,3.038482623,2949.103,237,64.7907299,3.190467179,2.871420461,1.211569815
73,ukesm1-0-ll,2021-2040_ssp370,2.32331738,2949.103,237,1620.597991,88.42133145,79.57919831,33.57772081
74,ukesm1-0-ll,2041-2060_ssp370,3.414120006,2949.103,237,261.7649086,12.85753249,11.57177924,4.882607275
75,ukesm1-0-ll,2061-2080_ssp370,4.439976801,2949.103,237,0.667712974,0.012106028,0.010895425,0.004597226
76,ukesm1-0-ll,2081-2100_ssp370,5.840495128,2949.103,237,0,0,0,0
77,ukesm1-0-ll,2021-2040_ssp585,2.319732626,2949.103,237,1649.989096,79.94363221,71.94926899,30.35834135
78,ukesm1-0-ll,2041-2060_ssp585,3.646967578,2949.103,237,1504.057912,83.40678764,75.06610887,31.67346366
79,ukesm1-0-ll,2061-2080_ssp585,5.230543689,2949.103,237,0.16270123,0.001928884,0.001735996,0.000732488
80,ukesm1-0-ll,2081-2100_ssp585,6.884361024,2949.103,237,0.018928482,0.000145383,0.000130845,5.52E-05
